canonical_method_name,architecture_family,graph_encoder,config,config_sha256,seed,checkpoint_update,checkpoint_path_as_recorded,checkpoint_sha256,training_budget,bc_initialization,validation_selection,evaluation_protocol,raw_episode_source
EA-RG-MAPPO,graph-MAPPO,multi_relation,configs/paper/ea_rg_mappo.yaml,cc5a7455c36db9d646f798bd4c82c5810f9c13bba083c130eb57112b7b6ede15,0,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
EA-RG-MAPPO,graph-MAPPO,multi_relation,configs/paper/ea_rg_mappo.yaml,cc5a7455c36db9d646f798bd4c82c5810f9c13bba083c130eb57112b7b6ede15,1,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed1/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
EA-RG-MAPPO,graph-MAPPO,multi_relation,configs/paper/ea_rg_mappo.yaml,cc5a7455c36db9d646f798bd4c82c5810f9c13bba083c130eb57112b7b6ede15,2,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed2/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
EA-RG-MAPPO,graph-MAPPO,multi_relation,configs/paper/ea_rg_mappo.yaml,cc5a7455c36db9d646f798bd4c82c5810f9c13bba083c130eb57112b7b6ede15,3,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed3/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
EA-RG-MAPPO,graph-MAPPO,multi_relation,configs/paper/ea_rg_mappo.yaml,cc5a7455c36db9d646f798bd4c82c5810f9c13bba083c130eb57112b7b6ede15,4,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed4/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
MAPPO_or_internal_no_graph,RI-MAPPO,no_graph,configs/paper/mappo.yaml,d1507eadf281b985027a703bcb284f3f03c4d35419bee8920b504ce2504e848b,0,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/no_graph/bc_ppo_seed0/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
MAPPO_or_internal_no_graph,RI-MAPPO,no_graph,configs/paper/mappo.yaml,d1507eadf281b985027a703bcb284f3f03c4d35419bee8920b504ce2504e848b,1,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/no_graph/bc_ppo_seed1/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
MAPPO_or_internal_no_graph,RI-MAPPO,no_graph,configs/paper/mappo.yaml,d1507eadf281b985027a703bcb284f3f03c4d35419bee8920b504ce2504e848b,2,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/no_graph/bc_ppo_seed2/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
MAPPO_or_internal_no_graph,RI-MAPPO,no_graph,configs/paper/mappo.yaml,d1507eadf281b985027a703bcb284f3f03c4d35419bee8920b504ce2504e848b,3,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/no_graph/bc_ppo_seed3/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
MAPPO_or_internal_no_graph,RI-MAPPO,no_graph,configs/paper/mappo.yaml,d1507eadf281b985027a703bcb284f3f03c4d35419bee8920b504ce2504e848b,4,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/no_graph/bc_ppo_seed4/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
Single-Graph GAT-MAPPO,graph-MAPPO,single,configs/paper/single_graph.yaml,74165175fdca1d76a597d83bd9d33223cc510ce3bf5c9ae9396e85e0d4a4e5c9,0,60,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/single/bc_ppo_seed0/actor_critic_update_0060.pt,MISSING_CHECKPOINT_BYTES,formal protocol e02a753; update 60; see archived protocol.md,true per paper config; historical run manifest required for byte-level confirmation,fixed_update60_selected_checkpoints.csv / validation artifacts,archival e02a753 formal test; not canonical,archival/provenance/legacy_e02a753/.../merged/test_episode_metrics.csv
