source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,docs/paper_assets_v1_5/robustness_absolute_recovery_v1_5.csv,ea760eedbe085a9ace7c25eb2265237c57797c0197817d416c84e0006dc35754,1786,70,False,False,False
e02a753,docs/statistics/survival_results_v1_1/hierarchical_bootstrap.csv,0e3f8d09b571aa837690f62d79b4c5ae66f8cc2a4319e7ac772e000bf8581ab1,2260,48,False,False,True
e02a753,docs/statistics/survival_results_v1_1/rmst_seedwise.csv,e968bd8d1dfc82c40a4611fc4fee10c99c36d3cac2ac6539aa503ae89ed6ef6c,793,27,False,False,True
e02a753,docs/statistics/survival_results_v1_1/rmst_summary.csv,47019bdf4756773fe0030fad843ea2eda7ac1487153fda500686e4715cecb134,624,9,False,False,True
e02a753,docs/statistics/survival_results_v1_1/sensitivity_rmst.csv,d06f665f25f0585a98aacd1776cf4f8fbd218cefc13a2ddc451b1ff92efb6e4c,471,6,False,False,True
e02a753,docs/statistics/survival_results_v1_1/survival_data_audit.csv,5db8b6cf60fea4554ba14ac1309989015a497d841fe8c7354e02f0356e5736c4,436,11,False,False,False
e02a753,results/aggregate_robustness_summary.csv,94aac6ccb28a1d0670f2d32af0d5aa7a05990fa1d70091800ad0114704737c1a,963,6,False,False,False
e02a753,results/comm_dropout_robustness_eval.csv,69749b7bc46b24f63ff2d935618bc04a420da908a453879e069b741611929384,8236,54,False,False,False
e02a753,results/comm_dropout_robustness_summary.csv,838f26d97b8bb9f4550c8b9a79a29ece636aa407f0af90cf630e32473eb7f378,3092,18,False,False,False
e02a753,results/gate1_nominal_checkpoint_selection_smoke/validation_checkpoint_summary.csv,a27973ac9a4b158d97c05c8ccedc9f96eb052b9fab42a76c2c2e64def1f0eb09,400,1,False,False,False
e02a753,results/gate1_nominal_checkpoint_selection_smoke/validation_episode_metrics.csv,148d295a66a4c80b9301993838eacc1242174b9d4498655978abf851b6d69604,2248,2,False,True,True
e02a753,results/gate1_nominal_checkpoint_selection_smoke/validation_selected_checkpoints.csv,f26273f9173609fb8fe8c20bed76665b23e1de2a9247bc86377c0d2efa82bee9,373,1,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/test_checkpoint_selection/test_checkpoint_summary.csv,ebbe3c3bacbb2c8a7b0392dc9345f422885211b85da22c219d51560933efc96f,2099,9,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/test_checkpoint_selection/test_episode_metrics.csv,d8f2a934c0231772a9544f10a4db5fc05007d809b2bbff226970197424177431,492367,900,False,True,True
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/test_checkpoint_selection/test_selected_checkpoints.csv,ae23af35752d5694acf1592f6c62e4084ad6560dcf8f9e4990da0c74487ad31f,2027,9,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/validation_checkpoint_selection/validation_checkpoint_summary.csv,e79419fa875e58dcc9aee19a5745b417a2d2c3680d4f16bcfbf304cb09df4d86,11848,54,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/validation_checkpoint_selection/validation_episode_metrics.csv,d2a28b3c2caaf66ff3cc01e7157f84d2db026b330e26ea5918cfb6fb1b17eeb2,894270,1620,False,True,True
e02a753,results/gate1_nominal_weaving_mild_formal_protocol/validation_checkpoint_selection/validation_selected_checkpoints.csv,61b08bc75f5f85562428a6194d7b393ff0ca16340d94396a1781d88d8ec2522e,2094,9,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol_smoke/test_checkpoint_selection/test_checkpoint_summary.csv,eb84955759ab87be2de8af675c4b70ceab84763015bbe953b28233227a2a2009,432,1,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol_smoke/test_checkpoint_selection/test_episode_metrics.csv,9deb5f408d2807de61d059f79e633fe1eaf555453b735c6ad7728a583a7d9970,2274,2,False,True,True
e02a753,results/gate1_nominal_weaving_mild_formal_protocol_smoke/test_checkpoint_selection/test_selected_checkpoints.csv,4617e56fe0e27c59f1dec2e31c479dda4d2959b36c9d32bf05b262a7e39e1d4a,407,1,False,False,False
e02a753,results/gate1_nominal_weaving_mild_formal_protocol_smoke/validation_checkpoint_selection/validation_checkpoint_summary.csv,5271521ad6999187a1163d7022c7431e70a37e3630629ad7543828ba74d60d15,438,1,False,False,False
