bank,bank_agents,bank_envs,environment_steps,greedy_action_disagreement,mean_entropy_delta_drtp_minus_utr,mean_entropy_drtp,mean_entropy_utr,mean_js_divergence,mean_total_variation,milestone,seed,seed_class,source_contract,status
paired_utr_500k_runtime_obs,3,4,500000,0.8333333333333334,-0.18111132085323334,2.513536214828491,2.6946475505828857,0.2529020607471466,0.5654545426368713,500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1000000,0.9166666666666666,-0.321885883808136,2.0895488262176514,2.4114346504211426,0.2557043731212616,0.5681379437446594,1m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1500000,0.9166666666666666,-0.3319741189479828,1.7528256177902222,2.0848000049591064,0.34184518456459045,0.6748592853546143,1500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2000000,0.9166666666666666,-0.12755191326141357,1.3352810144424438,1.4628329277038574,0.4903194010257721,0.8177295327186584,2m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2500000,0.9166666666666666,-0.20283503830432892,1.1099129915237427,1.3127480745315552,0.4512202739715576,0.7995722889900208,2500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3000000,0.9166666666666666,0.25472646951675415,1.163166880607605,0.9084404110908508,0.5959116816520691,0.922943115234375,3m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3500000,1.0,0.050243306905031204,1.2294036149978638,1.179160237312317,0.4846291244029999,0.8094795346260071,3500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4000000,1.0,0.05221456661820412,1.0709785223007202,1.0187638998031616,0.5280126929283142,0.8781507015228271,4m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4500000,0.9166666666666666,0.19708387553691864,1.268332600593567,1.0712487697601318,0.5761424899101257,0.8997276425361633,4500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5000000,0.6666666666666666,-0.3757130205631256,0.8109520077705383,1.1866651773452759,0.4574280083179474,0.7424682974815369,5m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5500000,0.8333333333333334,0.2544310390949249,1.5418280363082886,1.287397027015686,0.46333298087120056,0.7828719019889832,5500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6000000,0.9166666666666666,0.10228700190782547,1.408687949180603,1.3064007759094238,0.514798104763031,0.8348145484924316,6m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6500000,0.8333333333333334,-0.0951109305024147,1.0710885524749756,1.1661995649337769,0.4864293336868286,0.8123344779014587,6500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7000000,0.6666666666666666,-0.1893463134765625,0.8591551184654236,1.0485013723373413,0.4170890152454376,0.7027749419212341,7m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7500000,0.9166666666666666,0.588556706905365,1.1537721157073975,0.5652152895927429,0.6291782855987549,0.946850597858429,7500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8000000,0.9166666666666666,0.5940626263618469,1.1504653692245483,0.556402862071991,0.5476256012916565,0.8649721145629883,8m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8500000,0.9166666666666666,0.4085655212402344,1.2924188375473022,0.8838533759117126,0.5778279304504395,0.9009773135185242,8500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9000000,1.0,0.15451444685459137,0.8535711169242859,0.6990566253662109,0.5835776925086975,0.9199008345603943,9m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9500000,0.9166666666666666,-0.042928341776132584,0.9039204716682434,0.9468488693237305,0.5128869414329529,0.8144723773002625,9500k,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,10000000,1.0,0.20674055814743042,1.0607080459594727,0.8539673686027527,0.5283337235450745,0.8604190349578857,10m,1901,strong,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,500000,1.0,-0.29724204540252686,2.678818702697754,2.9760608673095703,0.16070908308029175,0.45363321900367737,500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1000000,0.9166666666666666,-0.8417439460754395,1.4967206716537476,2.3384644985198975,0.2948625087738037,0.6441418528556824,1m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1500000,0.9166666666666666,-0.30694863200187683,1.7640624046325684,2.0710113048553467,0.4011741578578949,0.7477534413337708,1500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2000000,0.5833333333333334,-0.5452351570129395,1.4387073516845703,1.9839423894882202,0.2606218159198761,0.5903074145317078,2m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2500000,0.9166666666666666,0.33118733763694763,1.3903664350509644,1.0591793060302734,0.43876883387565613,0.7853268980979919,2500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3000000,0.9166666666666666,-0.35735395550727844,1.3761039972305298,1.7334580421447754,0.3994733393192291,0.7372839450836182,3m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3500000,0.8333333333333334,-0.8044608235359192,0.8750870227813721,1.6795477867126465,0.41159558296203613,0.7396326065063477,3500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4000000,0.9166666666666666,-0.5838468670845032,0.9926839470863342,1.576530933380127,0.4034837484359741,0.7460806369781494,4m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4500000,0.8333333333333334,-0.21867044270038605,1.0350829362869263,1.2537533044815063,0.4853108823299408,0.8018218874931335,4500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5000000,0.9166666666666666,0.3791055679321289,1.3372217416763306,0.9581162929534912,0.490204781293869,0.8060281872749329,5m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5500000,0.9166666666666666,-0.2688765823841095,1.1420177221298218,1.4108940362930298,0.5075523257255554,0.8222808837890625,5500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6000000,1.0,-0.03916364908218384,1.4552644491195679,1.494428038597107,0.4641197919845581,0.7913283705711365,6m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6500000,0.9166666666666666,-0.018177643418312073,1.3438853025436401,1.362062931060791,0.41246938705444336,0.7533576488494873,6500k,1902,weak,strict,estimated_from_archived_runtime_states
