tuple,direction,source,changed_fields_from_reference,exactly_one_training_stream_changed,eval_fixed,action_seed,env_seed,eval_seed,init_seed,minibatch_seed,topology_seed
B_to_G_INIT,B_to_G,init,['init_seed'],True,True,1728403788,1426732065,420889792,1888953741,277030910,1837311832
G_to_B_INIT,G_to_B,init,['init_seed'],True,True,993989929,2084278804,420889792,222834908,128451329,655855597
B_to_G_ENV,B_to_G,env,['env_seed'],True,True,1728403788,2084278804,420889792,222834908,277030910,1837311832
G_to_B_ENV,G_to_B,env,['env_seed'],True,True,993989929,1426732065,420889792,1888953741,128451329,655855597
B_to_G_ACTION,B_to_G,action,['action_seed'],True,True,993989929,1426732065,420889792,222834908,277030910,1837311832
G_to_B_ACTION,G_to_B,action,['action_seed'],True,True,1728403788,2084278804,420889792,1888953741,128451329,655855597
B_to_G_MINIBATCH,B_to_G,minibatch,['minibatch_seed'],True,True,1728403788,1426732065,420889792,222834908,128451329,1837311832
G_to_B_MINIBATCH,G_to_B,minibatch,['minibatch_seed'],True,True,993989929,2084278804,420889792,1888953741,277030910,655855597
B_to_G_TOPOLOGY,B_to_G,topology,['topology_seed'],True,True,1728403788,1426732065,420889792,222834908,277030910,655855597
G_to_B_TOPOLOGY,G_to_B,topology,['topology_seed'],True,True,993989929,2084278804,420889792,1888953741,128451329,1837311832
