reference,tape,metric,J,timeout,collision,exposure
G,T0,f0,57.912886282019315,1.0,0.0,1.0
G,T0,timing,52.5801974968845,1.0,0.0,1.0
G,T0,duration,56.241854524854574,1.0,0.0,1.0
G,T0,compound,67.82029572566971,1.0,0.0,1.0
G,T1,f0,57.66451772966888,1.0,0.0,1.0
G,T1,timing,52.68484204657842,1.0,0.0,1.0
G,T1,duration,55.754238057774494,1.0,0.0,1.0
G,T1,compound,67.91194008583669,0.98,0.02,1.0
G,T2,f0,56.984733313536275,1.0,0.0,1.0
G,T2,timing,52.96229878921993,1.0,0.0,1.0
G,T2,duration,55.268226946746,1.0,0.0,1.0
G,T2,compound,68.86705549730453,1.0,0.0,1.0
G,T3,f0,56.99686446836218,0.99,0.01,1.0
G,T3,timing,52.4163589642616,1.0,0.0,1.0
G,T3,duration,55.279324208577165,1.0,0.0,1.0
G,T3,compound,67.72885115917306,1.0,0.0,1.0
G,T4,f0,56.589740421921015,1.0,0.0,1.0
G,T4,timing,52.685518037690784,1.0,0.0,1.0
G,T4,duration,54.85369375410024,1.0,0.0,1.0
G,T4,compound,67.10769243749324,1.0,0.0,1.0
B,T0,f0,122.75556148334407,0.77,0.06,1.0
B,T0,timing,113.62807272182778,0.8,0.07,1.0
B,T0,duration,107.68535228370689,0.69,0.27,1.0
B,T0,compound,101.6209590836987,0.76,0.14,1.0
B,T1,f0,122.09827638667076,0.77,0.01,1.0
B,T1,timing,113.97798182806,0.71,0.09,1.0
B,T1,duration,111.18458512779326,0.71,0.19,1.0
B,T1,compound,104.61510643542744,0.67,0.11,1.0
B,T2,f0,124.16719287450425,0.71,0.04,1.0
B,T2,timing,116.21716715816409,0.69,0.09,1.0
B,T2,duration,112.78613611097448,0.8,0.16,1.0
B,T2,compound,105.49090367236175,0.7,0.11,1.0
B,T3,f0,126.20338748791255,0.77,0.01,1.0
B,T3,timing,117.63228800019249,0.72,0.05,1.0
B,T3,duration,113.58588875816204,0.7,0.18,1.0
B,T3,compound,108.62847542663104,0.69,0.11,1.0
B,T4,f0,119.80732031814755,0.73,0.06,1.0
B,T4,timing,113.43942811751738,0.72,0.08,1.0
B,T4,duration,108.3152317865938,0.75,0.19,1.0
B,T4,compound,99.49789575181902,0.75,0.14,1.0
