run,reference,tape,condition,episode_id,P1,P2,P3,failure_exposure
R0_G_REF,G,T0,f0,440000,-0.00817495381129523,-0.0,0.0,True
R0_G_REF,G,T0,f0,440001,-0.0029285432366646215,-0.0,0.0,True
R0_G_REF,G,T0,f0,440002,-0.004697354659888629,-0.0,0.0,True
R0_G_REF,G,T0,f0,440003,-0.005720586540034246,-0.0,0.0,True
R0_G_REF,G,T0,f0,440004,-0.00264895048355514,-0.0,0.0,True
R0_G_REF,G,T0,f0,440005,-0.00373584945444516,-0.0,0.0,True
R0_G_REF,G,T0,f0,440006,-0.005356024354644527,-0.0,0.0,True
R0_G_REF,G,T0,f0,440007,-0.002566158784072778,-0.0,0.0,True
R0_G_REF,G,T0,f0,440008,-0.005242227932847147,-0.0,0.0,True
R0_G_REF,G,T0,f0,440009,-0.0036630351041106886,-0.0,0.0,True
R0_G_REF,G,T0,timing,440000,-0.00766350685304856,-0.0,0.0,True
R0_G_REF,G,T0,timing,440001,-0.003482202532704902,-0.0,0.0,True
R0_G_REF,G,T0,timing,440002,-0.004300057531748331,-0.0,0.0,True
R0_G_REF,G,T0,timing,440003,-0.005567546566747281,-0.0,0.0,True
R0_G_REF,G,T0,timing,440004,-0.0029008560441938893,-0.0,0.0,True
R0_G_REF,G,T0,timing,440005,-0.004131777679235844,-0.0,0.0,True
R0_G_REF,G,T0,timing,440006,-0.005301711672409821,-0.0,0.0,True
R0_G_REF,G,T0,timing,440007,-0.002834378078865621,-0.0,0.0,True
R0_G_REF,G,T0,timing,440008,-0.005260151757749026,-0.0,0.0,True
R0_G_REF,G,T0,timing,440009,-0.004031032181800303,-0.0,0.0,True
R0_G_REF,G,T0,duration,440000,-0.00817495381129523,-0.0,0.0,True
R0_G_REF,G,T0,duration,440001,-0.0029285432366646215,-0.0,0.0,True
R0_G_REF,G,T0,duration,440002,-0.004697354659888629,-0.0,0.0,True
R0_G_REF,G,T0,duration,440003,-0.005720586540034246,-0.0,0.0,True
R0_G_REF,G,T0,duration,440004,-0.00264895048355514,-0.0,0.0,True
R0_G_REF,G,T0,duration,440005,-0.00373584945444516,-0.0,0.0,True
R0_G_REF,G,T0,duration,440006,-0.005356024354644527,-0.0,0.0,True
R0_G_REF,G,T0,duration,440007,-0.002566158784072778,-0.0,0.0,True
R0_G_REF,G,T0,duration,440008,-0.005242227932847147,-0.0,0.0,True
R0_G_REF,G,T0,duration,440009,-0.0036630351041106886,-0.0,0.0,True
R0_G_REF,G,T0,compound,440000,-0.0033664159993715575,-0.0,0.0,True
R0_G_REF,G,T0,compound,440001,0.0005232303466193592,-0.0,1.0,True
R0_G_REF,G,T0,compound,440002,-0.0009019621440647857,-0.0,0.0,True
R0_G_REF,G,T0,compound,440003,-0.0016081819836088432,-0.0,0.0,True
R0_G_REF,G,T0,compound,440004,0.00041397027054949356,-0.0,1.0,True
R0_G_REF,G,T0,compound,440005,0.00026286455067392467,-0.0,1.0,True
R0_G_REF,G,T0,compound,440006,-0.0011506949285917084,-0.0,0.0,True
R0_G_REF,G,T0,compound,440007,0.0004086824907772374,-0.0,1.0,True
R0_G_REF,G,T0,compound,440008,-0.0010581061733481874,-0.0,0.0,True
R0_G_REF,G,T0,compound,440009,-0.0001287776454983111,-0.0,1.0,True
R0_G_REF,G,T1,f0,450000,-0.008059432086041957,-0.0,0.0,True
R0_G_REF,G,T1,f0,450001,-0.005704637125535016,-0.0,0.0,True
R0_G_REF,G,T1,f0,450002,-0.007056764733574532,-0.0,0.0,True
R0_G_REF,G,T1,f0,450003,-0.0031279316333960834,-0.0,0.0,True
R0_G_REF,G,T1,f0,450004,-0.008062868585806257,-0.0,0.0,True
R0_G_REF,G,T1,f0,450005,-0.003846436227789553,-0.0,0.0,True
R0_G_REF,G,T1,f0,450006,-0.006170966690717735,-0.0,0.0,True
R0_G_REF,G,T1,f0,450007,-0.004330866633315158,-0.0,0.0,True
R0_G_REF,G,T1,f0,450008,-0.005001235357742953,-0.0,0.0,True
R0_G_REF,G,T1,f0,450009,-0.004919650793475972,-0.0,0.0,True
R0_G_REF,G,T1,timing,450000,-0.007424609730556221,-0.0,0.0,True
R0_G_REF,G,T1,timing,450001,-0.0052985681409228715,-0.0,0.0,True
R0_G_REF,G,T1,timing,450002,-0.006619554945603774,-0.0,0.0,True
R0_G_REF,G,T1,timing,450003,-0.0035880076863252703,-0.0,0.0,True
R0_G_REF,G,T1,timing,450004,-0.007644736557874331,-0.0,0.0,True
R0_G_REF,G,T1,timing,450005,-0.004320679949465864,-0.0,0.0,True
R0_G_REF,G,T1,timing,450006,-0.005893799199865124,-0.0,0.0,True
R0_G_REF,G,T1,timing,450007,-0.004418583909958422,-0.0,0.0,True
R0_G_REF,G,T1,timing,450008,-0.004937374952753547,-0.0,0.0,True
R0_G_REF,G,T1,timing,450009,-0.004955454883753349,-0.0,0.0,True
R0_G_REF,G,T1,duration,450000,-0.008059432086041957,-0.0,0.0,True
R0_G_REF,G,T1,duration,450001,-0.005704637125535016,-0.0,0.0,True
R0_G_REF,G,T1,duration,450002,-0.007056764733574532,-0.0,0.0,True
R0_G_REF,G,T1,duration,450003,-0.0031279316333960834,-0.0,0.0,True
R0_G_REF,G,T1,duration,450004,-0.008062868585806257,-0.0,0.0,True
R0_G_REF,G,T1,duration,450005,-0.003846436227789553,-0.0,0.0,True
R0_G_REF,G,T1,duration,450006,-0.006170966690717735,-0.0,0.0,True
R0_G_REF,G,T1,duration,450007,-0.004330866633315158,-0.0,0.0,True
R0_G_REF,G,T1,duration,450008,-0.005001235357742953,-0.0,0.0,True
R0_G_REF,G,T1,duration,450009,-0.004919650793475972,-0.0,0.0,True
R0_G_REF,G,T1,compound,450000,-0.003654066712746061,-0.0,0.0,True
R0_G_REF,G,T1,compound,450001,-0.001693578717244512,-0.0,0.0,True
R0_G_REF,G,T1,compound,450002,-0.0027735175289800864,-0.0,0.0,True
R0_G_REF,G,T1,compound,450003,0.0003097877743116442,-0.0,1.0,True
R0_G_REF,G,T1,compound,450004,-0.0032196551091891123,-0.0,0.0,True
R0_G_REF,G,T1,compound,450005,-6.503141800112688e-05,-0.0,1.0,True
R0_G_REF,G,T1,compound,450006,-0.0021516043243642842,-0.0,0.0,True
R0_G_REF,G,T1,compound,450007,-0.000776882158629516,-0.0,0.0,True
R0_G_REF,G,T1,compound,450008,-0.000606138946348897,-0.0,0.0,True
R0_G_REF,G,T1,compound,450009,-0.0007082015110401075,-0.0,0.0,True
R0_G_REF,G,T2,f0,460000,-0.00721166333528493,-0.0,0.0,True
R0_G_REF,G,T2,f0,460001,-0.0030161890139934976,-0.0,0.0,True
R0_G_REF,G,T2,f0,460002,-0.005785413085856667,-0.0,0.0,True
R0_G_REF,G,T2,f0,460003,-0.008328414844680623,-0.0,0.0,True
R0_G_REF,G,T2,f0,460004,-0.004359993330788371,-0.0,0.0,True
R0_G_REF,G,T2,f0,460005,-0.005113331986888436,-0.0,0.0,True
R0_G_REF,G,T2,f0,460006,-0.007282218456581964,-0.0,0.0,True
R0_G_REF,G,T2,f0,460007,-0.006587324922595611,-0.0,0.0,True
R0_G_REF,G,T2,f0,460008,-0.004825216174039198,-0.0,0.0,True
R0_G_REF,G,T2,f0,460009,-0.004981928957933375,-0.0,0.0,True
R0_G_REF,G,T2,timing,460000,-0.006804542430795077,-0.0,0.0,True
R0_G_REF,G,T2,timing,460001,-0.0032355575208067406,-0.0,0.0,True
R0_G_REF,G,T2,timing,460002,-0.005687023893958541,-0.0,0.0,True
R0_G_REF,G,T2,timing,460003,-0.00785787828859984,-0.0,0.0,True
R0_G_REF,G,T2,timing,460004,-0.004746647287728197,-0.0,0.0,True
R0_G_REF,G,T2,timing,460005,-0.004704576215218392,-0.0,0.0,True
R0_G_REF,G,T2,timing,460006,-0.006872028413907069,-0.0,0.0,True
R0_G_REF,G,T2,timing,460007,-0.006244721485579141,-0.0,0.0,True
R0_G_REF,G,T2,timing,460008,-0.004854294944264198,-0.0,0.0,True
R0_G_REF,G,T2,timing,460009,-0.004973389885821268,-0.0,0.0,True
R0_G_REF,G,T2,duration,460000,-0.00721166333528493,-0.0,0.0,True
R0_G_REF,G,T2,duration,460001,-0.0030161890139934976,-0.0,0.0,True
R0_G_REF,G,T2,duration,460002,-0.005785413085856667,-0.0,0.0,True
R0_G_REF,G,T2,duration,460003,-0.008328414844680623,-0.0,0.0,True
R0_G_REF,G,T2,duration,460004,-0.004359993330788371,-0.0,0.0,True
R0_G_REF,G,T2,duration,460005,-0.005113331986888436,-0.0,0.0,True
R0_G_REF,G,T2,duration,460006,-0.007282218456581964,-0.0,0.0,True
R0_G_REF,G,T2,duration,460007,-0.006587324922595611,-0.0,0.0,True
R0_G_REF,G,T2,duration,460008,-0.004825216174039198,-0.0,0.0,True
R0_G_REF,G,T2,duration,460009,-0.004981928957933375,-0.0,0.0,True
R0_G_REF,G,T2,compound,460000,-0.0025313958230412667,-0.0,0.0,True
R0_G_REF,G,T2,compound,460001,3.772141578183147e-05,-0.0,1.0,True
R0_G_REF,G,T2,compound,460002,-0.0015687224046503773,-0.0,0.0,True
R0_G_REF,G,T2,compound,460003,-0.0034518935381128353,-0.0,0.0,True
R0_G_REF,G,T2,compound,460004,-0.00044202953766671186,-0.0,0.0,True
R0_G_REF,G,T2,compound,460005,-0.0012123731961269494,-0.0,0.0,True
R0_G_REF,G,T2,compound,460006,-0.0026500966404543586,-0.0,0.0,True
R0_G_REF,G,T2,compound,460007,-0.0022014171395102174,-0.0,0.0,True
R0_G_REF,G,T2,compound,460008,-0.000700137759907718,-0.0,0.0,True
R0_G_REF,G,T2,compound,460009,-0.0009927368166821298,-0.0,0.0,True
R0_G_REF,G,T3,f0,470000,-0.005959045732136646,-0.0,0.0,True
R0_G_REF,G,T3,f0,470001,-0.006274895277061879,-0.0,0.0,True
R0_G_REF,G,T3,f0,470002,-0.004849264837706832,-0.0,0.0,True
R0_G_REF,G,T3,f0,470003,-0.0034675425119664064,-0.0,0.0,True
R0_G_REF,G,T3,f0,470004,-0.0067359038171642726,-0.0,0.0,True
R0_G_REF,G,T3,f0,470005,-0.006244008836761421,-0.0,0.0,True
R0_G_REF,G,T3,f0,470006,-0.005427125636351564,-0.0,0.0,True
R0_G_REF,G,T3,f0,470007,-0.007039210780735309,-0.0,0.0,True
R0_G_REF,G,T3,f0,470008,-0.005475429308482459,-0.0,0.0,True
R0_G_REF,G,T3,f0,470009,-0.006407109218296275,-0.0,0.0,True
R0_G_REF,G,T3,timing,470000,-0.005797312635930235,-0.0,0.0,True
R0_G_REF,G,T3,timing,470001,-0.005825282313542091,-0.0,0.0,True
R0_G_REF,G,T3,timing,470002,-0.004960043386824304,-0.0,0.0,True
R0_G_REF,G,T3,timing,470003,-0.0035724018675945975,-0.0,0.0,True
R0_G_REF,G,T3,timing,470004,-0.006358771222076523,-0.0,0.0,True
R0_G_REF,G,T3,timing,470005,-0.005763006701233295,-0.0,0.0,True
R0_G_REF,G,T3,timing,470006,-0.005411292442999938,-0.0,0.0,True
R0_G_REF,G,T3,timing,470007,-0.006400711860648914,-0.0,0.0,True
R0_G_REF,G,T3,timing,470008,-0.005413776997339813,-0.0,0.0,True
R0_G_REF,G,T3,timing,470009,-0.006126104333383527,-0.0,0.0,True
R0_G_REF,G,T3,duration,470000,-0.005959045732136646,-0.0,0.0,True
R0_G_REF,G,T3,duration,470001,-0.006274895277061879,-0.0,0.0,True
R0_G_REF,G,T3,duration,470002,-0.004849264837706832,-0.0,0.0,True
R0_G_REF,G,T3,duration,470003,-0.0034675425119664064,-0.0,0.0,True
R0_G_REF,G,T3,duration,470004,-0.0067359038171642726,-0.0,0.0,True
R0_G_REF,G,T3,duration,470005,-0.006244008836761421,-0.0,0.0,True
R0_G_REF,G,T3,duration,470006,-0.005427125636351564,-0.0,0.0,True
R0_G_REF,G,T3,duration,470007,-0.007039210780735309,-0.0,0.0,True
R0_G_REF,G,T3,duration,470008,-0.005475429308482459,-0.0,0.0,True
R0_G_REF,G,T3,duration,470009,-0.006407109218296275,-0.0,0.0,True
R0_G_REF,G,T3,compound,470000,-0.001628349435336625,-0.0,0.0,True
R0_G_REF,G,T3,compound,470001,-0.0023492022039078965,-0.0,0.0,True
R0_G_REF,G,T3,compound,470002,-0.001064236486832372,-0.0,0.0,True
R0_G_REF,G,T3,compound,470003,-0.0001181279045428349,-0.0,1.0,True
R0_G_REF,G,T3,compound,470004,-0.0022531250938538664,-0.0,0.0,True
R0_G_REF,G,T3,compound,470005,-0.002362344838596661,-0.0,0.0,True
R0_G_REF,G,T3,compound,470006,-0.0013620860658026313,-0.0,0.0,True
R0_G_REF,G,T3,compound,470007,-0.0029275650964682596,-0.0,0.0,True
R0_G_REF,G,T3,compound,470008,-0.0011886430051687366,-0.0,0.0,True
R0_G_REF,G,T3,compound,470009,-0.0022438332804748024,-0.0,0.0,True
R0_G_REF,G,T4,f0,480000,-0.003122331701071554,-0.0,0.0,True
R0_G_REF,G,T4,f0,480001,-0.0030960828551667985,-0.0,0.0,True
R0_G_REF,G,T4,f0,480002,-0.004799143569123744,-0.0,0.0,True
R0_G_REF,G,T4,f0,480003,-0.004662065262418499,-0.0,0.0,True
R0_G_REF,G,T4,f0,480004,-0.008136210072883876,-0.0,0.0,True
R0_G_REF,G,T4,f0,480005,-0.00578088719452869,-0.0,0.0,True
R0_G_REF,G,T4,f0,480006,-0.004873343962395575,-0.0,0.0,True
R0_G_REF,G,T4,f0,480007,-0.006168669965759562,-0.0,0.0,True
R0_G_REF,G,T4,f0,480008,-0.006246755496937817,-0.0,0.0,True
R0_G_REF,G,T4,f0,480009,-0.002919882768666253,-0.0,0.0,True
R0_G_REF,G,T4,timing,480000,-0.003796346082496381,-0.0,0.0,True
R0_G_REF,G,T4,timing,480001,-0.003238232664806803,-0.0,0.0,True
R0_G_REF,G,T4,timing,480002,-0.004774835775068735,-0.0,0.0,True
R0_G_REF,G,T4,timing,480003,-0.0046280096928544845,-0.0,0.0,True
R0_G_REF,G,T4,timing,480004,-0.007707642935668264,-0.0,0.0,True
R0_G_REF,G,T4,timing,480005,-0.005628810951319181,-0.0,0.0,True
R0_G_REF,G,T4,timing,480006,-0.004891832451879708,-0.0,0.0,True
R0_G_REF,G,T4,timing,480007,-0.006006982445338864,-0.0,0.0,True
R0_G_REF,G,T4,timing,480008,-0.006072079779207623,-0.0,0.0,True
R0_G_REF,G,T4,timing,480009,-0.003198796630466405,-0.0,0.0,True
R0_G_REF,G,T4,duration,480000,-0.003122331701071554,-0.0,0.0,True
R0_G_REF,G,T4,duration,480001,-0.0030960828551667985,-0.0,0.0,True
R0_G_REF,G,T4,duration,480002,-0.004799143569123744,-0.0,0.0,True
R0_G_REF,G,T4,duration,480003,-0.004662065262418499,-0.0,0.0,True
R0_G_REF,G,T4,duration,480004,-0.008136210072883876,-0.0,0.0,True
R0_G_REF,G,T4,duration,480005,-0.00578088719452869,-0.0,0.0,True
R0_G_REF,G,T4,duration,480006,-0.004873343962395575,-0.0,0.0,True
