seed,replay,mean_l1_step,total_variation,mean_l1_distance_to_utr,variation_fraction_of_original,updates
1901,original,0.01222646781049551,14.904064260994026,0.5843459883278072,1.0,1220
1901,R1_difficulty_ema_beta_0.8,0.008306418913908533,10.125524656054502,0.6004636755281991,0.6793800991957868,1220
1901,R2_inertial_alpha_0.5,0.010842773960127103,13.217341457394939,0.5834709553950989,0.8868279971112664,1220
1901,R3_trust_region_l1_0.05,0.011974868422666617,14.597364607230606,0.5817891961498283,0.9794217437342849,1220
1902,original,0.013370238607577122,16.298320862636512,0.5531255276161676,1.0,1220
1902,R1_difficulty_ema_beta_0.8,0.009428250658770915,11.493037553041747,0.5673025259966429,0.7051669708742355,1220
1902,R2_inertial_alpha_0.5,0.012015444645927952,14.646827023386173,0.5522123824106014,0.898670921184504,1220
1902,R3_trust_region_l1_0.05,0.013292331413574275,16.20335199314704,0.5523374638324225,0.9941730887316629,1220
2001,original,0.010972834592759533,13.37588536857387,0.5687806831714117,1.0,1220
2001,R1_difficulty_ema_beta_0.8,0.007434007152417461,9.062054718796885,0.5803094415713492,0.677491954296187,1220
2001,R2_inertial_alpha_0.5,0.009695198140778023,11.81844653360841,0.5679160955177195,0.88356368254885,1220
2001,R3_trust_region_l1_0.05,0.010890770098838501,13.275848750484132,0.5678012531975903,0.9925211217550675,1220
2002,original,0.01006557722633379,12.26993863890089,0.6529279877575979,1.0,1220
2002,R1_difficulty_ema_beta_0.8,0.0063220595418773525,7.706590581548492,0.664345750787056,0.6280871329800578,1220
2002,R2_inertial_alpha_0.5,0.00877403870845015,10.695553185600733,0.6521893655458882,0.871687585436761,1220
2002,R3_trust_region_l1_0.05,0.00981314988091902,11.962229704840286,0.6516617063044471,0.9749217218507487,1220
2003,original,0.009903106172332388,12.071886424073181,0.6637789332113532,1.0,1220
2003,R1_difficulty_ema_beta_0.8,0.0061513326807554345,7.498474537840875,0.6755270418723641,0.6211518460683804,1220
2003,R2_inertial_alpha_0.5,0.008666248804465775,10.56415729264378,0.6629933999701128,0.8751040990227708,1220
2003,R3_trust_region_l1_0.05,0.00974765522730648,11.882391722086599,0.6617291916698251,0.9843028094094142,1220
