protocol,episode_id,condition,family,J,terminal_step,success,collision,timeout,constraint_violation,failure_exposed,alive_at_onset,failure_trigger_success,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,path_switch_count,method,training_contract,training_seed,checkpoint_sha256
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950000,reference_nominal,reference,86.13343667984009,260,0,0,1,0,0,0,,0,260,164391.0467224121,770.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950001,reference_nominal,reference,84.10764471907169,260,0,0,1,0,0,0,,0,260,164025.06893920898,748.0,0.0,0.0,0.0,0.0,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950002,reference_nominal,reference,86.4723221603781,260,0,0,1,0,0,0,,0,260,163108.0456237793,815.0,0.0,0.0,0.0,0.0,23,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950003,reference_nominal,reference,82.89982071332633,260,0,0,1,0,0,0,,0,260,163891.07077026367,734.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950004,reference_nominal,reference,76.30564570426941,260,0,0,1,0,0,0,,0,260,163756.01239013672,795.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950005,reference_nominal,reference,90.80412946268916,260,0,0,1,0,0,0,,0,260,164156.04522705078,838.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950006,reference_nominal,reference,76.753651115112,260,0,0,1,0,0,0,,0,260,163417.0555114746,775.0,0.0,0.0,0.0,0.0,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950007,reference_nominal,reference,80.23701412416995,260,0,0,1,0,0,0,,0,260,163616.0362854004,779.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950008,reference_nominal,reference,83.81914037838578,260,0,0,1,0,0,0,,0,260,163602.09469604492,757.0,0.0,0.0,0.0,0.0,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950009,reference_nominal,reference,82.73669545911252,260,0,0,1,0,0,0,,0,260,164371.0359802246,770.0,0.0,0.0,0.0,0.0,19,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950010,reference_nominal,reference,82.0674471668899,260,0,0,1,0,0,0,,0,260,163404.02212524414,785.0,0.0,0.0,0.0,0.0,23,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950011,reference_nominal,reference,74.46040023490787,260,0,0,1,0,0,0,,0,260,162722.08883666992,747.0,0.0,0.0,0.0,0.0,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950012,reference_nominal,reference,73.40610754769295,260,0,0,1,0,0,0,,0,260,163382.98928833008,771.0,0.0,0.0,0.0,0.0,3,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950013,reference_nominal,reference,78.08243210334331,260,0,0,1,0,0,0,,0,260,163294.06826782227,783.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950014,reference_nominal,reference,88.74777527153492,260,0,0,1,0,0,0,,0,260,163102.05694580078,762.0,0.0,0.0,0.0,0.0,13,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950015,reference_nominal,reference,85.60717703215778,260,0,0,1,0,0,0,,0,260,163474.02029418945,814.0,0.0,0.0,0.0,0.0,13,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950016,reference_nominal,reference,77.57310572080314,260,0,0,1,0,0,0,,0,260,163000.03067016602,775.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
