method,training_contract,training_seed,condition,family,episodes,J,J_sd_episode_descriptive,collision,timeout,constraint_violation,failure_exposure_all_episodes,survival_to_onset_fraction,trigger_success_among_risk_set,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,path_switch_count
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U1_scout_node_failure,structural_ood,50,233.76137526750566,49.44607245394607,0.02,0.28,0.0,0.98,0.98,1.0,0.02,255.58,140645.7494268799,1097.58,0.0,0.11425000000000002,0.6999999999999998,0.98,10.56
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U2_static_symmetric_direct_prune,structural_ood,50,242.40269955456256,43.984519272354525,0.02,0.38,0.0,0.0,0.0,nan,0.0,255.58,141237.24658264162,1093.94,0.0,0.0,0.0,0.0,6.08
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U3_static_directed_scout_to_attacker_prune,structural_ood,50,250.2140562438965,44.70641117913179,0.02,0.38,0.0,0.0,0.0,nan,0.0,255.58,142425.04464172362,1104.7,0.0,0.0,0.0,0.0,6.0
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U4_scout_failure_symmetric_direct_prune,structural_ood,50,228.034225859195,42.866875269922424,0.02,0.32,0.0,0.98,0.98,1.0,0.02,255.58,139754.5677154541,1080.78,0.0,0.09025000000000002,0.7445,0.98,5.74
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U5_relay_failure_directed_direct_prune,structural_ood,50,244.83695062801243,35.913799942320516,0.02,0.22,0.0,0.98,0.98,1.0,0.02,255.58,140664.7653930664,1112.34,0.0655,0.0,0.8085000000000001,0.98,3.94
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,236.71100366488915,34.93487760581305,0.02,0.26,0.0,0.98,0.98,1.0,0.02,255.58,139570.5468609619,1099.16,0.06524999999999999,0.0,0.80825,0.98,3.94
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,parameter_duration_44_140,parameter_ood,50,199.67467813566327,65.36417551175786,0.02,0.42,0.0,0.98,0.98,1.0,0.02,255.58,138966.88428039552,1093.14,0.16199999999999995,0.0,0.6554285714285712,0.98,20.52
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,parameter_timing_20_80,parameter_ood,50,182.57920679032802,73.94770198236918,0.04,0.64,0.0,1.0,1.0,1.0,0.0,254.96,141784.06828186035,1141.36,0.24299999999999997,0.0,0.524,0.9792500000000003,20.34
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,reference_nominal,reference,50,260.6449064813554,40.11070039295783,0.02,0.34,0.0,0.0,nan,nan,0.0,255.58,142623.6449786377,1099.96,0.0,0.0,0.0,0.0,18.62
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2001,seen_f0_44_80,seen_relay_failure,50,213.50642033487557,66.10936731320616,0.02,0.5,0.0,0.98,0.98,1.0,0.02,255.58,141078.78689086915,1126.42,0.17149999999999996,0.0,0.6157500000000001,0.98,17.38
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U1_scout_node_failure,structural_ood,50,140.07184308657423,35.86689063708705,0.0,0.86,0.0,1.0,1.0,1.0,0.0,260.0,151315.95526550294,856.66,0.0,0.7887499999999998,0.214,0.98425,1.12
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U2_static_symmetric_direct_prune,structural_ood,50,132.13822531407698,44.73109414573158,0.0,0.96,0.0,0.0,0.0,nan,0.0,260.0,150026.59416625978,842.66,0.0,0.0,0.0,0.0,12.72
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U3_static_directed_scout_to_attacker_prune,structural_ood,50,137.2542341594957,45.61570793610732,0.0,0.92,0.0,0.0,0.0,nan,0.0,260.0,151980.96256530762,854.28,0.0,0.0,0.0,0.0,13.12
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U4_scout_failure_symmetric_direct_prune,structural_ood,50,123.3800848515518,38.33634035905766,0.0,0.96,0.0,1.0,1.0,1.0,0.0,260.0,151934.95612243653,854.76,0.0,0.7887499999999998,0.214,0.98425,1.12
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U5_relay_failure_directed_direct_prune,structural_ood,50,56.49190610492602,7.888604253266187,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,152141.779586792,873.04,0.24025,0.0,0.11350000000000002,0.343,2.28
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,52.65937109449878,10.808832765892578,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,151857.01442810058,875.22,0.24025,0.0,0.11350000000000002,0.343,2.28
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,parameter_duration_44_140,parameter_ood,50,57.19515665365383,21.72766935763567,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,153294.0499786377,851.38,0.33699999999999997,0.0,0.118,0.4232857142857142,5.72
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,parameter_timing_20_80,parameter_ood,50,69.62792939469946,41.30968783081901,0.0,0.9,0.0,1.0,1.0,1.0,0.0,260.0,151495.91308776857,894.84,0.07900000000000001,0.0,0.035,0.11175000000000003,2.12
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,reference_nominal,reference,50,174.30827999582513,34.244811706290974,0.0,0.8,0.0,0.0,nan,nan,0.0,260.0,149763.07891052245,854.84,0.0,0.0,0.0,0.0,11.28
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2002,seen_f0_44_80,seen_relay_failure,50,68.05194597909227,26.039696718227862,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,150922.8602355957,879.14,0.23074999999999998,0.0,0.158,0.343,3.52
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U1_scout_node_failure,structural_ood,50,223.0174640007282,32.73470753866083,0.02,0.86,0.0,0.98,0.98,1.0,0.02,255.54,143145.22274475096,751.48,0.0,0.048,0.8357499999999999,0.98,2.88
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U2_static_symmetric_direct_prune,structural_ood,50,232.58957703578287,34.22113126384327,0.02,0.96,0.0,0.0,0.0,nan,0.0,255.54,144016.56950134278,690.8,0.0,0.0,0.0,0.0,3.84
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U3_static_directed_scout_to_attacker_prune,structural_ood,50,240.24106897587887,35.20739218441308,0.02,0.96,0.0,0.0,0.0,nan,0.0,255.54,144431.0112890625,721.6,0.0,0.0,0.0,0.0,3.94
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U4_scout_failure_symmetric_direct_prune,structural_ood,50,210.07544925608556,34.17766937938558,0.02,0.92,0.0,0.98,0.98,1.0,0.02,255.54,142234.61711364746,732.62,0.0,0.048,0.8352499999999999,0.98,2.76
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U5_relay_failure_directed_direct_prune,structural_ood,50,214.2414206423238,41.71358464912143,0.02,0.9,0.0,0.98,0.98,1.0,0.02,255.54,142396.262243042,746.44,0.06849999999999999,0.0,0.8469999999999998,0.98,3.34
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,205.7430917037744,41.320361740136015,0.02,0.92,0.0,0.98,0.98,1.0,0.02,255.54,141985.18449035645,728.84,0.06849999999999999,0.0,0.8472499999999998,0.98,3.38
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,parameter_duration_44_140,parameter_ood,50,205.16962689815088,41.92710557658469,0.02,0.76,0.0,0.98,0.98,1.0,0.02,255.54,138953.65952697754,835.04,0.07157142857142855,0.0,0.8834285714285712,0.98,3.98
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,parameter_timing_20_80,parameter_ood,50,227.57135116835124,36.56533782285323,0.02,0.94,0.0,1.0,1.0,1.0,0.0,255.54,144256.37964660645,742.94,0.07913888888888891,0.0,0.7554444444444448,0.9092222222222217,3.52
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,reference_nominal,reference,50,248.1174486464658,37.88072024986929,0.02,0.96,0.0,0.0,nan,nan,0.0,255.54,144784.27242126464,718.6,0.0,0.0,0.0,0.0,4.16
DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,2003,seen_f0_44_80,seen_relay_failure,50,225.73815083003137,35.894139162457684,0.02,0.76,0.0,0.98,0.98,1.0,0.02,255.54,143140.48278015136,766.0,0.05599999999999999,0.0,0.8634999999999999,0.98,3.56
DRTP-SG-MAPPO,strict_development_10M,1901,U1_scout_node_failure,structural_ood,50,206.76835379183294,33.26578142776477,0.0,0.56,0.0,1.0,1.0,1.0,0.0,260.0,138585.93819274902,727.62,0.0,0.05699999999999998,0.8645000000000002,1.0,3.72
DRTP-SG-MAPPO,strict_development_10M,1901,U2_static_symmetric_direct_prune,structural_ood,50,218.85213678359986,32.1551770978104,0.0,0.56,0.0,0.0,0.0,nan,0.0,260.0,142379.79669006346,710.98,0.0,0.0,0.0,0.0,3.58
DRTP-SG-MAPPO,strict_development_10M,1901,U3_static_directed_scout_to_attacker_prune,structural_ood,50,224.70113125503065,33.54705811914652,0.0,0.58,0.0,0.0,0.0,nan,0.0,260.0,142556.67246765137,710.74,0.0,0.0,0.0,0.0,3.62
DRTP-SG-MAPPO,strict_development_10M,1901,U4_scout_failure_symmetric_direct_prune,structural_ood,50,212.22296511068942,28.99375879155707,0.0,0.5,0.0,1.0,1.0,1.0,0.0,260.0,138743.4369378662,715.26,0.0,0.056999999999999995,0.8250000000000003,1.0,3.76
DRTP-SG-MAPPO,strict_development_10M,1901,U5_relay_failure_directed_direct_prune,structural_ood,50,211.88675002153963,29.676436680904793,0.0,0.68,0.0,1.0,1.0,1.0,0.0,260.0,137884.93236572266,726.1,0.04649999999999999,0.0,0.9100000000000001,1.0,2.86
DRTP-SG-MAPPO,strict_development_10M,1901,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,211.26642555774188,27.988109756006153,0.0,0.64,0.0,1.0,1.0,1.0,0.0,260.0,137862.3123651123,726.14,0.047749999999999994,0.0,0.9082500000000002,1.0,2.74
DRTP-SG-MAPPO,strict_development_10M,1901,parameter_duration_44_140,parameter_ood,50,207.48070410840214,29.641596281885615,0.0,0.56,0.0,1.0,1.0,1.0,0.0,260.0,135848.35890808105,732.58,0.051571428571428546,0.0,0.8564285714285716,1.0,3.42
DRTP-SG-MAPPO,strict_development_10M,1901,parameter_timing_20_80,parameter_ood,50,225.50533461131155,23.49610153912254,0.0,0.6,0.0,1.0,1.0,1.0,0.0,260.0,141876.25718017577,696.5,0.10524999999999997,0.0,0.7782499999999999,0.9152500000000007,4.14
DRTP-SG-MAPPO,strict_development_10M,1901,reference_nominal,reference,50,239.55448356509208,29.005939161803468,0.0,0.54,0.0,0.0,nan,nan,0.0,260.0,142712.41159973145,702.96,0.0,0.0,0.0,0.0,3.54
