contract,budget_env_steps,tape,method,seed,J_nominal,J_F0,J_OOD_mean,J_OOD_worst,failure_exposure,collision,timeout,constraint,source
development_3M,3000064,420000-420099,UTR-SG,1901,89.226,59.997,59.602,50.017,NA,NA,NA,NA,docs/DRTP_SG_MAPPO_DEVELOPMENT_PERFORMANCE_REPORT.md
development_3M,3000064,420000-420099,DRTP-SG,1901,130.02,193.586,191.1,180.648,NA,NA,NA,NA,docs/DRTP_SG_MAPPO_DEVELOPMENT_PERFORMANCE_REPORT.md
development_3M,3000064,420000-420099,UTR-SG,1902,205.087,195.862,181.613,156.281,NA,NA,NA,NA,docs/DRTP_SG_MAPPO_DEVELOPMENT_PERFORMANCE_REPORT.md
development_3M,3000064,420000-420099,DRTP-SG,1902,211.995,174.175,175.828,163.833,NA,NA,NA,NA,docs/DRTP_SG_MAPPO_DEVELOPMENT_PERFORMANCE_REPORT.md
heldout_10M,10000128,430000-430099,UTR-SG,2001,99.223,102.603,91.713,77.737,1.0,0.0527,0.9345,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
heldout_10M,10000128,430000-430099,DRTP-SG,2001,248.282,206.868,198.913,170.363,0.9636,0.0564,0.4782,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
heldout_10M,10000128,430000-430099,UTR-SG,2002,187.061,186.921,176.961,150.697,1.0,0.0,0.5145,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
heldout_10M,10000128,430000-430099,DRTP-SG,2002,170.807,72.97,88.835,53.597,1.0,0.0036,0.9064,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
heldout_10M,10000128,430000-430099,UTR-SG,2003,194.74,197.038,196.39,186.628,1.0,0.0145,0.8864,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
heldout_10M,10000128,430000-430099,DRTP-SG,2003,245.39,226.842,222.695,210.316,0.9782,0.0309,0.7955,0.0,docs/DRTP_HELDOUT_V2_AUDIT_REPORT.md
