cohort,arm,seed,checkpoint_sha256,tensor_count,parameter_count,integrity_pass
A,utr_sg,71011,acd0736ab8b8ba77debfe8fd59b0945acc5d369e991c112b260a22124e1537a5,34,116728,True
A,utr_sg,71012,321312f1f52215059dadbf16cff41a43bf358ee54931db1e1fe8349444476eb1,34,116728,True
A,utr_sg,71013,b97891622d3cf0ca56c5bbfacab66e105fdcc0f6af7fddf7ca4a1cf73194bc52,34,116728,True
A,utr_sg,71014,f07d179d4b8fae39f88f605246da556e671c4d68778d69b1f9c8caece04e4b19,34,116728,True
A,utr_sg,71015,78312d874e90fe6ab33daf19837f0167958eb23e6540ce89ffa5a77228a1ad65,34,116728,True
B,utr_sg,71021,896d2e603c090fa55d89cf3fd8505844dc6b098448ab00823f093ea24f991247,34,116728,True
B,utr_sg,71022,85883500ca114d61a8920486007dc736a4dded94dda6a30f32d7300940fedeaa,34,116728,True
B,utr_sg,71023,e8300181c22519f698190e815c987fe3221def6878974d7dbb5e096139945d10,34,116728,True
B,utr_sg,71024,2a3ec0e839d7f22955aabea304f1d464e067f73e25cd5cce84703dadcdc9fa2e,34,116728,True
B,utr_sg,71025,f372fe12d78decbaac00e78bcefd89c8fed4243ba5dd7dad9d71ed5f4f81d52a,34,116728,True
A,egtr_sg,71011,1f36cf4556baae0eaebc0a28744a8c31bf633714b09014fa668962c34abf1133,34,116728,True
A,egtr_sg,71012,133c45e2ebd3fb200ef2d8afa485aac171c276f4c6093b4be2cdfa8a7095898f,34,116728,True
A,egtr_sg,71013,486b88def798c60f24498bb7c5883e8242f2b6b20de17d83152600bdd0487048,34,116728,True
A,egtr_sg,71014,a7270e007b66934a683641e6b37ca97291cf97e262293257194e65c802718a7c,34,116728,True
A,egtr_sg,71015,ea371d63d4bfcab8feb7b7368b008bda464b101d21a5f657f11ccc176349d5e0,34,116728,True
B,egtr_sg,71021,7c01714a41a559e7e0601d8761ed510e1ab36e353b81a4cf52966a27b2083899,34,116728,True
B,egtr_sg,71022,db2d1c23ea67119944989eb046b6ed0d9e9e1408fc6d46a5d071abd2e0e6ea6f,34,116728,True
B,egtr_sg,71023,e9db6d36bf9637c7ecac31507071ecc2edef2aada77cecf7c6ab1d3bbea6b3cc,34,116728,True
B,egtr_sg,71024,a2f260e179fd01e4415aae5aefdf35355f75f3efc5a5e36d9dd2d3246cfde48f,34,116728,True
B,egtr_sg,71025,22e1d09ce0491534614e9e5a8659e4d25e669a9aacca966feaeec2b3b27289b8,34,116728,True
