seed,window,drtp_minus_utr_J_pert_mean,sign
3601,250k,8.776908578789154,positive
3601,500k,-39.63883165884996,adverse
3601,750k,-66.66218784129364,adverse
3601,1m,78.9836123038223,positive
3602,250k,-13.264342438938911,adverse
3602,500k,-36.89001830406836,adverse
3602,750k,-71.10085301751272,adverse
3602,1m,6.291672712221043,positive
3603,250k,-4.506043774046411,adverse
3603,500k,28.78458302881917,positive
3603,750k,-49.52716095471929,adverse
3603,1m,42.425745111010045,positive
3604,250k,25.581373460328905,positive
3604,500k,21.555757302441634,positive
3604,750k,32.180830241251975,positive
3604,1m,39.685337960398755,positive
3605,250k,-17.699496793184665,adverse
3605,500k,23.446750454294964,positive
3605,750k,-65.83041996766813,adverse
3605,1m,-53.44077247767243,adverse
