method,seed,update,milestone,train_avg_reward,entropy,value_loss,advantage_mean,advantage_std,approx_kl,clip_fraction,grad_norm,explained_variance
utr_sg,2701,976,0.25M,0.11203867197036743,2.092589259147644,0.7005728930234909,0.6503042578697205,1.0671437978744507,0.0006572513048013207,0.004882812820142135,2.7866953313350677,0.8877843469381332
utr_sg,2701,1953,0.50M,0.05658147111535072,2.608980417251587,0.29006873816251755,-0.43618130683898926,0.6802416443824768,0.00034867250724346377,0.0,2.064273416996002,0.9425146728754044
utr_sg,2701,2930,0.75M,0.06373430043458939,2.361159861087799,0.4703202322125435,0.014210154302418232,0.971260130405426,0.002119412922183983,0.019205729942768812,1.0595229715108871,0.8306206166744232
utr_sg,2701,3907,1.00M,0.09937017410993576,2.42385470867157,0.5192290246486664,-0.31400129199028015,0.9522979259490967,8.196911585400812e-05,0.0,2.0723167657852173,0.9006322175264359
utr_sg,2702,976,0.25M,0.11204240471124649,2.6534829139709473,0.3879343345761299,0.1886034458875656,0.868990957736969,0.0005298363503243309,0.0016276042442768812,0.7126210778951645,0.8616103529930115
utr_sg,2702,1953,0.50M,0.14313280582427979,2.794517934322357,1.281453013420105,0.19199950993061066,1.6274842023849487,0.00020336391935416032,0.0,2.55464243888855,0.9089156240224838
utr_sg,2702,2930,0.75M,0.09718101471662521,2.4931997656822205,1.2715209126472473,-0.3270154893398285,1.5741055011749268,0.0006439283715735655,0.0006510416860692203,2.290821373462677,0.7931500971317291
utr_sg,2702,3907,1.00M,0.25656452775001526,2.333072245121002,0.8826819360256195,0.46591758728027344,1.264399766921997,0.0006050519987184089,0.0,2.746974468231201,0.9668462127447128
utr_sg,2703,976,0.25M,0.09763903170824051,2.1614288091659546,1.0480009019374847,-0.0011206269264221191,1.4498836994171143,0.0003639520400611218,0.0,0.8408868908882141,0.7761172950267792
utr_sg,2703,1953,0.50M,0.16888147592544556,2.801796078681946,0.8920688331127167,0.32869455218315125,1.3205859661102295,0.00022066969177103601,0.0,2.3083620071411133,0.8245893269777298
utr_sg,2703,2930,0.75M,0.1389404982328415,2.4642931818962097,1.0359974205493927,-0.21108166873455048,1.4520479440689087,0.00018774778436636552,0.0,2.032356560230255,0.922078087925911
utr_sg,2703,3907,1.00M,0.16009068489074707,2.1022217869758606,1.153468281030655,0.47576653957366943,1.4915181398391724,7.144350229282281e-05,0.0,5.928964614868164,0.7767582684755325
drtp_sg,2701,976,0.25M,0.0812743604183197,2.4809206128120422,0.27494634687900543,0.47092580795288086,0.5538168549537659,0.00022193281256477349,0.0,2.9418471455574036,0.9455047696828842
drtp_sg,2701,1953,0.50M,0.011937414295971394,2.8736522793769836,0.24107292667031288,-0.2806457579135895,0.6314329504966736,0.0002348310390516417,0.0,1.7451235949993134,0.9315175265073776
drtp_sg,2701,2930,0.75M,0.18375061452388763,2.589034378528595,0.9911211878061295,0.33489641547203064,1.3975584506988525,0.00031543473596684635,0.0,1.82587069272995,0.8459809422492981
drtp_sg,2701,3907,1.00M,0.18372593820095062,2.517592430114746,0.7972159087657928,-0.3707747459411621,1.173819899559021,0.0005560654681175947,0.0,4.900319218635559,0.9797908365726471
drtp_sg,2702,976,0.25M,0.14029254019260406,2.4143497943878174,0.6029777824878693,0.27208200097084045,1.0804617404937744,0.0003328919738123659,0.0009765625,0.8714618384838104,0.9204345345497131
drtp_sg,2702,1953,0.50M,0.06330687552690506,2.6911110281944275,0.12340736389160156,-0.24493466317653656,0.47469061613082886,0.0017615012475289404,0.00813802145421505,1.1763142570853233,0.9654247313737869
drtp_sg,2702,2930,0.75M,0.13736040890216827,2.6838762164115906,2.0275880694389343,0.6933923363685608,1.8727205991744995,0.00012769195200235117,0.0,7.665790915489197,0.8438799977302551
drtp_sg,2702,3907,1.00M,0.14198602735996246,2.3846355080604553,0.39438990503549576,0.18923597037792206,0.9402353167533875,0.00044460396748036146,0.0,3.5491347908973694,0.9481248408555984
drtp_sg,2703,976,0.25M,0.041859377175569534,2.4333903193473816,0.32286229729652405,-0.07580766081809998,0.8103604912757874,0.004063826403580606,0.05468750139698386,0.6768669188022614,0.8941627442836761
drtp_sg,2703,1953,0.50M,0.06617004424333572,2.039553701877594,0.19389595091342926,-0.16507352888584137,0.609281063079834,0.0012391899290378205,0.0032552084885537624,1.1273111701011658,0.9696593135595322
drtp_sg,2703,2930,0.75M,0.10992813110351562,2.630955159664154,0.6911017894744873,0.610148012638092,1.0600709915161133,0.0002675174455362139,0.0,3.389429032802582,0.838978722691536
drtp_sg,2703,3907,1.00M,0.21906499564647675,2.1459203958511353,1.4467532932758331,0.2826397716999054,1.708660364151001,0.0013200102766859345,0.0035807292442768812,2.672328770160675,0.8970967829227448
