"method","seed","phase","selection_count","weight_update_count","q_l1_from_failure_uniform_mean","exposure_N","exposure_F0","exposure_TE","exposure_TL","exposure_DS","exposure_DL","exposure_CP"
"utr_sg","2701","0-0.25M","963","30","0","0.49428868120456904","0.09138110072689512","0.09241952232606439","0.0893042575285566","0.07476635514018691","0.07268951194184839","0.08515057113187954"
"utr_sg","2701","0.25-0.50M","965","31","0","0.49948186528497407","0.07772020725388601","0.08290155440414508","0.07979274611398963","0.09430051813471503","0.07357512953367876","0.0922279792746114"
"utr_sg","2701","0.50-0.75M","966","30","0","0.5165631469979296","0.07763975155279502","0.06832298136645963","0.07971014492753623","0.09213250517598344","0.07556935817805382","0.09006211180124224"
"utr_sg","2701","0.75-1.00M","964","31","0","0.487551867219917","0.0975103734439834","0.07572614107883817","0.08609958506224066","0.08402489626556017","0.0912863070539419","0.07780082987551867"
"utr_sg","2702","0-0.25M","961","30","0","0.48491155046826223","0.08116545265348596","0.07596253902185224","0.08012486992715921","0.07596253902185224","0.09469302809573361","0.10718002081165452"
"utr_sg","2702","0.25-0.50M","965","31","0","0.5347150259067357","0.08911917098445596","0.07253886010362694","0.06632124352331606","0.08911917098445596","0.0766839378238342","0.07150259067357513"
"utr_sg","2702","0.50-0.75M","971","30","0","0.4768280123583934","0.08856848609680741","0.08341915550978372","0.08959835221421215","0.09577754891864057","0.09268795056642637","0.07312049433573635"
"utr_sg","2702","0.75-1.00M","977","31","0","0.4779938587512794","0.08085977482088025","0.10133060388945753","0.0931422722620266","0.08904810644831115","0.07574206755373593","0.08188331627430911"
"utr_sg","2703","0-0.25M","961","30","0","0.4786680541103018","0.09053069719042664","0.08740894901144641","0.08116545265348596","0.09157127991675339","0.08844953173777315","0.08220603537981269"
"utr_sg","2703","0.25-0.50M","962","31","0","0.5072765072765073","0.09043659043659044","0.0945945945945946","0.07692307692307693","0.07588357588357589","0.079002079002079","0.07588357588357589"
"utr_sg","2703","0.50-0.75M","964","30","0","0.5072614107883817","0.09232365145228216","0.08817427385892117","0.08195020746887967","0.07365145228215768","0.07572614107883817","0.08091286307053942"
"utr_sg","2703","0.75-1.00M","965","31","0","0.48186528497409326","0.09326424870466321","0.08601036269430051","0.08393782383419689","0.08393782383419689","0.08601036269430051","0.0849740932642487"
"drtp_sg","2701","0-0.25M","962","30","0.3423791376035095","0.5103950103950103","0.10291060291060292","0.09147609147609148","0.07588357588357589","0.04677754677754678","0.05301455301455302","0.11954261954261955"
"drtp_sg","2701","0.25-0.50M","962","31","0.4643443677474001","0.48336798336798337","0.07068607068607069","0.04261954261954262","0.032224532224532226","0.09563409563409564","0.09043659043659044","0.18503118503118504"
"drtp_sg","2701","0.50-0.75M","975","30","0.49113593570877295","0.5076923076923077","0.0441025641025641","0.05128205128205128","0.02358974358974359","0.11282051282051282","0.13846153846153847","0.12205128205128205"
"drtp_sg","2701","0.75-1.00M","985","31","0.6067489846217942","0.4862944162436548","0.04568527918781726","0.04467005076142132","0.03248730964467005","0.05583756345177665","0.16548223350253807","0.16954314720812183"
"drtp_sg","2702","0-0.25M","961","30","0.20206746765425784","0.4797086368366285","0.08532778355879292","0.08532778355879292","0.054110301768990635","0.04994797086368366","0.1383975026014568","0.10718002081165452"
"drtp_sg","2702","0.25-0.50M","962","31","0.6021042443741992","0.4875259875259875","0.0395010395010395","0.10706860706860707","0.04054054054054054","0.02598752598752599","0.1548856548856549","0.1444906444906445"
"drtp_sg","2702","0.50-0.75M","964","30","0.6267700672961171","0.491701244813278","0.056016597510373446","0.06535269709543569","0.03319502074688797","0.028008298755186723","0.15145228215767634","0.17427385892116182"
"drtp_sg","2702","0.75-1.00M","967","31","0.723751885971594","0.5491209927611168","0.03205791106514995","0.033092037228541885","0.028955532574974147","0.047569803516028956","0.17166494312306102","0.1375387797311272"
"drtp_sg","2703","0-0.25M","961","30","0.4336150021768681","0.4869927159209157","0.07180020811654526","0.06347554630593132","0.061394380853277836","0.05202913631633715","0.11654526534859522","0.14776274713839752"
"drtp_sg","2703","0.25-0.50M","964","31","0.6954335777646763","0.5269709543568465","0.029045643153526972","0.03734439834024896","0.04564315352697095","0.03008298755186722","0.15352697095435686","0.17738589211618258"
"drtp_sg","2703","0.50-0.75M","970","30","0.6730923184249522","0.5051546391752577","0.0288659793814433","0.05360824742268041","0.027835051546391754","0.041237113402061855","0.17216494845360825","0.1711340206185567"
"drtp_sg","2703","0.75-1.00M","977","31","0.4565980817068771","0.5138178096212896","0.03480040941658137","0.0767656090071648","0.03991811668372569","0.06755373592630501","0.14636642784032752","0.12077789150460594"
