cohort,train_seed,final_q_l1_distance_from_uniform,highest_actual_exposure_group,highest_actual_exposure_share,highest_final_q_group,highest_final_q
A,78011,0.6322792184321115,CP,0.3098694136621404,CP,0.34470356692730214
A,78012,0.633413942039398,DL,0.2862218103181959,CP,0.35
A,78013,0.6459186369848396,CP,0.2751222022125032,CP,0.35
A,78014,0.6260619466914399,CP,0.328337381776836,CP,0.34906920443084444
A,78015,0.5117362674063652,CP,0.3250064516129032,DS,0.3168888706469189
B,78021,0.6826454976984717,CP,0.32037027460309253,CP,0.33732986936644727
B,78022,0.6213912178737295,CP,0.29158704746165365,CP,0.35
B,78023,0.6904749754715622,CP,0.3184237995824635,TE,0.3354431275308695
B,78024,0.7078941411300244,CP,0.30663531870428423,CP,0.35
B,78025,0.7159737368268688,CP,0.3097372648598228,CP,0.35
