cohort,train_seed,group,J,J_nominal,J_nominal_minus_group,success,timeout,collision,actual_non_nominal_exposure_share,final_q,final_logged_difficulty,selection_count,non_nominal_selection_count
B,78021,F0,243.63748745337128,263.7598553469777,20.122367893606423,0.4,0.6,0.0,0.10151522987019704,0.08382735751520642,0.04399096435344795,1963,19337
B,78021,TE,239.20739481594413,263.7598553469777,24.552460531033574,0.39,0.61,0.0,0.13481925841650721,0.06016668291522433,0.03643324106450067,2607,19337
B,78021,TL,243.5321700011939,263.7598553469777,20.22768534578381,0.43,0.57,0.0,0.12235610487666132,0.1105155247501868,0.023033912175942087,2366,19337
B,78021,DS,248.228604439497,263.7598553469777,15.531250907480711,0.4,0.6,0.0,0.11035838030718312,0.07083435263681331,0.11902127654720861,2134,19337
B,78021,DL,240.03096016138792,263.7598553469777,23.728895185589778,0.41,0.59,0.0,0.2105807519263588,0.33732621281612196,0.041578280518640674,4072,19337
B,78021,CP,231.79353641893715,263.7598553469777,31.96631892804055,0.41,0.59,0.0,0.32037027460309253,0.33732986936644727,0.12336238474664762,6195,19337
B,78022,F0,238.28466598287224,257.4550954043865,19.170429421514257,0.56,0.44,0.0,0.13453493776790787,0.05,0.011749277426716694,2605,19363
B,78022,TE,228.18799679878168,257.4550954043865,29.267098605604815,0.58,0.42,0.0,0.20812890564478645,0.19155287979929872,0.11545688574927361,4030,19363
B,78022,TL,238.37298208467664,257.4550954043865,19.082113319709862,0.55,0.45,0.0,0.10246346124051026,0.07292152079375523,0.0688690631892845,1984,19363
B,78022,DS,240.6244988320768,257.4550954043865,16.8305965723097,0.55,0.45,0.0,0.07834529773278934,0.06638287026938007,0.10331241052793866,1517,19363
B,78022,DL,235.43862864986062,257.4550954043865,22.01646675452588,0.61,0.39,0.0,0.1849403501523524,0.2691427291375661,0.10514430996604314,3581,19363
B,78022,CP,228.33395844283513,257.4550954043865,29.12113696155137,0.62,0.38,0.0,0.29158704746165365,0.35,0.13323973598881714,5646,19363
B,78023,F0,184.58439609640277,160.92810856631957,-23.656287530083205,0.41,0.59,0.0,0.0824634655532359,0.05,0.0,1580,19160
B,78023,TE,150.45306587936358,160.92810856631957,10.475042686955987,0.31,0.69,0.0,0.25683716075156576,0.3354431275308695,0.0075145115022300394,4921,19160
B,78023,TL,188.77246611054056,160.92810856631957,-27.844357544220998,0.4,0.6,0.0,0.06638830897703549,0.05,0.0,1272,19160
B,78023,DS,151.890618053833,160.92810856631957,9.037490512486556,0.36,0.64,0.0,0.06497912317327766,0.05476251226421893,0.06402366893941398,1245,19160
B,78023,DL,182.32509132207372,160.92810856631957,-21.396982755754152,0.4,0.6,0.0,0.21090814196242172,0.1876620390224161,0.0,4041,19160
B,78023,CP,174.13211185229943,160.92810856631957,-13.204003285979866,0.45,0.55,0.0,0.3184237995824635,0.3221323211824955,0.009942193309078215,6101,19160
B,78024,F0,184.47833819762337,213.43628416161053,28.957945963987157,0.28,0.72,0.0,0.08850574712643679,0.1168668190347781,0.06668334627279279,1694,19140
B,78024,TE,187.72158483602573,213.43628416161053,25.714699325584803,0.25,0.75,0.0,0.1537617554858934,0.09051316340735648,0.010142913188566182,2943,19140
B,78024,TL,183.61810723513364,213.43628416161053,29.818176926476895,0.28,0.72,0.0,0.08735632183908046,0.055012970820063664,0.05956670595708558,1672,19140
B,78024,DS,195.4498607454868,213.43628416161053,17.986423416123728,0.23,0.77,0.0,0.07288401253918496,0.05032664283945633,0.0,1395,19140
B,78024,DL,179.01668169398792,213.43628416161053,34.41960246762261,0.27,0.73,0.0,0.29085684430512015,0.33728040389834557,0.08998784176438468,5567,19140
B,78024,CP,179.2904474278586,213.43628416161053,34.145836733751935,0.28,0.72,0.0,0.30663531870428423,0.35,0.1234970103937797,5869,19140
B,78025,F0,216.8908802987449,173.32796650029252,-43.56291379845237,0.35,0.65,0.0,0.09524796600507851,0.05537790504229779,0.0,1838,19297
B,78025,TE,223.89390668570996,173.32796650029252,-50.565940185417446,0.37,0.63,0.0,0.12038140643623362,0.15131336913317073,0.0,2323,19297
B,78025,TL,220.01059571966528,173.32796650029252,-46.68262921937276,0.38,0.62,0.0,0.07249831580038348,0.0509942620388819,0.0,1399,19297
B,78025,DS,213.56251782650594,173.32796650029252,-40.23455132621342,0.2,0.8,0.0,0.10084469088459345,0.0509942620388819,0.0,1946,19297
B,78025,DL,216.44468369666487,173.32796650029252,-43.11671719637235,0.39,0.61,0.0,0.30129035601388815,0.3413202017467678,0.0,5814,19297
B,78025,CP,221.870504100807,173.32796650029252,-48.54253760051449,0.41,0.59,0.0,0.3097372648598228,0.35,0.044623548487421005,5977,19297
