cohort,train_seed,milestone_fraction,update,q_F0,q_TE,q_TL,q_DS,q_DL,q_CP
B,78021,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
B,78021,0.25,9765,0.08332377051245568,0.11990420147565399,0.15988362831274466,0.22571067968936173,0.0738432049336517,0.3373345150761323
B,78021,0.5,19531,0.24758747101156803,0.10259547017424131,0.05,0.1895402023071082,0.11066388825349593,0.29961296825358663
B,78021,0.75,29296,0.08646802876518127,0.12453250631552717,0.10426178105841469,0.05429441928379043,0.2830282757081747,0.34741498886891187
B,78021,1.0,39062,0.08382735751520642,0.06016668291522433,0.1105155247501868,0.07083435263681331,0.33732621281612196,0.33732986936644727
B,78022,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
B,78022,0.25,9765,0.15468283789208617,0.24066111968115814,0.07892668457445093,0.08768663421527453,0.09522478145647649,0.34281794218055384
B,78022,0.5,19530,0.09120610995674207,0.23663716182102223,0.06857696827176528,0.07494622974855959,0.17863353020191095,0.35
B,78022,0.75,29297,0.05,0.2538286566500544,0.06032824466877743,0.050475498813568644,0.3496822981970731,0.23568530167052656
B,78022,1.0,39063,0.05,0.19155287979929872,0.07292152079375523,0.06638287026938007,0.2691427291375661,0.35
B,78023,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
B,78023,0.25,9766,0.10187183792385496,0.3317654591150344,0.09955139665260762,0.06436971783916295,0.05244158846934019,0.35
B,78023,0.5,19531,0.06127391816999328,0.24748598801941016,0.05054248093893007,0.07341023091246866,0.22753173901583956,0.33975564294335836
B,78023,0.75,29298,0.05,0.20358823009055307,0.06673799308708589,0.05,0.29263436278364907,0.33703941403871207
B,78023,1.0,39063,0.05,0.3354431275308695,0.05,0.05476251226421893,0.1876620390224161,0.3221323211824955
B,78024,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
B,78024,0.25,9765,0.05,0.22639542946145275,0.12307457519282172,0.057826241891036,0.3341242173077291,0.2085795361469605
B,78024,0.5,19531,0.12036658093792695,0.06842420580147553,0.060424913017002875,0.05772076309777196,0.35,0.34306353714582283
B,78024,0.75,29297,0.06892326731747717,0.08603721185082525,0.07692599716697443,0.06811352366472331,0.35,0.35
B,78024,1.0,39063,0.1168668190347781,0.09051316340735648,0.055012970820063664,0.05032664283945633,0.33728040389834557,0.35
B,78025,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
B,78025,0.25,9765,0.08623034284349015,0.07938573830015683,0.10190223978775328,0.11150198406289101,0.29454150195300505,0.3264381930527038
B,78025,0.5,19531,0.1361740439839627,0.06287190608156912,0.06694646001674905,0.05295040263541881,0.3496567662095653,0.3314004210727351
B,78025,0.75,29296,0.05,0.1325524694342375,0.08192709319426193,0.05,0.33552043737150067,0.35
B,78025,1.0,39063,0.05537790504229779,0.15131336913317073,0.0509942620388819,0.0509942620388819,0.3413202017467678,0.35
