adapted_movement_count,origin,sha256,source,status
1215,direct,4ed9292497a62c5504773eb0be49ef097d70ffd4b4afb0a81f2ab76ef3c68fe6,artifacts\drtp_stab_a0\source_logs\results\development\drtp_sg_strict_continuous_10m\runs\drtp_sg\seed1901\drtp_topology_sampler_log.csv,included
1215,direct,f97493d3d6292f83297c5302de333b2d9b9b812f738695fbf6e20aed8477b7d9,artifacts\drtp_stab_a0\source_logs\results\development\drtp_sg_strict_continuous_10m\runs\drtp_sg\seed1902\drtp_topology_sampler_log.csv,included
1215,direct,cf9243c8d635124deea82fce1a254513e94c1adf66ed6be3824526ebff691afb,artifacts\drtp_stab_a0\source_logs\results\heldout\drtp_sg_heldout_v2\runs\drtp_sg\seed2001\drtp_topology_sampler_log.csv,included
1215,direct,fbfb5cd8da0bf11bc2092822ec102c2d0fe75752e402457a406504052ee53811,artifacts\drtp_stab_a0\source_logs\results\heldout\drtp_sg_heldout_v2\runs\drtp_sg\seed2002\drtp_topology_sampler_log.csv,included
1215,direct,acc617167be4d038aba42301b3fcdbfc0fa2b0cf22b4466ac4a130077a80c13e,artifacts\drtp_stab_a0\source_logs\results\heldout\drtp_sg_heldout_v2\runs\drtp_sg\seed2003\drtp_topology_sampler_log.csv,included
1215,archive,f119655fa97891285fe05cf2e2ab4f4c78dd62de7f889c438762a68b37f98776,drtp_utr_q2_paired_5seed_cloud_10way.tar.gz:results/formal/drtp_utr_q2_paired_5seed_cloud_10way/runs/drtp_sg/seed2301/drtp_topology_sampler_log.csv,included
1215,archive,4f551d40cbc3b34ccca17e5d26a9cb0c7e2379cc19871a0d66f1a1b80eef2dbb,drtp_utr_q2_paired_5seed_cloud_10way.tar.gz:results/formal/drtp_utr_q2_paired_5seed_cloud_10way/runs/drtp_sg/seed2302/drtp_topology_sampler_log.csv,included
1215,archive,e9200c250e5e4aaebfded309829b1d34c5ca4678099e4bec5df2c46311b58af5,drtp_utr_q2_paired_5seed_cloud_10way.tar.gz:results/formal/drtp_utr_q2_paired_5seed_cloud_10way/runs/drtp_sg/seed2303/drtp_topology_sampler_log.csv,included
1215,archive,97b1f912e381d310889c94d4defd80bb6fc3a78035e608762411fe08b47dbabf,drtp_utr_q2_paired_5seed_cloud_10way.tar.gz:results/formal/drtp_utr_q2_paired_5seed_cloud_10way/runs/drtp_sg/seed2304/drtp_topology_sampler_log.csv,included
1215,archive,62483d340cbc5a01bc3a9be545842dbac54e8d7c0d57fc1493e3f7566d86e3d5,drtp_utr_q2_paired_5seed_cloud_10way.tar.gz:results/formal/drtp_utr_q2_paired_5seed_cloud_10way/runs/drtp_sg/seed2305/drtp_topology_sampler_log.csv,included
117,archive,3e7f491a2945c986299b6156ec9079c91602f94c6f267ce0613ea9c812bbd5b7,drtp_b3_1m_results.tar.gz:drtp_b3/runs/drtp_sg/seed2701/drtp_topology_sampler_log.csv,included
117,archive,82cb6388a9883e0b97c85ea34bc7af8c838d8bd8b7fd4c67c823b3ae53f1cf7f,drtp_b3_1m_results.tar.gz:drtp_b3/runs/drtp_sg/seed2702/drtp_topology_sampler_log.csv,included
117,archive,5f0d8bed8b30cdfa7dd399fb7b753b47be91898993b86d1374757b2e7d1db02d,drtp_b3_1m_results.tar.gz:drtp_b3/runs/drtp_sg/seed2703/drtp_topology_sampler_log.csv,included
56,archive,1310b8b61e35a19e44a901b0069f91ba31ab139eb949124cd139d76d97ebfc1c,drtp_h2_confirmation_stage1_05m_results.tar.gz:results/development/drtp_h2_confirmation_stage1/runs/drtp_sg/seed2801/drtp_topology_sampler_log.csv,included
56,archive,79bc526ab862bb8d601b367b42edf837b7c78f640140c0b2992021df6066ea7e,drtp_h2_confirmation_stage1_05m_results.tar.gz:results/development/drtp_h2_confirmation_stage1/runs/drtp_sg/seed2802/drtp_topology_sampler_log.csv,included
56,archive,6f01b33b57cffa33740c517d182dcb5e04fcc9ec5e1de818d1cb717745493418,drtp_h2_confirmation_stage1_05m_results.tar.gz:results/development/drtp_h2_confirmation_stage1/runs/drtp_sg/seed2803/drtp_topology_sampler_log.csv,included
56,archive,087105bb922776237ea5f33eefe78a3347d4b047253d6c76c67360428d8a2ca0,drtp_h2_confirmation_stage1_05m_results.tar.gz:results/development/drtp_h2_confirmation_stage1/runs/drtp_sg/seed2804/drtp_topology_sampler_log.csv,included
56,archive,c7682adb4f439088543dc5423ee5e7da789d9fc201e3c35971a6a17a0c81d529,drtp_h2_confirmation_stage1_05m_results.tar.gz:results/development/drtp_h2_confirmation_stage1/runs/drtp_sg/seed2805/drtp_topology_sampler_log.csv,included
