seed,condition,collision_delta,timeout_delta,constraint_violation
3001,F0_44_80,0.0,0.09999999999999998,0.0
3001,T28_28_80,-0.01,0.08999999999999997,0.0
3001,D120_44_120,0.0,0.14,0.0
3001,C28_120,0.0,0.08000000000000007,0.0
3002,F0_44_80,0.0,0.0,0.0
3002,T28_28_80,-0.01,-0.020000000000000018,0.0
3002,D120_44_120,-0.02,0.020000000000000018,0.0
3002,C28_120,-0.01,0.0,0.0
3003,F0_44_80,0.0,0.010000000000000009,0.0
3003,T28_28_80,-0.03,0.07999999999999996,0.0
3003,D120_44_120,0.05,-0.06999999999999995,0.0
3003,C28_120,0.05,-0.050000000000000044,0.0
3004,F0_44_80,-0.01,0.010000000000000009,0.0
3004,T28_28_80,0.0,0.0,0.0
3004,D120_44_120,0.0,0.0,0.0
3004,C28_120,0.0,0.0,0.0
3005,F0_44_80,-0.1,0.10000000000000009,0.0
3005,T28_28_80,-0.12000000000000001,0.16999999999999993,0.0
3005,D120_44_120,-0.09,0.10999999999999999,0.0
3005,C28_120,-0.11000000000000001,0.15000000000000002,0.0
