method,update,mean_gate,sd_gate,min_gate,max_gate,saturation_fraction
full,100,0.5240990394009664,0.04065189067986821,0.44775418806051026,0.6276807187798681,0.0
full,200,0.5241008631365003,0.04065423194882546,0.44770536372146724,0.6277174778982479,0.0
full,300,0.5240976965424721,0.04065542194934419,0.44749256167064777,0.6277463659908373,0.0
full,400,0.5240956070698418,0.04065562147817762,0.4474469921512749,0.6276386508304447,0.0
full,500,0.524095627761207,0.04065453947477422,0.44738928455319965,0.6278343060899996,0.0
full,600,0.5240955000190536,0.04065470944899026,0.44746769340250264,0.6278072174297792,0.0
full,700,0.5240914832128527,0.04065603469403694,0.4472970820710335,0.6279546703050566,0.0
full,800,0.5240887633247749,0.04064931463812154,0.44738232171740383,0.6275670612242246,0.0
full,900,0.5240880937658579,0.04065076163365801,0.44727428620324905,0.6274066712899612,0.0
full,977,0.524088529350228,0.04065063692097102,0.44718068106200076,0.6274877893035004,0.0
w_o_gate_prior,100,0.5015385771840544,0.016360328822793306,0.419495712041229,0.5548986847212716,0.0
w_o_gate_prior,200,0.5015398674530863,0.016360595125654066,0.4194877434002142,0.5548868007422114,0.0
w_o_gate_prior,300,0.5015393411950865,0.01636207728616855,0.41948724264002263,0.5549542614558974,0.0
w_o_gate_prior,400,0.5015419055053909,0.016369334856071092,0.4194850726811082,0.5550831414857411,0.0
w_o_gate_prior,500,0.5015409037244613,0.016375258775442075,0.4194684098227721,0.5551271363852505,0.0
w_o_gate_prior,600,0.5015409634980138,0.01637592195091175,0.4194859725968018,0.5551281631065922,0.0
w_o_gate_prior,700,0.501538671269622,0.01637418804363216,0.4194847606136943,0.5549716912380679,0.0
w_o_gate_prior,800,0.5015351027296113,0.016375936810929054,0.41945734247698013,0.5549971989799681,0.0
w_o_gate_prior,900,0.5015301631727253,0.01637258187457703,0.41943244305949345,0.5550560265077941,0.0
w_o_gate_prior,977,0.5015308428909878,0.01637478677492606,0.4194221597415399,0.5550249255777663,0.0
