method,seed,update,mean,sd,min,max,mean_abs_drift,saturation_fraction,relation0_mean,relation1_mean,relation2_mean,checkpoint
full,0,100,0.524152628741821,0.04033992689411954,0.4653551065191476,0.6254364581085051,0.0202821722242135,0.0,0.5213799798459842,0.5245325775055194,0.5265453288739593,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0100.pt
full,0,200,0.5241511053629083,0.04033832140079805,0.46539219929670944,0.6253878225863004,0.02028350747004622,0.0,0.5213794594809795,0.524536632800283,0.5265372238074627,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0200.pt
full,0,300,0.5241500355482204,0.040342005741018594,0.4653556848743588,0.6252332696601005,0.020282956374153373,0.0,0.5213848378447863,0.5245427249535457,0.5265225438463291,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0300.pt
full,0,400,0.5241499564032264,0.040347342787782785,0.46535017196661393,0.6251090446154292,0.020284563540780908,0.0,0.5213890167064252,0.5245506245146128,0.526510227988641,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0400.pt
full,0,500,0.5241480543670001,0.040345081565597636,0.4654456313647278,0.6250053109228573,0.02028531633885324,0.0,0.5213799120383684,0.5245569939993837,0.5265072570632482,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0500.pt
full,0,600,0.5241439031599813,0.04034737302077873,0.4654207578449371,0.6251015576233262,0.02028269413865388,0.0,0.5213738094703652,0.5245610496306523,0.5264968503789262,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0600.pt
full,0,700,0.5241423786313179,0.04034166196463889,0.46549479683452166,0.6250922546728923,0.020281330783780915,0.0,0.5213764477776833,0.5245600359313914,0.5264906521848787,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt
full,0,800,0.524141723807273,0.04034117106307499,0.46536351492330935,0.6250296459279918,0.020283569419708544,0.0,0.5213794954023372,0.5245664547979696,0.5264792212215119,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0800.pt
full,0,900,0.5241426688154474,0.0403447320126473,0.4653821929214965,0.6250936375497491,0.020280524747339577,0.0,0.5213782506576528,0.5245606056292469,0.5264891501594423,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0900.pt
full,0,977,0.5241428308417382,0.040344721491554915,0.4654949303062825,0.6253377601235861,0.02028500322091961,0.0,0.5213765031580262,0.5245696824770727,0.5264823068901159,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0977.pt
full,1,100,0.523883634389306,0.04078414609629088,0.44775418806051026,0.6261310420846914,0.019668673005511856,0.0,0.5208861734764334,0.5251045168275519,0.5256602128639328,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0100.pt
full,1,200,0.523890654354225,0.040791674587320005,0.44770536372146724,0.6261383115215611,0.019674980913410748,0.0,0.5209018371412519,0.5251117920140357,0.5256583339073874,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0200.pt
full,1,300,0.5238875472335419,0.04079435641599612,0.44749256167064777,0.6261584730973876,0.01967916660834206,0.0,0.5208944491294393,0.5251208434997259,0.5256473490714606,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0300.pt
full,1,400,0.5238786316401214,0.04078849282441895,0.4474469921512749,0.626089628928216,0.0196731306621413,0.0,0.5208786576427162,0.5251080359321052,0.5256492013455426,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0400.pt
full,1,500,0.5238795248765676,0.04078840076472668,0.44738928455319965,0.6260971917112731,0.01967889159562009,0.0,0.5208760700263437,0.5251147445875773,0.5256477600157818,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0500.pt
full,1,600,0.5238792609627516,0.04078807029516997,0.44746769340250264,0.62611321009627,0.019673120284641316,0.0,0.5208771406208506,0.5251143429968802,0.525646299270524,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0600.pt
full,1,700,0.5238739770845875,0.04079619291371884,0.4472970820710335,0.6261280701104156,0.0196717204255166,0.0,0.520874534153287,0.5250998422761146,0.5256475548243607,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0700.pt
full,1,800,0.5238710406013761,0.04078640248358235,0.44738232171740383,0.6261096380761785,0.019673348804297427,0.0,0.5208672141278068,0.5250987600338061,0.5256471476425155,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0800.pt
full,1,900,0.5238675544352408,0.04079137224225793,0.44727428620324905,0.6261154705081317,0.019671197544284393,0.0,0.5208644682571082,0.5250958737741022,0.5256423212745118,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0900.pt
full,1,977,0.5238682961546988,0.040792457829815366,0.44718068106200076,0.626128684040154,0.019674122334194865,0.0,0.5208629281899081,0.5250994626567399,0.5256424976174485,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0977.pt
