method,update,n,mean,sd,worst_seed,best_seed
full,1,3,0.13333333333333333,0.11547005383792516,0.0,0.2
full,100,3,0.4000000000000001,0.19999999999999998,0.2,0.6
full,200,3,0.9333333333333332,0.11547005383792512,0.8,1.0
full,300,3,0.6,0.5291502622129182,0.0,1.0
full,400,3,0.3333333333333333,0.4163331998932266,0.0,0.8
full,500,3,0.13333333333333333,0.23094010767585035,0.0,0.4
full,600,3,0.7999999999999999,0.34641016151377546,0.4,1.0
full,700,3,0.5333333333333333,0.5033222956847166,0.0,1.0
full,800,3,0.6666666666666666,0.5773502691896258,0.0,1.0
full,900,3,0.8666666666666667,0.11547005383792512,0.8,1.0
w_o_gate_prior,1,3,0.3333333333333333,0.23094010767585027,0.2,0.6
w_o_gate_prior,100,3,0.26666666666666666,0.11547005383792516,0.2,0.4
w_o_gate_prior,200,3,0.06666666666666667,0.11547005383792518,0.0,0.2
w_o_gate_prior,300,3,0.13333333333333333,0.23094010767585035,0.0,0.4
w_o_gate_prior,400,3,0.20000000000000004,3.3993498887762956e-17,0.2,0.2
w_o_gate_prior,500,3,0.6666666666666666,0.41633319989322654,0.2,1.0
w_o_gate_prior,600,3,0.6,0.5291502622129182,0.0,1.0
w_o_gate_prior,700,3,0.5333333333333333,0.11547005383792514,0.4,0.6
w_o_gate_prior,800,3,0.6666666666666666,0.41633319989322654,0.2,1.0
w_o_gate_prior,900,3,0.5333333333333333,0.5033222956847166,0.0,1.0
