method,condition,recovery_mean
full_ea_rg,R00,0.9933
full_ea_rg,R01,0.9733
full_ea_rg,R02,0.9400
full_ea_rg,R03,1.0000
full_ea_rg,R04,1.0000
full_ea_rg,R05,0.9867
full_ea_rg,R06,nan
full_ea_rg,R07,1.0000
full_ea_rg,R08,nan
full_ea_rg,R09,0.9267
w_o_gate_prior,R00,0.9400
w_o_gate_prior,R01,0.8933
w_o_gate_prior,R02,0.8733
w_o_gate_prior,R03,0.9333
w_o_gate_prior,R04,0.8867
w_o_gate_prior,R05,0.8000
w_o_gate_prior,R06,nan
w_o_gate_prior,R07,0.9400
w_o_gate_prior,R08,nan
w_o_gate_prior,R09,0.7267
w_o_task_support,R00,0.9867
w_o_task_support,R01,0.9267
w_o_task_support,R02,0.8067
w_o_task_support,R03,0.9800
w_o_task_support,R04,1.0000
w_o_task_support,R05,0.8800
w_o_task_support,R06,nan
w_o_task_support,R07,0.9667
w_o_task_support,R08,nan
w_o_task_support,R09,0.9467
w_o_role_pair_gate,R00,1.0000
w_o_role_pair_gate,R01,1.0000
w_o_role_pair_gate,R02,1.0000
w_o_role_pair_gate,R03,1.0000
w_o_role_pair_gate,R04,0.9933
w_o_role_pair_gate,R05,1.0000
w_o_role_pair_gate,R06,nan
w_o_role_pair_gate,R07,0.9933
w_o_role_pair_gate,R08,nan
w_o_role_pair_gate,R09,0.9867
param_matched_single,R00,1.0000
param_matched_single,R01,1.0000
param_matched_single,R02,0.9733
param_matched_single,R03,1.0000
param_matched_single,R04,0.8333
param_matched_single,R05,1.0000
param_matched_single,R06,1.0000
param_matched_single,R07,0.9600
param_matched_single,R08,1.0000
param_matched_single,R09,0.5200
happo,R00,1.0000
happo,R01,0.6133
happo,R02,0.0933
happo,R03,0.3067
happo,R04,0.0133
happo,R05,1.0000
happo,R06,nan
happo,R07,1.0000
happo,R08,nan
happo,R09,0.0000
mappo,R00,0.9800
mappo,R01,0.9667
mappo,R02,0.8800
mappo,R03,0.9000
mappo,R04,0.5133
mappo,R05,0.9933
mappo,R06,nan
mappo,R07,0.9867
mappo,R08,nan
mappo,R09,0.4333
