current_value,future_value,prior,scout_distance,specialist_current_distance,specialist_future_distance,current_deadline,value_commit,value_reserve,value_active_reveal,value_aura_style,best_policy,active_gain_over_best_nonactive,active_feasible,signal_changes_commitment
8.0,6.0,0.2,1.0,2.0,3.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,1.0,2.0,3.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,1.0,2.0,6.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,1.0,2.0,6.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,1.0,4.0,3.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,False,False
8.0,6.0,0.2,1.0,4.0,3.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,1.0,4.0,6.0,5.0,8.0,12.4,11.900000000000002,11.200000000000001,reserve,-0.4999999999999982,False,False
8.0,6.0,0.2,1.0,4.0,6.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,3.0,2.0,3.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,False,False
8.0,6.0,0.2,3.0,2.0,3.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,3.0,2.0,6.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,False,False
8.0,6.0,0.2,3.0,2.0,6.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,3.0,4.0,3.0,5.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,False,False
8.0,6.0,0.2,3.0,4.0,3.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
8.0,6.0,0.2,3.0,4.0,6.0,5.0,8.0,12.4,11.900000000000002,11.200000000000001,reserve,-0.4999999999999982,False,False
8.0,6.0,0.2,3.0,4.0,6.0,8.0,8.0,12.4,11.900000000000002,12.8,aura_style,-0.8999999999999986,True,False
