game,hazard,action_0,action_1,team_cost,default_cost,avoidable_harm,rho_0,rho_1,efficiency_error
joint_causation,0,0,0,0,0,0,0.0,0.0,0.0
joint_causation,0,0,1,0,0,0,0.0,0.0,0.0
joint_causation,0,1,0,0,0,0,0.0,0.0,0.0
joint_causation,0,1,1,1,0,1,0.5,0.5,0.0
joint_causation,1,0,0,1,1,0,0.0,0.0,0.0
joint_causation,1,0,1,1,1,0,0.0,0.0,0.0
joint_causation,1,1,0,1,1,0,0.0,0.0,0.0
joint_causation,1,1,1,1,1,0,0.0,0.0,0.0
agent0_only,0,0,0,0,0,0,0.0,0.0,0.0
agent0_only,0,0,1,0,0,0,0.0,0.0,0.0
agent0_only,0,1,0,1,0,1,1.0,0.0,0.0
agent0_only,0,1,1,1,0,1,1.0,0.0,0.0
agent0_only,1,0,0,1,1,0,0.0,0.0,0.0
agent0_only,1,0,1,1,1,0,0.0,0.0,0.0
agent0_only,1,1,0,1,1,0,0.0,0.0,0.0
agent0_only,1,1,1,1,1,0,0.0,0.0,0.0
no_avoidable_harm,0,0,0,0,0,0,0.0,0.0,0.0
no_avoidable_harm,0,0,1,0,0,0,0.0,0.0,0.0
no_avoidable_harm,0,1,0,0,0,0,0.0,0.0,0.0
no_avoidable_harm,0,1,1,0,0,0,0.0,0.0,0.0
no_avoidable_harm,1,0,0,1,1,0,0.0,0.0,0.0
no_avoidable_harm,1,0,1,1,1,0,0.0,0.0,0.0
no_avoidable_harm,1,1,0,1,1,0,0.0,0.0,0.0
no_avoidable_harm,1,1,1,1,1,0,0.0,0.0,0.0
