method,seed,scenario,episode,ref_success,ref_collision,ref_steps,ref_failure_step,ref_recovered,ref_recovery_step,ref_action_hash,ts_window_pre_failure,ts_window_early_post,ok_success,ok_steps,ok_fail,ok_rec,ok_hash,ok_pre_window,ok_early_window
full,0,dropout030_delay2_relay_failure,0,1.0,0.0,44,39,1.0,44,2a5602bd1779034d,0.25555557,0.08888889,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure,1,1.0,0.0,44,39,1.0,44,25987ac1a814f586,0.22777778,0.06666667,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure,2,1.0,0.0,45,39,1.0,45,3799138a1f751030,0.16666667,0.055555556,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure,3,1.0,0.0,44,39,1.0,44,083f9f57e831ff48,0.2,0.15555556,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure,4,1.0,0.0,47,39,1.0,47,684cf9c6edc4d897,0.23888889,0.083333336,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure_early,0,1.0,0.0,44,24,1.0,44,e233c20b20e8caf3,0.05,0.1,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure_early,1,1.0,0.0,44,24,1.0,44,25987ac1a814f586,0.03888889,0.08888889,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure_early,2,1.0,0.0,45,24,1.0,45,e2ed5e5901d44515,0.033333335,0.06349207,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure_early,3,1.0,0.0,44,24,1.0,44,921dfa2d02cf1287,0.05,0.1,True,True,True,True,True,True,True
full,0,dropout030_delay2_relay_failure_early,4,1.0,0.0,47,24,1.0,47,684cf9c6edc4d897,0.044444446,0.08994709,True,True,True,True,True,True,True
full,1,dropout030_delay2_relay_failure,0,1.0,0.0,44,39,1.0,44,38953b3681619666,0.22222222,0.06666667,True,True,True,True,True,True,True
full,1,dropout030_delay2_relay_failure,1,1.0,0.0,44,39,1.0,44,f69401a049864331,0.23333333,0.11111111,True,True,True,True,True,True,True
full,1,dropout030_delay2_relay_failure,2,1.0,0.0,45,39,1.0,45,c600153b19d65458,0.18888889,0.074074075,True,True,True,True,True,True,True
