method,seed,scenario,episode,success,recovered,steps,failure_step,recovery_step,first_support_after_failure,support_persistence,unique_active_pairs,pre_recovery_boost,action_hash
full,0,dropout030_delay2_relay_failure,0,1,1,44,39,44,41,3,3,0.0000,2a5602bd1779034d
full,0,dropout030_delay2_relay_failure,1,1,1,44,39,44,40,2,3,0.0000,25987ac1a814f586
full,0,dropout030_delay2_relay_failure,3,1,1,44,39,44,40,4,3,0.0000,083f9f57e831ff48
full,0,dropout030_delay2_relay_failure,2,1,1,45,39,45,41,1,3,0.0000,3799138a1f751030
full,0,dropout030_delay2_relay_failure,5,1,1,45,39,45,40,3,3,0.0000,1802e1c7ad588780
full,0,dropout030_delay2_relay_failure,6,1,1,45,39,45,40,5,3,0.0000,85a1fe0d09e04f1b
full,0,dropout030_delay2_relay_failure,4,1,1,47,39,47,40,3,3,0.0000,684cf9c6edc4d897
full,0,dropout030_delay2_relay_failure,7,1,1,47,39,47,40,2,3,0.0000,f6296c0c6de1e788
full,0,dropout030_delay2_relay_failure,9,1,1,44,39,44,42,2,3,0.0000,6a394999bed8bc7d
full,0,dropout030_delay2_relay_failure,8,1,1,46,39,46,40,3,3,0.0000,d31ede4801c64e25
full,0,dropout030_delay2_relay_failure,11,1,1,46,39,46,40,3,3,0.0000,97a2c4c9d6f7768d
full,0,dropout030_delay2_relay_failure,10,1,1,48,39,48,40,8,3,0.0000,2ef0328f24958244
full,0,dropout030_delay2_relay_failure,15,1,1,44,39,44,40,1,3,0.0000,0c311f39e1922472
full,0,dropout030_delay2_relay_failure,12,1,1,46,39,46,40,1,3,0.0000,92bec7d5cc2b17b1
full,0,dropout030_delay2_relay_failure,13,1,1,47,39,47,40,6,3,0.0000,6c9ee2768a187f48
full,0,dropout030_delay2_relay_failure,14,0,0,260,39,-1,40,10,3,,762cfd7755ec182a
full,0,dropout030_delay2_relay_failure,19,1,1,45,39,45,40,2,3,0.0000,40cb06325efec2ef
full,0,dropout030_delay2_relay_failure,17,1,1,46,39,46,40,4,3,0.0000,611bbf4c0536cd78
full,0,dropout030_delay2_relay_failure,16,1,1,47,39,47,40,3,3,0.0000,04b89435dc1c3887
full,0,dropout030_delay2_relay_failure,18,1,1,48,39,48,40,6,3,0.0000,41a0d9505b6a29a9
full,0,dropout030_delay2_relay_failure,20,1,1,44,39,44,41,3,3,0.0000,50c58b1949ddb4f0
full,0,dropout030_delay2_relay_failure,23,1,1,44,39,44,41,3,3,0.0000,bff3a83a70892f40
full,0,dropout030_delay2_relay_failure,21,1,1,46,39,46,40,5,3,0.0000,5bca364b1397e3f7
full,0,dropout030_delay2_relay_failure,22,1,1,48,39,48,40,2,3,0.0000,6b9535a7fe39ba89
full,0,dropout030_delay2_relay_failure,25,1,1,44,39,44,40,2,3,0.0000,e91bec10478df02c
full,0,dropout030_delay2_relay_failure,27,1,1,44,39,44,41,3,3,0.0000,ee3b2d1fbfe41f67
full,0,dropout030_delay2_relay_failure,24,1,1,46,39,46,40,1,3,0.0000,0e439a7ce5a7622b
full,0,dropout030_delay2_relay_failure,26,1,1,48,39,48,40,2,3,0.0000,92450dd1e930da26
full,0,dropout030_delay2_relay_failure,30,1,1,45,39,45,40,2,3,0.0000,16147c18bf033c7d
full,0,dropout030_delay2_relay_failure,31,1,1,45,39,45,40,2,3,0.0000,39345c8876e4a516
full,0,dropout030_delay2_relay_failure,28,1,1,47,39,47,40,4,3,0.0000,099433ae4cdb3d65
full,0,dropout030_delay2_relay_failure,29,1,1,47,39,47,41,6,3,0.0000,74b2cd8965bcd14e
full,0,dropout030_delay2_relay_failure,33,1,1,44,39,44,40,2,3,0.0000,8d940286b4c39d83
full,0,dropout030_delay2_relay_failure,35,1,1,44,39,44,42,2,3,0.0000,5b8d848f2da5b1a7
full,0,dropout030_delay2_relay_failure,34,1,1,46,39,46,40,2,3,0.0000,e1000b3e08d1c277
full,0,dropout030_delay2_relay_failure,32,0,0,260,39,-1,41,8,3,,4bfb0cf52de38b46
full,0,dropout030_delay2_relay_failure,39,1,1,44,39,44,40,4,3,0.0000,b47a9aab209c90fe
full,0,dropout030_delay2_relay_failure,37,1,1,46,39,46,40,6,3,0.0000,71cdb5e09f569549
full,0,dropout030_delay2_relay_failure,38,1,1,46,39,46,41,4,3,0.0000,2c139cf2c05f4d18
full,0,dropout030_delay2_relay_failure,36,1,1,49,39,49,40,5,3,0.0000,a570e31af567882c
full,0,dropout030_delay2_relay_failure,41,1,1,44,39,44,40,3,3,0.0000,6f55bc9383bd79b6
full,0,dropout030_delay2_relay_failure,40,1,1,45,39,45,40,5,3,0.0000,8ab46634b8bd7942
full,0,dropout030_delay2_relay_failure,43,1,1,45,39,45,41,2,3,0.0000,b3436f8320a2b822
full,0,dropout030_delay2_relay_failure,42,1,1,47,39,47,40,5,3,0.0000,46c35bbf79765a4b
full,0,dropout030_delay2_relay_failure,46,1,1,44,39,44,40,2,3,0.0000,81c3378a7585bb41
full,0,dropout030_delay2_relay_failure,44,1,1,45,39,45,40,2,3,0.0000,98ff0a0f50c8ddf8
full,0,dropout030_delay2_relay_failure,47,1,1,46,39,46,40,3,3,0.0000,c1412ada5d8b19ee
full,0,dropout030_delay2_relay_failure,45,0,0,260,39,-1,40,9,3,,d7227116ccfedde1
full,0,dropout030_delay2_relay_failure,49,1,1,44,39,44,40,2,3,0.0000,6b0856ca550cb70d
full,0,dropout030_delay2_relay_failure,50,1,1,45,39,45,40,3,3,0.0000,75e9dd6bee836efd
full,0,dropout030_delay2_relay_failure,51,1,1,45,39,45,40,2,3,0.0000,c287978c0a6799b3
full,0,dropout030_delay2_relay_failure,48,1,1,47,39,47,40,5,3,0.0000,b7313ad4c11200de
full,0,dropout030_delay2_relay_failure,53,1,1,44,39,44,41,3,3,0.0000,cc9ab2589fa29a9f
full,0,dropout030_delay2_relay_failure,52,1,1,45,39,45,41,1,3,0.0000,fbda6a43af8a4926
full,0,dropout030_delay2_relay_failure,54,1,1,45,39,45,40,5,3,0.0000,47786a867549b41e
full,0,dropout030_delay2_relay_failure,55,1,1,45,39,45,40,3,3,0.0000,d0cc76edbdba179a
full,0,dropout030_delay2_relay_failure,56,1,1,44,39,44,40,2,3,0.0000,941e64de6147ef8a
full,0,dropout030_delay2_relay_failure,58,1,1,44,39,44,41,1,3,0.0000,99f9efe2e424e17c
full,0,dropout030_delay2_relay_failure,57,1,1,46,39,46,40,3,3,0.0000,6de08c601e4ffd13
full,0,dropout030_delay2_relay_failure,59,1,1,46,39,46,43,3,3,0.0000,384d18379f43cf84
full,0,dropout030_delay2_relay_failure,60,1,1,45,39,45,42,3,3,0.0000,b703cc99bb48d0bd
full,0,dropout030_delay2_relay_failure,62,1,1,45,39,45,41,3,3,0.0000,c21988432f2c8262
full,0,dropout030_delay2_relay_failure,63,1,1,46,39,46,40,4,3,0.0000,29b4c2286095392d
full,0,dropout030_delay2_relay_failure,61,0,0,260,39,-1,41,10,3,,3b0d445d712f77c8
full,0,dropout030_delay2_relay_failure,64,1,1,44,39,44,41,2,3,0.0000,4530e6458d7b0fc1
full,0,dropout030_delay2_relay_failure,65,1,1,46,39,46,42,2,3,0.0000,87cde1a152f7c877
full,0,dropout030_delay2_relay_failure,67,1,1,47,39,47,40,2,3,0.0000,c0a0dcd60b857ba4
full,0,dropout030_delay2_relay_failure,66,0,0,260,39,-1,40,9,3,,d5ea3032b9d17dc6
full,0,dropout030_delay2_relay_failure,68,1,1,45,39,45,41,2,3,0.0000,da86d5b4e5b300a5
full,0,dropout030_delay2_relay_failure,69,1,1,47,39,47,40,3,3,0.0000,96d905b6dc6a316a
full,0,dropout030_delay2_relay_failure,70,0,0,260,39,-1,43,9,3,,55c1d49f0feafb40
full,0,dropout030_delay2_relay_failure,71,0,0,260,39,-1,40,7,3,,8bd69c22c7553aeb
full,0,dropout030_delay2_relay_failure,74,1,1,46,39,46,40,5,3,0.0000,f2db7489eb8c4e3f
full,0,dropout030_delay2_relay_failure,73,1,1,47,39,47,41,3,3,0.0000,0d3779b3526cc364
full,0,dropout030_delay2_relay_failure,72,1,1,48,39,48,40,3,3,0.0000,4d637c6a5175f2a7
full,0,dropout030_delay2_relay_failure,75,0,0,260,39,-1,40,13,3,,d3f3c6e67e5447e1
