method,seed,scenario,episode,window,mean_strength,nonzero_fraction,mean_comm_fraction,pair_support_strong,pair_rates
full,0,dropout030_delay2_relay_failure,0,pre_failure,0.25555557012557983,0.25555555555555554,0.8333333333333334,0,"0.000,0.800,0.000,0.000,0.000,0.000,0.750,0.750,0.000"
full,0,dropout030_delay2_relay_failure,0,early_post_failure,0.08888889104127884,0.08888888888888889,0.5777777777777777,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.000"
full,0,dropout030_delay2_relay_failure,0,pre_recovery,0.08888889104127884,0.08888888888888889,0.5777777777777777,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.000"
full,0,dropout030_delay2_relay_failure,1,pre_failure,0.22777777910232544,0.22777777777777777,0.7666666666666667,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.550,0.800,0.000"
full,0,dropout030_delay2_relay_failure,1,early_post_failure,0.06666667014360428,0.06666666666666667,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,1,pre_recovery,0.06666667014360428,0.06666666666666667,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,3,pre_failure,0.20000000298023224,0.2,0.7833333333333333,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.450,0.650,0.000"
full,0,dropout030_delay2_relay_failure,3,early_post_failure,0.15555556118488312,0.15555555555555556,0.6,0,"0.000,0.200,0.000,0.000,0.000,0.000,1.000,0.200,0.000"
full,0,dropout030_delay2_relay_failure,3,pre_recovery,0.15555556118488312,0.15555555555555556,0.6,0,"0.000,0.200,0.000,0.000,0.000,0.000,1.000,0.200,0.000"
full,0,dropout030_delay2_relay_failure,2,pre_failure,0.1666666716337204,0.16666666666666666,0.7055555555555556,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.350,0.500,0.000"
full,0,dropout030_delay2_relay_failure,2,early_post_failure,0.0555555559694767,0.05555555555555555,0.4444444444444444,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.333,0.000,0.000"
full,0,dropout030_delay2_relay_failure,2,pre_recovery,0.0555555559694767,0.05555555555555555,0.4444444444444444,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.333,0.000,0.000"
full,0,dropout030_delay2_relay_failure,5,pre_failure,0.18888889253139496,0.18888888888888888,0.7444444444444445,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.500,0.550,0.000"
