method,scenario,window,seed,mean_strength,nonzero_fraction
full,dropout030_delay2_relay_failure,early_post_failure,0,0.0993,0.0993
full,dropout030_delay2_relay_failure,early_post_failure,1,0.0965,0.0965
full,dropout030_delay2_relay_failure,early_post_failure,2,0.0982,0.0982
full,dropout030_delay2_relay_failure,pre_failure,0,0.2199,0.2199
full,dropout030_delay2_relay_failure,pre_failure,1,0.2286,0.2286
full,dropout030_delay2_relay_failure,pre_failure,2,0.2333,0.2333
full,dropout030_delay2_relay_failure,pre_recovery,0,0.1008,0.1008
full,dropout030_delay2_relay_failure,pre_recovery,1,0.0971,0.0971
full,dropout030_delay2_relay_failure,pre_recovery,2,0.1022,0.1022
full,dropout030_delay2_relay_failure_early,early_post_failure,0,0.0854,0.0854
full,dropout030_delay2_relay_failure_early,early_post_failure,1,0.0856,0.0856
full,dropout030_delay2_relay_failure_early,early_post_failure,2,0.0873,0.0873
full,dropout030_delay2_relay_failure_early,pre_failure,0,0.0468,0.0468
full,dropout030_delay2_relay_failure_early,pre_failure,1,0.0549,0.0549
full,dropout030_delay2_relay_failure_early,pre_failure,2,0.0618,0.0618
full,dropout030_delay2_relay_failure_early,pre_recovery,0,0.0806,0.0806
full,dropout030_delay2_relay_failure_early,pre_recovery,1,0.0786,0.0786
full,dropout030_delay2_relay_failure_early,pre_recovery,2,0.0792,0.0792
w_o_task_support,dropout030_delay2_relay_failure,early_post_failure,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,early_post_failure,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,early_post_failure,2,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_failure,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_failure,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_failure,2,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_recovery,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_recovery,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure,pre_recovery,2,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,early_post_failure,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,early_post_failure,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,early_post_failure,2,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_failure,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_failure,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_failure,2,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_recovery,0,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_recovery,1,0.0000,0.0000
w_o_task_support,dropout030_delay2_relay_failure_early,pre_recovery,2,0.0000,0.0000
