method,train_seed,family,episodes,success_at_horizon,timeout,collision,constraint_violation,terminal_step
utr_sg,2301,正常工况,100,0.01,0.98,0.01,0.0,257.8
utr_sg,2302,正常工况,100,0.03,0.95,0.02,0.0,259.15
utr_sg,2303,正常工况,100,0.07,0.93,0.0,0.0,260.0
utr_sg,2304,正常工况,100,0.26,0.74,0.0,0.0,260.0
utr_sg,2305,正常工况,100,0.3,0.69,0.01,0.0,258.48
drtp_sg,2301,正常工况,100,0.36,0.64,0.0,0.0,260.0
drtp_sg,2302,正常工况,100,0.11,0.89,0.0,0.0,260.0
drtp_sg,2303,正常工况,100,0.44,0.56,0.0,0.0,260.0
drtp_sg,2304,正常工况,100,0.22,0.74,0.04,0.0,250.88
drtp_sg,2305,正常工况,100,0.43,0.57,0.0,0.0,260.0
utr_sg,2301,F0,100,0.0,0.99,0.01,0.0,257.8
utr_sg,2302,F0,100,0.01,0.99,0.0,0.0,260.0
utr_sg,2303,F0,100,0.0,0.99,0.01,0.0,259.41
utr_sg,2304,F0,100,0.27,0.73,0.0,0.0,260.0
utr_sg,2305,F0,100,0.3,0.7,0.0,0.0,260.0
drtp_sg,2301,F0,100,0.49,0.51,0.0,0.0,260.0
drtp_sg,2302,F0,100,0.04,0.96,0.0,0.0,260.0
drtp_sg,2303,F0,100,0.38,0.62,0.0,0.0,260.0
drtp_sg,2304,F0,100,0.22,0.74,0.04,0.0,250.88
drtp_sg,2305,F0,100,0.26,0.74,0.0,0.0,260.0
utr_sg,2301,时机扰动,400,0.015,0.975,0.01,0.0,257.8
utr_sg,2302,时机扰动,400,0.0225,0.9775,0.0,0.0,260.0
utr_sg,2303,时机扰动,400,0.0,0.99,0.01,0.0,259.31
utr_sg,2304,时机扰动,400,0.2925,0.7075,0.0,0.0,260.0
utr_sg,2305,时机扰动,400,0.2925,0.705,0.0025,0.0,259.64
drtp_sg,2301,时机扰动,400,0.505,0.495,0.0,0.0,260.0
drtp_sg,2302,时机扰动,400,0.0525,0.9475,0.0,0.0,260.0
drtp_sg,2303,时机扰动,400,0.3625,0.6375,0.0,0.0,260.0
drtp_sg,2304,时机扰动,400,0.205,0.755,0.04,0.0,250.88
drtp_sg,2305,时机扰动,400,0.31,0.69,0.0,0.0,260.0
utr_sg,2301,持续时间扰动,400,0.0025,0.9875,0.01,0.0,257.8
utr_sg,2302,持续时间扰动,400,0.0725,0.9275,0.0,0.0,260.0
utr_sg,2303,持续时间扰动,400,0.005,0.9725,0.0225,0.0,258.275
utr_sg,2304,持续时间扰动,400,0.2975,0.7025,0.0,0.0,260.0
utr_sg,2305,持续时间扰动,400,0.2475,0.7525,0.0,0.0,260.0
drtp_sg,2301,持续时间扰动,400,0.515,0.485,0.0,0.0,260.0
drtp_sg,2302,持续时间扰动,400,0.0425,0.9575,0.0,0.0,260.0
drtp_sg,2303,持续时间扰动,400,0.365,0.635,0.0,0.0,260.0
drtp_sg,2304,持续时间扰动,400,0.2525,0.7075,0.04,0.0,250.88
drtp_sg,2305,持续时间扰动,400,0.35,0.65,0.0,0.0,260.0
utr_sg,2301,复合扰动,200,0.015,0.975,0.01,0.0,257.8
utr_sg,2302,复合扰动,200,0.115,0.885,0.0,0.0,260.0
utr_sg,2303,复合扰动,200,0.0,0.995,0.005,0.0,259.845
utr_sg,2304,复合扰动,200,0.33,0.67,0.0,0.0,260.0
utr_sg,2305,复合扰动,200,0.075,0.92,0.005,0.0,259.28
drtp_sg,2301,复合扰动,200,0.49,0.51,0.0,0.0,260.0
drtp_sg,2302,复合扰动,200,0.105,0.895,0.0,0.0,260.0
drtp_sg,2303,复合扰动,200,0.3,0.7,0.0,0.0,260.0
drtp_sg,2304,复合扰动,200,0.3,0.66,0.04,0.0,250.88
drtp_sg,2305,复合扰动,200,0.39,0.61,0.0,0.0,260.0
