arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
utr_sg,2401,10m,nominal,215.21181395809165,0.0,0.61,0.0,nan,nan,260.0,0,nan,nan,0,nan,20.27,0.0,0.0,0.0,0.0,nan,140395.76553375245,691.07
utr_sg,2401,10m,f0_seen_44_80,222.46514190156012,0.0,0.5,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,8.49,0.139875,0.0,0.7252500000000001,1.0,17.152583333333332,148306.7952935791,729.78
utr_sg,2401,10m,timing_28_80,233.82061424431856,0.0,0.51,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,8.0,0.17837499999999998,0.0,0.7048749999999999,1.0,15.854916666666666,153899.47894989012,689.58
utr_sg,2401,10m,timing_36_80,228.98096620701253,0.0,0.49,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,8.55,0.1595,0.0,0.707375,1.0,16.068583333333333,152213.6945895386,695.13
utr_sg,2401,10m,timing_52_80,222.00049113530665,0.0,0.49,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,9.09,0.11699999999999999,0.0,0.7673749999999999,1.0,18.656000000000002,146462.4846862793,759.79
utr_sg,2401,10m,timing_60_80,220.38831242496613,0.0,0.48,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,9.51,0.08199999999999999,0.0,0.8283750000000001,1.0,19.25633333333333,144220.12747314453,787.79
utr_sg,2401,10m,duration_44_40,240.72294866301118,0.0,0.54,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,5.82,0.2255,0.0,0.55975,1.0,12.343333333333332,152587.3638357544,716.8
utr_sg,2401,10m,duration_44_60,232.89937342802062,0.0,0.54,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,7.26,0.1675,0.0,0.6591666666666667,1.0,14.335111111111111,151329.7287750244,700.88
utr_sg,2401,10m,duration_44_100,218.29984662905335,0.0,0.5,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,10.13,0.1252,0.0,0.7644,1.0,20.323066666666666,146330.16456970214,798.42
utr_sg,2401,10m,duration_44_120,213.31276304785163,0.0,0.53,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.82,0.11691666666666667,0.0,0.7913333333333334,1.0,23.670055555555553,144053.73175201417,881.7
