"method","seed","command","out_dir","status","artifact_class"
"full","0","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 0 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder multi_relation --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\full\seed0","results\canonical_v2\formal\wave1\full\seed0","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"full","1","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 1 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder multi_relation --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\full\seed1","results\canonical_v2\formal\wave1\full\seed1","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"full","2","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 2 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder multi_relation --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\full\seed2","results\canonical_v2\formal\wave1\full\seed2","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"full","3","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 3 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder multi_relation --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\full\seed3","results\canonical_v2\formal\wave1\full\seed3","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"full","4","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 4 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder multi_relation --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\full\seed4","results\canonical_v2\formal\wave1\full\seed4","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"mappo","0","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 0 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder no_graph --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\mappo\seed0","results\canonical_v2\formal\wave1\mappo\seed0","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"mappo","1","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 1 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder no_graph --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\mappo\seed1","results\canonical_v2\formal\wave1\mappo\seed1","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"mappo","2","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 2 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder no_graph --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\mappo\seed2","results\canonical_v2\formal\wave1\mappo\seed2","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"mappo","3","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 3 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder no_graph --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\mappo\seed3","results\canonical_v2\formal\wave1\mappo\seed3","LAUNCHED","CANONICAL_FORMAL_WAVE1"
"mappo","4","D:/Anaconda/envs/.conda/envs/cac/python.exe -B scripts/train_ri_gmappo.py --seed 4 --env-name 3d_intercept --target-policy straight --strict-target-sensing --agent-target-info-bottleneck --communication-dropout-prob 0.30 --message-delay-steps 2 --failed-blue-agent 1 --node-failure-start-step 40 --node-failure-duration-steps 80 --graph-encoder no_graph --multi-relation-global-residual-weight 1.0 --num-envs 4 --rollout-steps 64 --updates 3907 --eval-interval 10 --eval-episodes 20 --save-interval 10 --save-snapshots --hidden-dim 64 --device cpu --out-dir results\canonical_v2\formal\wave1\mappo\seed4","results\canonical_v2\formal\wave1\mappo\seed4","LAUNCHED","CANONICAL_FORMAL_WAVE1"
