"method","seed","pid","reason","timestamp"
"full","0","19876","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4604765+08:00"
"full","1","2276","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4684567+08:00"
"full","2","29848","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4705588+08:00"
"full","3","10180","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4720510+08:00"
"full","4","18508","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4740625+08:00"
"mappo","0","12372","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4794931+08:00"
"mappo","1","8880","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4806003+08:00"
"mappo","2","16404","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4816762+08:00"
"mappo","3","28804","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4827409+08:00"
"mappo","4","29532","USER_REQUESTED_LOCAL_FORMAL_TRAINING_TERMINATION","2026-08-12T14:52:00.4845479+08:00"
