baseline,radius,comm_dropout_prob,metric,n,mean_diff,std_diff,ci95_low,ci95_high,t_stat,cohen_dz,seed_diffs
MAPPO,4,0.00,success_gain,3,0.2000000000,0.1777638883,-0.2415899788,0.6415899788,1.9487094074,1.1250879009,0.4000000000;0.1400000000;0.0600000000
MAPPO,4,0.00,collision_reduction,3,0.2000000000,0.0871779789,-0.0165621050,0.4165621050,3.9735970712,2.2941573387,0.3000000000;0.1400000000;0.1600000000
MAPPO,4,0.25,success_gain,3,0.2933333333,0.2138535324,-0.2379082914,0.8245749581,2.3757766875,1.3716553101,0.5400000000;0.1600000000;0.1800000000
MAPPO,4,0.25,collision_reduction,3,0.2466666667,0.1171893055,-0.0444477067,0.5377810400,3.6457183292,2.1048564588,0.3800000000;0.1600000000;0.2000000000
MAPPO,4,0.50,success_gain,3,0.3066666667,0.2369247419,-0.2818870196,0.8952203529,2.2419028226,1.2943631981,0.5800000000;0.1600000000;0.1800000000
MAPPO,4,0.50,collision_reduction,3,0.2533333333,0.1285820101,-0.0660820871,0.5727487538,3.4125007385,1.9702082200,0.4000000000;0.1600000000;0.2000000000
MAPPO,8,0.00,success_gain,3,0.0200000000,0.1058300524,-0.2428964243,0.2828964243,0.3273268354,0.1889822365,0.1400000000;-0.0600000000;-0.0200000000
MAPPO,8,0.00,collision_reduction,3,0.0600000000,0.1200000000,-0.2380965254,0.3580965254,0.8660254038,0.5000000000,0.1800000000;-0.0600000000;0.0600000000
MAPPO,8,0.25,success_gain,3,0.1200000000,0.0600000000,-0.0290482627,0.2690482627,3.4641016151,2.0000000000,0.1800000000;0.0600000000;0.1200000000
MAPPO,8,0.25,collision_reduction,3,0.1333333333,0.0808290377,-0.0674571274,0.3341237941,2.8571428571,1.6495721977,0.2200000000;0.0600000000;0.1200000000
MAPPO,8,0.50,success_gain,3,0.2200000000,0.2433105012,-0.3844167917,0.8244167917,1.5661106930,0.9041944302,0.5000000000;0.0600000000;0.1000000000
MAPPO,8,0.50,collision_reduction,3,0.2400000000,0.2253885534,-0.3198962053,0.7998962053,1.8443358705,1.0648278113,0.5000000000;0.1000000000;0.1200000000
GAT-MAPPO,4,0.00,success_gain,3,0.1066666667,0.1026320288,-0.1482854265,0.3616187598,1.8001406415,1.0393116839,0.0800000000;0.2200000000;0.0200000000
GAT-MAPPO,4,0.00,collision_reduction,3,0.1200000000,0.0916515139,-0.1076749820,0.3476749820,2.2677868381,1.3093073414,0.1000000000;0.2200000000;0.0400000000
GAT-MAPPO,4,0.25,success_gain,3,0.0733333333,0.0416333200,-0.0300895669,0.1767562336,3.0508510792,1.7614096919,0.0600000000;0.1200000000;0.0400000000
GAT-MAPPO,4,0.25,collision_reduction,3,0.0666666667,0.0416333200,-0.0367562336,0.1700895669,2.7735009811,1.6012815381,0.0800000000;0.1000000000;0.0200000000
GAT-MAPPO,4,0.50,success_gain,3,0.1133333333,0.0115470054,0.0846489818,0.1420176849,17.0000000000,9.8149545762,0.1000000000;0.1200000000;0.1200000000
GAT-MAPPO,4,0.50,collision_reduction,3,0.1200000000,0.0200000000,0.0703172458,0.1696827542,10.3923048454,6.0000000000,0.1200000000;0.1000000000;0.1400000000
GAT-MAPPO,8,0.00,success_gain,3,0.0133333333,0.0611010093,-0.1384499880,0.1651166547,0.3779644730,0.2182178902,-0.0400000000;0.0000000000;0.0800000000
GAT-MAPPO,8,0.00,collision_reduction,3,0.0133333333,0.0416333200,-0.0900895669,0.1167562336,0.5547001962,0.3202563076,-0.0200000000;-0.0000000000;0.0600000000
GAT-MAPPO,8,0.25,success_gain,3,0.0866666667,0.0503322296,-0.0383655229,0.2116988563,2.9824045403,1.7218920642,0.1400000000;0.0800000000;0.0400000000
GAT-MAPPO,8,0.25,collision_reduction,3,0.0800000000,0.0400000000,-0.0193655085,0.1793655085,3.4641016151,2.0000000000,0.1200000000;0.0800000000;0.0400000000
GAT-MAPPO,8,0.50,success_gain,3,0.1200000000,0.0721110255,-0.0591337179,0.2991337179,2.8823067685,1.6641005887,0.1800000000;0.1400000000;0.0400000000
GAT-MAPPO,8,0.50,collision_reduction,3,0.1200000000,0.0721110255,-0.0591337179,0.2991337179,2.8823067685,1.6641005887,0.1400000000;0.1800000000;0.0400000000
