figure,width,height,file_size_kb,gray_std,sampled_unique_colors,status,notes
results/figures/comm_collision_rate.png,1120,672,57.759,35.552,1185,ok,ok
results/figures/comm_dropout_collision_rate.png,1406,826,81.420,36.552,963,ok,ok
results/figures/comm_dropout_success_rate.png,1406,826,84.963,36.806,1018,ok,ok
results/figures/comm_success_rate.png,1120,672,59.743,36.149,1174,ok,ok
results/figures/edge_feature_ablation_delta.png,2396,951,110.403,47.425,284,ok,ok
results/figures/final_300_collision_rate.png,1296,774,50.143,32.795,705,ok,ok
results/figures/final_300_success_rate.png,1296,774,53.905,33.299,643,ok,ok
results/figures/intent_confusion_ri_balanced_seed1_r8.png,1116,936,84.223,46.539,819,ok,ok
results/figures/intent_confusion_ri_staged_r8.png,1116,936,73.864,68.544,609,ok,ok
results/figures/intercept_3d_multi_relation_graph.png,1837,1079,177.939,44.827,930,ok,ok
results/figures/intercept_3d_recovery_evidence_summary.png,2855,1000,136.545,63.635,343,ok,ok
results/figures/intercept_3d_relay_failure_case_replay.png,1890,1224,199.742,36.028,777,ok,ok
results/figures/intercept_3d_strict_sensing_summary.png,2183,1071,116.061,67.741,268,ok,ok
results/figures/intercept_3d_task_scene.png,1141,1086,231.801,39.225,903,ok,ok
results/figures/method_overview_ea_rg_mappo_s.png,2500,1440,233.627,38.615,825,ok,ok
results/figures/per_seed_collision_scatter.png,1296,827,76.771,32.818,776,ok,ok
results/figures/per_seed_success_scatter.png,1296,827,73.013,31.935,766,ok,ok
results/figures/radius_interpolation_collision_rate.png,1292,778,53.312,33.962,730,ok,ok
results/figures/radius_interpolation_success_rate.png,1292,778,54.507,33.958,689,ok,ok
results/figures/ri_attention_heatmap_r10.png,936,864,56.518,75.678,838,ok,ok
results/figures/ri_attention_heatmap_r4.png,936,864,56.793,88.631,807,ok,ok
results/figures/speed_robustness_collision_r4.png,1292,778,63.218,36.660,660,ok,ok
results/figures/speed_robustness_collision_r8.png,1292,778,66.535,36.618,774,ok,ok
results/figures/speed_robustness_success_r4.png,1292,778,70.971,37.012,775,ok,ok
results/figures/speed_robustness_success_r8.png,1292,778,74.154,36.461,784,ok,ok
results/figures/trajectory_ri_advantage_r10.png,2808,900,120.579,33.725,472,ok,ok
results/figures/trajectory_ri_advantage_r4.png,2808,900,115.315,33.508,479,ok,ok
