baseline,radius,metric,n,mean_diff,std_diff,ci95_low,ci95_high,t_stat,cohen_dz,seed_diffs
MAPPO,4,success_gain,3,0.2188888889,0.2002590914,-0.2785822723,0.7163600501,1.8931808491,1.0930284728,0.4500000000;0.0966666667;0.1100000000
MAPPO,4,collision_reduction,3,0.1733333333,0.1128912948,-0.1071041894,0.4537708561,2.6593914126,1.5354003479,0.3033333333;0.1166666667;0.1000000000
MAPPO,6,success_gain,3,0.1488888889,0.1755098393,-0.2871017218,0.5848794996,1.4693371108,0.8483221764,0.3500000000;0.0266666667;0.0700000000
MAPPO,6,collision_reduction,3,0.1533333333,0.1612796054,-0.2473074165,0.5539740832,1.6467123863,0.9507298395,0.3366666667;0.0333333333;0.0900000000
MAPPO,8,success_gain,3,0.0800000000,0.1502590356,-0.2932641369,0.4532641369,0.9221679352,0.5324139056,0.2533333333;-0.0133333333;0.0000000000
MAPPO,8,collision_reduction,3,0.0933333333,0.1395628094,-0.2533599048,0.4400265714,1.1583177211,0.6687550481,0.2533333333;-0.0033333333;0.0300000000
MAPPO,10,success_gain,3,0.0433333333,0.0868587615,-0.1724357916,0.2591024583,0.8641101223,0.4988942117,0.1333333333;-0.0400000000;0.0366666667
MAPPO,10,collision_reduction,3,0.0666666667,0.0887568464,-0.1538175626,0.2871508959,1.3009706694,0.7511157662,0.1600000000;-0.0166666667;0.0566666667
GAT-MAPPO,4,success_gain,3,0.1144444444,0.0315054375,0.0361805990,0.1927082899,6.2917263843,3.6325299217,0.1033333333;0.0900000000;0.1500000000
GAT-MAPPO,4,collision_reduction,3,0.0811111111,0.0167774099,0.0394337146,0.1227885076,8.3736742863,4.8345431033,0.0966666667;0.0833333333;0.0633333333
GAT-MAPPO,6,success_gain,3,0.0811111111,0.0517830231,-0.0475250494,0.2097472716,2.7130236338,1.5663649253,0.1233333333;0.0233333333;0.0966666667
GAT-MAPPO,6,collision_reduction,3,0.0611111111,0.0422075998,-0.0437383793,0.1659606015,2.5077841392,1.4478698479,0.1066666667;0.0233333333;0.0533333333
GAT-MAPPO,8,success_gain,3,0.1055555556,0.0403227718,0.0053882375,0.2057228736,4.5341026191,2.6177653677,0.1200000000;0.0600000000;0.1366666667
GAT-MAPPO,8,collision_reduction,3,0.0955555556,0.0365655170,0.0047217757,0.1863893354,4.5263157895,2.6132696395,0.1366666667;0.0666666667;0.0833333333
GAT-MAPPO,10,success_gain,3,0.0766666667,0.0584047182,-0.0684186964,0.2217520298,2.2736273018,1.3126793347,0.0800000000;0.0166666667;0.1333333333
GAT-MAPPO,10,collision_reduction,3,0.0700000000,0.0392994204,-0.0276251723,0.1676251723,3.0851232733,1.7811967523,0.1033333333;0.0266666667;0.0800000000
