update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,0.20822636783123016,-0.0029545449651777744,0.4520718716084957,1.4855016618967056,0.15521501004695892,0.95,0.05,0.0,38.45,3.0497575640678405
2,0.33873989060521126,-0.0009258186910301447,0.7093469873070717,1.500778391957283,0.19235289096832275,,,,,
3,2.343953922390938,-0.0017741702031344175,4.721666753292084,1.5105249285697937,0.08709710836410522,,,,,
4,1.8635686039924622,-0.0007206215523183346,3.7562141120433807,1.3817816227674484,0.09431314468383789,,,,,
5,1.0817978978157043,-9.229825809597969e-05,2.19240203499794,1.431082308292389,0.06960957497358322,0.8,0.1,0.1,57.8,2.79634678264459
6,1.2630550414323807,-0.0008700840407982469,2.5569543540477753,1.4552036672830582,0.18763773143291473,,,,,
7,1.5021455138921738,-8.583650924265385e-06,3.0344350337982178,1.5063373148441315,0.04344923794269562,,,,,
8,2.368832841515541,-0.00035300973104313016,4.768626540899277,1.5127422511577606,0.025640880689024925,,,,,
9,3.6629267036914825,-0.00019197480287402868,7.355914115905762,1.4838338941335678,0.08869296312332153,,,,,
10,0.7864055633544922,-0.0010065620735986158,1.6046613603830338,1.4918553233146667,0.32494214177131653,0.85,0.1,0.05,71.95,3.346099837621053
11,3.3855614066123962,-0.0001857441384345293,6.801230072975159,1.4867909848690033,0.09049266576766968,,,,,
12,1.3519556000828743,-0.0009605986997485161,2.733337640762329,1.3752644956111908,0.14758138358592987,,,,,
13,2.142833635210991,0.00027756858617067337,4.31489434838295,1.4891100823879242,0.13180482387542725,,,,,
14,3.2372100353240967,-0.0008185448823496699,6.504990339279175,1.4466613233089447,0.0722603127360344,,,,,
15,0.6065338626503944,-0.0034565636451588944,1.2498201951384544,1.4919668287038803,0.13995246589183807,0.75,0.15,0.1,65.0,3.993638665477435
16,1.127050094306469,-0.0016805528430268168,2.2867531180381775,1.4645922780036926,0.11918836832046509,,,,,
17,1.5921116918325424,-0.001110898272600025,3.2162576615810394,1.490624189376831,0.12910474836826324,,,,,
18,0.42127515375614166,-0.0019635202770587057,0.8764951676130295,1.5008908063173294,0.1604735553264618,,,,,
19,0.40798910707235336,-0.0028371700027491897,0.8514361381530762,1.4891783595085144,0.09728340059518814,,,,,
20,1.2755221351981163,-0.0013094655005261302,2.5825836062431335,1.446019098162651,0.0844046100974083,0.95,0.05,0.0,49.25,3.3670123954614004
21,1.2274554371833801,0.00039167352952063084,2.486387401819229,1.6129940748214722,0.17039711773395538,,,,,
22,0.9157713204622269,-0.00146172457607463,1.865603819489479,1.5568884164094925,0.1787845343351364,,,,,
23,2.2676975578069687,-0.0004248707555234432,4.566703200340271,1.52292138338089,0.07085836678743362,,,,,
24,1.9216060489416122,-0.0005589420034084469,3.8746988773345947,1.5184427946805954,0.19316965341567993,,,,,
25,1.3584554195404053,-0.0008724925573915243,2.748661831021309,1.5002986192703247,0.15876011550426483,0.65,0.15,0.2,91.2,4.750360691547394
26,0.6839343160390854,-0.002889190334826708,1.404195636510849,1.5274291932582855,0.16147541999816895,,,,,
27,1.2670491188764572,-0.0015660259814467281,2.56784351170063,1.5306611359119415,0.033899009227752686,,,,,
28,0.9374768137931824,-0.0011250583920627832,1.906599372625351,1.4697823524475098,0.0263317059725523,,,,,
29,2.098033830523491,-0.0008033753838390112,4.2270767986774445,1.470121830701828,0.06877004355192184,,,,,
30,0.6553237810730934,-0.0016126091359183192,1.34371979534626,1.4923517405986786,0.17772571742534637,0.9,0.05,0.05,52.85,2.7317594339450197
