update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,0.16895093489438295,-0.008341343840584159,0.384381003677845,1.4898220896720886,0.15521501004695892,0.9,0.1,0.0,48.65,3.0350233167409892
2,0.3191669937223196,-0.004478443879634142,0.6761347055435181,1.4421910345554352,0.25108593702316284,,,,,
3,0.6318256221711636,-0.0036462330899666995,1.2996658980846405,1.4361089915037155,0.11486146599054337,,,,,
4,0.3251398578286171,-0.00434852036414668,0.6872990801930428,1.41611547768116,0.19357913732528687,,,,,
5,1.2820592522621155,-0.0023326323134824634,2.5965032428503036,1.385971948504448,0.1514257937669754,0.8,0.05,0.15,65.8,3.4414376060167937
6,1.324307233095169,-0.0024663918738951907,2.679913431406021,1.3183113783597946,0.06847705692052841,,,,,
7,1.2789695262908936,-0.0022371724480763078,2.591803342103958,1.4694960862398148,0.15937508642673492,,,,,
8,1.331029161810875,-0.0019066173699684441,2.6937357634305954,1.3932124227285385,0.1922219842672348,,,,,
9,1.3758879154920578,-0.0020472449250519276,2.7850674986839294,1.4598598033189774,0.1759652942419052,,,,,
10,1.1792292818427086,-0.005570439345319755,2.3978076428174973,1.4104087799787521,0.1799115091562271,0.8,0.0,0.2,78.75,4.079163573185603
11,1.5240403562784195,-0.0010576543863862753,3.079204261302948,1.4504118263721466,0.20521144568920135,,,,,
12,2.291651949286461,-0.0024599114258307964,4.61794051527977,1.4858441799879074,0.1236492171883583,,,,,
13,1.3432390689849854,-0.0053686220198869705,2.726608246564865,1.4696423709392548,0.11256390810012817,,,,,
14,1.6268211156129837,-0.0027272081933915615,3.287765622138977,1.4334487617015839,0.19825100898742676,,,,,
15,0.47460103407502174,-0.006385835935361683,0.9909808561205864,1.4503566920757294,0.12685748934745789,0.8,0.1,0.1,69.45,4.0556369602680205
16,2.2612455785274506,-0.002322861415450461,4.555735915899277,1.4299546629190445,0.2135695070028305,,,,,
17,0.9395533725619316,-0.000757609901484102,1.9092171341180801,1.4297583848237991,0.28641799092292786,,,,,
18,0.6791025549173355,-0.003600412979722023,1.3936485201120377,1.4121286123991013,0.1927972286939621,,,,,
19,0.45302631705999374,-0.003852531546726823,0.9426853209733963,1.4463811367750168,0.2594664394855499,,,,,
20,4.179846167564392,-0.0036921779974363744,8.394504725933075,1.3714029490947723,0.14226292073726654,0.55,0.4,0.1,67.6,4.352928579847019
