case,oracle_mode,target_policy,rollout_seed,episode,step,success,timeout,collision,constraint_violation,mean_range,min_blue_red_distance,min_blue_blue_distance,tracking_rate,attack_window_rate,attack_geometry_score,chain_closed,comm_connectivity,mean_message_age,action_0,action_1,action_2,blue0_x,blue0_y,blue0_z,blue1_x,blue1_y,blue1_z,blue2_x,blue2_y,blue2_z,red0_x,red0_y,red0_z
weaving_tiny_offset,offset,weaving_tiny,509000,0,1.0,0.0,0.0,0.0,0.0,24689.873046875,24016.515625,5848.83056640625,0.0,0.0,0.0,0.0,1.0,86.66666412353516,23,20,5,-13798.8876953125,-5472.68359375,4804.0595703125,-15811.64453125,5.652351379394531,5185.46142578125,-13775.662109375,5465.6357421875,4595.46044921875,9790.4521484375,-967.6345825195312,5005.44189453125
weaving_tiny_offset,offset,weaving_tiny,509000,0,2.0,0.0,0.0,0.0,0.0,24262.2578125,23586.4375,5812.4619140625,0.0,0.0,0.0,0.0,1.0,86.66666412353516,23,23,5,-13581.1171875,-5435.3017578125,4808.4794921875,-15609.6103515625,17.788976669311523,5169.845703125,-13531.8740234375,5415.20166015625,4590.48095703125,9581.7255859375,-989.9100952148438,5011.53515625
weaving_tiny_offset,offset,weaving_tiny,509000,0,3.0,0.0,0.0,0.0,0.0,23818.869140625,23137.80078125,5744.96826171875,0.0,0.0,0.0,0.0,1.0,86.66666412353516,23,26,8,-13347.16796875,-5386.6591796875,4813.25927734375,-15393.48828125,37.29262161254883,5169.845703125,-13271.6953125,5347.1015625,4614.3447265625,9374.263671875,-1021.7571411132812,5018.26025390625
weaving_tiny_offset,offset,weaving_tiny,509000,0,4.0,0.0,0.0,0.0,0.0,23376.201171875,22683.337890625,5658.93798828125,0.0,0.0,0.0,0.0,1.0,86.66666412353516,23,22,4,-13109.2373046875,-5328.43359375,4818.1591796875,-15178.048828125,63.270172119140625,5169.845703125,-13015.408203125,5265.5703125,4638.20849609375,9168.5048828125,-1063.1063232421875,5025.59130859375
weaving_tiny_offset,offset,weaving_tiny,509000,0,5.0,0.0,0.0,0.0,0.0,22937.134765625,22229.828125,5554.62109375,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,22,4,-12873.490234375,-5261.91796875,4823.05908203125,-14963.4853515625,95.6982421875,5169.845703125,-12763.705078125,5170.82861328125,4662.072265625,8964.8857421875,-1113.8682861328125,5033.49560546875
weaving_tiny_offset,offset,weaving_tiny,509000,0,6.0,0.0,0.0,0.0,0.0,22502.5859375,21778.09375,5432.32666015625,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,22,4,-12640.21484375,-5187.193359375,4827.958984375,-14749.9912109375,134.5476531982422,5169.845703125,-12517.2666015625,5063.13232421875,4685.93603515625,8763.8359375,-1173.933837890625,5041.9345703125
weaving_tiny_offset,offset,weaving_tiny,509000,0,7.0,0.0,0.0,0.0,0.0,22072.447265625,21329.013671875,5302.96728515625,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,4,4,-12409.697265625,-5104.3515625,4832.85888671875,-14535.427734375,166.97572326660156,5169.845703125,-12276.7587890625,4942.7724609375,4709.7998046875,8565.7802734375,-1243.1741943359375,5050.86279296875
weaving_tiny_offset,offset,weaving_tiny,509000,0,8.0,0.0,0.0,0.0,0.0,21647.599609375,20883.513671875,5166.576171875,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,4,4,-12182.2197265625,-5013.494140625,4837.7587890625,-14319.98828125,192.95327758789062,5169.845703125,-12042.83203125,4810.07470703125,4733.66357421875,8371.1357421875,-1321.4415283203125,5060.23046875
weaving_tiny_offset,offset,weaving_tiny,509000,0,9.0,0.0,0.0,0.0,0.0,21227.74609375,20439.048828125,5023.19384765625,0.0,0.0,0.0,0.0,1.0,86.66666412353516,4,4,4,-11951.7021484375,-4930.65234375,4842.65869140625,-14103.8662109375,212.45692443847656,5169.845703125,-11816.1181640625,4665.3974609375,4757.52734375,8180.31201171875,-1408.5692138671875,5069.9814453125
weaving_tiny_offset,offset,weaving_tiny,509000,0,10.0,0.0,0.0,0.0,0.0,20814.701171875,19999.400390625,4872.8720703125,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,4,4,-11724.224609375,-4839.794921875,4847.55859375,-13887.2568359375,225.4691162109375,5169.845703125,-11597.23046875,4509.1318359375,4781.39111328125,7993.7099609375,-1504.37255859375,5080.05517578125
weaving_tiny_offset,offset,weaving_tiny,509000,0,11.0,0.0,0.0,0.0,0.0,20408.107421875,19561.90234375,4715.669921875,0.0,0.0,0.0,0.0,1.0,86.66666412353516,4,4,4,-11493.70703125,-4756.953125,4852.45849609375,-13670.3544921875,231.97813415527344,5169.845703125,-11386.76171875,4341.70068359375,4805.2548828125,7811.7216796875,-1608.6490478515625,5090.38623046875
weaving_tiny_offset,offset,weaving_tiny,509000,0,12.0,0.0,0.0,0.0,0.0,20008.03125,19130.5546875,4565.3876953125,0.0,0.0,0.0,0.0,1.0,86.66666412353516,22,4,13,-11266.2294921875,-4666.095703125,4857.3583984375,-13453.3544921875,231.97813415527344,5169.845703125,-11176.29296875,4174.26953125,4829.11865234375,7634.72900390625,-1721.1787109375,5100.90576171875
