epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,9.79930265326249,0.009621552277100705,0.01624973273465897,0.006307462048321574,4677,1.0,0,offset,4.0
2,4.717077920311375,0.09421994155797876,0.09471883686123583,0.09397049390635022,4677,1.0,0,offset,4.0
3,2.6272892575514946,0.27980899436961015,0.20525978191148173,0.31708360059867435,4677,1.0,0,offset,4.0
4,1.9222068096462048,0.3188653695388782,0.27752833012614925,0.3395338892452427,4677,1.0,0,offset,4.0
5,1.7364957897286666,0.3440952177321645,0.32200128287363694,0.35514218516142826,4677,1.0,0,offset,4.0
6,1.6299445880086798,0.36754329698524696,0.33803720333547144,0.3822963438101347,4677,1.0,0,offset,4.0
7,1.5635162278225547,0.37424274820041337,0.34936925379516787,0.38667949540303614,4677,1.0,0,offset,4.0
8,1.5184290095379478,0.3914902715415865,0.3583493692537952,0.40806072268548216,4677,1.0,0,offset,4.0
9,1.484202686109041,0.3941272895730882,0.36134274107333764,0.41051956382296345,4677,1.0,0,offset,4.0
10,1.4762367512050427,0.3974057444230632,0.36476373743852897,0.4137267479153303,4677,1.0,0,offset,4.0
11,1.4530854413383885,0.3994013256360915,0.3683985460765448,0.4149027154158649,4677,1.0,0,offset,4.0
12,1.437512378943594,0.4018245313947687,0.3765234124438743,0.41447509087021595,4677,1.0,0,offset,4.0
