update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.5385030061006546,-0.0004929677306790836,1.0804083347320557,1.208181619644165,0.0,0.0,0.1579274982213974,0.5,0.0,0.5,238.5,10477.7421875,nan
2,0.4615563601255417,-0.00017170445304692805,0.926404282450676,1.4740721583366394,0.0,0.0,0.1512211114168167,,,,,,
3,0.3449031412601471,-0.00017847741461629596,0.693655788898468,1.7462700009346008,0.0,0.0,0.12471573799848557,,,,,,
4,0.18581220507621765,-0.0002663692769901971,0.3752828314900398,1.5628411173820496,0.0,0.0,0.10634207725524902,,,,,,
5,0.7610125839710236,-3.299990203231573e-05,1.5251639783382416,1.5364002287387848,0.0,0.0,0.15309832990169525,0.0,0.0,1.0,260.0,16090.3681640625,nan
6,0.2817835286259651,-5.7779176813710365e-05,0.5667131841182709,1.5152868628501892,0.0,0.0,0.13203847408294678,,,,,,
7,0.1345636583864689,-0.000249903992274092,0.2733065187931061,1.8397006392478943,0.0,0.0,0.08080475777387619,,,,,,
8,0.41214218735694885,-0.0004590079261106439,0.828742578625679,1.770097404718399,0.0,0.0,0.06812962144613266,,,,,,
9,0.992077961564064,-0.00013565302954976488,1.987208992242813,1.3909035325050354,0.0,0.0,0.15548653900623322,,,,,,
10,0.3967627137899399,-7.097097083441639e-05,0.796708807349205,1.5207188725471497,0.0,0.0,0.1385025829076767,0.5,0.0,0.5,219.0,10976.50341796875,nan
11,0.27010347694158554,-0.00012922283046146177,0.5437663197517395,1.6504675149917603,0.0,0.0,0.10087936371564865,,,,,,
12,0.6761957406997681,-0.0002761108322980599,1.3560515940189362,1.5539442300796509,0.0,0.0,0.10143923759460449,,,,,,
13,1.0393489599227905,2.702868884330023e-05,2.081038177013397,1.1971462666988373,0.0,0.0,0.14640288054943085,,,,,,
14,0.6203908622264862,-9.224998605894541e-05,1.2436270117759705,1.3304129242897034,0.0,0.0,0.16934043169021606,,,,,,
15,0.48868269473314285,-7.850257558539298e-05,0.9805592596530914,1.5184276401996613,0.0,0.0,0.1534016877412796,0.25,0.0,0.75,249.25,11859.16845703125,nan
16,0.32792695611715317,-0.00010290586548455938,0.6591368317604065,1.538554459810257,0.0,0.0,0.11893177777528763,,,,,,
17,0.9342670142650604,-0.0003226877185322774,1.872049629688263,1.4351159632205963,0.0,0.0,0.1395447701215744,,,,,,
18,0.5472854375839233,4.168623096667545e-05,1.0976031720638275,1.5578453242778778,0.0,0.0,0.16435112059116364,,,,,,
19,0.4460877254605293,-5.4439608144996043e-05,0.8958808928728104,1.79827880859375,0.0,0.0,0.14589153230190277,,,,,,
20,0.38150332123041153,-0.00041113258460734325,0.7674331665039062,1.8021334409713745,0.0,0.0,0.1002100482583046,0.5,0.0,0.5,219.0,11675.73974609375,nan
21,1.0566436052322388,-0.0003713342969904332,2.1170231103897095,1.4966444969177246,0.0,0.0,0.131206676363945,,,,,,
22,0.393002949655056,1.1680337517194772e-05,0.7892041206359863,1.6107877492904663,0.0,0.0,0.1433110535144806,,,,,,
23,0.3179204538464546,-0.00019200716330125545,0.6392610222101212,1.5180566608905792,0.0,0.0,0.11826784163713455,,,,,,
24,0.4875887706875801,-0.00020809766768559168,0.9786965847015381,1.5514185428619385,0.0,0.0,0.10889119654893875,,,,,,
25,0.9587161839008331,-0.00017272378621147055,1.9203694760799408,1.2958321571350098,0.0,0.0,0.13952656090259552,0.0,0.0,1.0,260.0,15243.198486328125,nan
26,0.5518022030591965,-1.3536540752312476e-05,1.1067174673080444,1.5429944097995758,0.0,0.0,0.16589908301830292,,,,,,
27,0.34697961807250977,5.666515827229546e-06,0.6975131034851074,1.782598465681076,0.0,0.0,0.13863545656204224,,,,,,
28,0.31115367263555527,-0.0003103779126831796,0.6264846622943878,1.7782795429229736,0.0,0.0,0.09389066696166992,,,,,,
29,1.022506594657898,-0.00014075559435389184,2.048024892807007,1.3650971949100494,0.0,0.0,0.13172554969787598,,,,,,
30,0.5173120200634003,5.7554880792544394e-05,1.0375822484493256,1.536656767129898,0.0,0.0,0.16428716480731964,0.0,0.0,1.0,260.0,14097.9306640625,nan
