update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.7766426801681519,-0.000167723976119305,1.5563571453094482,1.368169754743576,0.0,0.0,0.1326785683631897,0.0,0.0,1.0,260.0,39082.21142578125,nan
2,0.4169592559337616,-7.003406123295974e-05,0.8367563039064407,1.3488600254058838,0.0,0.0,0.10887525230646133,,,,,,
3,0.15758097544312477,-0.0002935966488926134,0.31862954050302505,1.4401973485946655,0.0,0.0,0.048765480518341064,,,,,,
4,0.18030842021107674,-0.0005168700736248866,0.3642560541629791,1.302738606929779,0.0,0.0,0.002941221697255969,,,,,,
5,1.0907666385173798,-1.3834563901582442e-05,2.18437796831131,1.4085447192192078,0.0,0.0,0.14555561542510986,0.0,0.0,1.0,260.0,82583.861328125,nan
6,0.7214350551366806,3.948924284458144e-06,1.445617288351059,1.3775318562984467,0.0,0.0,0.15301640331745148,,,,,,
7,0.24193186685442924,-3.984861503658621e-05,0.48668886721134186,1.3727175295352936,0.0,0.0,0.0876912996172905,,,,,,
8,0.1917119175195694,-6.860836189526154e-05,0.38656650483608246,1.5027243494987488,0.0,0.0,0.01566777005791664,,,,,,
9,0.898257851600647,2.1988525222838007e-06,1.7992524206638336,1.3705690801143646,0.0,0.0,0.12773968279361725,,,,,,
10,0.5994546562433243,-3.217587557990953e-05,1.2016908526420593,1.358593910932541,0.0,0.0,0.13070295751094818,0.0,0.0,1.0,260.0,46631.46484375,nan
11,0.25899890065193176,-3.4404762875972494e-05,0.5208803564310074,1.4068731665611267,0.0,0.0,0.09216167777776718,,,,,,
12,0.18584110960364342,-0.00013327971161447572,0.37470193952322006,1.3765824437141418,0.0,0.0,0.028187677264213562,,,,,,
13,0.852451741695404,-6.032211210064975e-05,1.7076751589775085,1.3255282640457153,0.0,0.0,0.12884050607681274,,,,,,
14,0.5948431193828583,-1.256462830134808e-05,1.192404568195343,1.3465976417064667,0.0,0.0,0.127705380320549,,,,,,
15,0.18476328998804092,-0.0001279113721466274,0.3726094663143158,1.4135331809520721,0.0,0.0,0.04973756894469261,0.0,0.0,1.0,260.0,62217.91064453125,nan
16,0.1784822903573513,-0.00020126121974817224,0.3602377474308014,1.4353210628032684,0.0,0.0,-0.010448510758578777,,,,,,
17,0.6932606995105743,-2.6491471007972223e-06,1.3892670571804047,1.3701811134815216,0.0,0.0,0.10300081223249435,,,,,,
18,0.48881538957357407,-9.527026122668758e-05,0.9806816577911377,1.43017116189003,0.0,0.0,0.11070802062749863,,,,,,
19,0.2400505468249321,-0.00010389322718173943,0.48331475257873535,1.5029332339763641,0.0,0.0,0.047266315668821335,,,,,,
20,0.19631918147206306,-0.00012601446360349655,0.39584020525217056,1.4749045968055725,0.0,0.0,0.04551122710108757,0.0,0.0,1.0,260.0,55244.83740234375,nan
21,0.6378421485424042,4.859563659920241e-06,1.2785161137580872,1.420766443014145,0.0,0.0,0.10065170377492905,,,,,,
22,0.5666356831789017,-9.661862471421756e-05,1.13628551363945,1.4104594588279724,0.0,0.0,0.12929850816726685,,,,,,
23,0.32805632054805756,-0.00011250206110469119,0.6591486483812332,1.4054947197437286,0.0,0.0,0.05536971986293793,,,,,,
24,0.3942827507853508,9.269492229235787e-06,0.7912911921739578,1.372125267982483,0.0,0.0,0.05413965508341789,,,,,,
25,0.5973128378391266,-3.533220584905905e-05,1.197440266609192,1.3719600141048431,0.0,0.0,0.09918302297592163,0.0,0.0,1.0,260.0,75594.3515625,nan
26,0.36360853910446167,-1.64027637956643e-05,0.7299719154834747,1.361015409231186,0.0,0.0,0.07675746083259583,,,,,,
27,0.32391220331192017,-3.176461882503645e-05,0.6506197899580002,1.3659203350543976,0.0,0.0,0.06100102886557579,,,,,,
28,0.4971533417701721,-8.430983780272072e-05,0.9972351938486099,1.3799445629119873,0.0,0.0,0.05801887437701225,,,,,,
29,0.5783265680074692,-2.6210367006229696e-05,1.1594721674919128,1.3833005130290985,0.0,0.0,0.10252752155065536,,,,,,
30,0.29117512702941895,-0.00013068182609643486,0.58530193567276,1.3451701700687408,0.0,0.0,0.10086918622255325,0.0,0.0,1.0,260.0,74658.029296875,nan
