update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.8800817504525185,-0.00019011211406905204,1.7888069599866867,1.4131618589162827,0.0,0.0,0.10193395614624023,0.0,0.0,1.0,260.0,60217.060546875,nan
2,0.16202432475984097,-0.000103922877315199,0.3496607467532158,1.2702125757932663,0.0,0.0,-0.04154954478144646,,,,,,
3,1.1719632595777512,-7.460852430085652e-05,2.3729486167430878,1.4436429515480995,0.0,0.0,0.12454065680503845,,,,,,
4,0.11861513834446669,-0.00014566769095836207,0.26381335873156786,1.3145873919129372,0.0,0.0,-0.03305864706635475,,,,,,
5,0.9170762673020363,-0.00015079174772836268,1.862623281776905,1.40845937281847,0.0,0.0,0.09613914042711258,0.0,0.0,1.0,260.0,59556.5625,nan
6,0.19105024076998234,-0.00014191319496603683,0.4083489868789911,1.2982338070869446,0.0,0.0,-0.04958700016140938,,,,,,
7,0.9660269394516945,-2.8689479222521186e-05,1.9594830572605133,1.3685902431607246,0.0,0.0,0.10286364704370499,,,,,,
8,0.08832840964896604,-0.0001810105750337243,0.2052126694470644,1.4096915274858475,0.0,0.0,-0.014886077493429184,,,,,,
9,1.018859852105379,-6.407295586541295e-05,2.065633736550808,1.3892942816019058,0.0,0.0,0.10382428020238876,,,,,,
10,0.21783068776130676,-7.447086682077497e-05,0.4643641412258148,1.4276909902691841,0.0,0.0,-0.04070209339261055,0.0,0.0,1.0,260.0,58356.273828125,nan
11,0.8193003535270691,-3.578170435503125e-05,1.6660109236836433,1.3669332787394524,0.0,0.0,0.08081937581300735,,,,,,
12,0.09803324064705521,-0.00017937691882252693,0.22428858745843172,1.393167644739151,0.0,0.0,-0.02864307351410389,,,,,,
13,1.0805810950696468,-0.0001598157159605762,2.1890982538461685,1.380822628736496,0.0,0.0,0.10590437054634094,,,,,,
14,0.1591932950541377,-0.0001683917362242937,0.34781824611127377,1.45474361628294,0.0,0.0,-0.019756514579057693,,,,,,
15,1.028186310082674,-2.657787990756333e-05,2.0844454169273376,1.4009837433695793,0.0,0.0,0.10061842948198318,0.0,0.0,1.0,260.0,58459.933203125,nan
16,0.23733665328472853,-0.00023822032380849123,0.503758629783988,1.4304443001747131,0.0,0.0,0.003014342160895467,,,,,,
17,0.9660550951957703,-0.00010108584410772892,1.9589688330888748,1.3328228369355202,0.0,0.0,0.07718884199857712,,,,,,
18,0.36164351738989353,-0.0003255812043789774,0.7517554871737957,1.3908647000789642,0.0,0.0,0.02177630178630352,,,,,,
19,0.6582808382809162,-0.00012712211901089177,1.3436515629291534,1.3417823761701584,0.0,0.0,0.04860692843794823,,,,,,
20,0.3229597769677639,-0.0002007332514040172,0.6735668368637562,1.36229108273983,0.0,0.0,0.019474662840366364,0.0,0.0,1.0,260.0,57674.640625,nan
21,0.7380833551287651,-0.00020896805290249176,1.5015992522239685,1.2507288381457329,0.0,0.0,0.03500468283891678,,,,,,
22,0.3872811384499073,-0.0002114369417540729,0.802548598498106,1.3781723454594612,0.0,0.0,0.021632669493556023,,,,,,
23,0.7048676759004593,-0.00031476233061766834,1.4375862181186676,1.3610657826066017,0.0,0.0,0.05532485246658325,,,,,,
24,0.35992018319666386,-0.00014018554065842181,0.7488010004162788,1.4340129420161247,0.0,0.0,0.036686141043901443,,,,,,
25,0.6724880449473858,-1.6300960851367563e-05,1.3711268156766891,1.305906504392624,0.0,0.0,0.0366516150534153,0.0,0.0,1.0,260.0,55633.043359375,nan
26,0.2648339122533798,-0.0003371857455931604,0.5594788901507854,1.456834226846695,0.0,0.0,0.029465509578585625,,,,,,
27,0.5268230140209198,-1.3738084817305207e-05,1.0802215114235878,1.3274005502462387,0.0,0.0,0.029302669689059258,,,,,,
28,0.40024873428046703,-0.0001317629066761583,0.8281485810875893,1.3693790137767792,0.0,0.0,0.01712452620267868,,,,,,
29,0.5283190663903952,-5.99122722633183e-05,1.0813902281224728,1.2316132485866547,0.0,0.0,0.027846569195389748,,,,,,
30,0.3621353954076767,-0.00015672498557250947,0.7535575032234192,1.4486631006002426,0.0,0.0,0.04219658300280571,0.0,0.0,1.0,260.0,59002.6296875,nan
