update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.6482374183833599,-0.0006280726520344615,1.3242849931120872,1.3277010396122932,0.0,0.0,0.1585124284029007,0.4,0.0,0.6,234.0,11258.33232421875,nan
2,0.2672514831647277,-0.0006732842157362029,0.5689063146710396,1.6528390944004059,0.0,0.0,0.11323895305395126,,,,,,
3,0.7466592714190483,-0.0003319908500998281,1.5237395837903023,1.4878529533743858,0.0,0.0,0.15230907499790192,,,,,,
4,0.25558140221983194,-0.0007720049616182223,0.5474511031061411,1.737214632332325,0.0,0.0,0.08666133880615234,,,,,,
5,0.8478385284543037,-0.0005790337454527617,1.7281481251120567,1.5656509399414062,0.0,0.0,0.14777840673923492,0.4,0.0,0.6,221.2,12205.77998046875,nan
6,0.25638092309236526,-0.0006071154784876853,0.5482063964009285,1.7115158438682556,0.0,0.0,0.07596590369939804,,,,,,
7,0.9638371095061302,-0.00019050660193897784,1.9532345831394196,1.2589679583907127,0.0,0.0,0.15251576900482178,,,,,,
8,0.454014889895916,-0.00015291827730834484,0.9396826736629009,1.5673529282212257,0.0,0.0,0.13445709645748138,,,,,,
9,0.8413624428212643,-0.00024017263785935938,1.7138206735253334,1.530772753059864,0.0,0.0,0.14812122285366058,,,,,,
10,0.2784468187019229,-0.00023078428057488054,0.5944447591900826,1.8544776514172554,0.0,0.0,0.09111883491277695,0.6,0.0,0.4,203.5,11009.99736328125,nan
11,0.9318273849785328,-0.00020868851061095484,1.8940290957689285,1.4978486895561218,0.0,0.0,0.1360732465982437,,,,,,
12,0.372349351644516,-0.0003954456769861281,0.7779043167829514,1.6207362413406372,0.0,0.0,0.1048227921128273,,,,,,
13,0.912364985793829,-0.0005085155887627479,1.8539962321519852,1.412460908293724,0.0,0.0,0.14724618196487427,,,,,,
14,0.40617829374969006,-0.00019266922026872635,0.8461790345609188,1.6718551591038704,0.0,0.0,0.13196487724781036,,,,,,
15,0.8122579418122768,-0.00018655622261576355,1.6545458510518074,1.482841283082962,0.0,0.0,0.14730575680732727,0.3,0.0,0.7,231.6,13138.1966796875,nan
16,0.5636073742061853,-0.00017503442359156907,1.1592807099223137,1.5857947319746017,0.0,0.0,0.13182416558265686,,,,,,
17,0.7357264347374439,-0.00017601736681172042,1.5022350698709488,1.5215083211660385,0.0,0.0,0.1361643224954605,,,,,,
18,0.5231936257332563,-0.0003101938928011805,1.080096509307623,1.6544435322284698,0.0,0.0,0.11354882270097733,,,,,,
19,0.6268563009798527,-5.15922911290545e-05,1.283735491335392,1.4959840923547745,0.0,0.0,0.13055074214935303,,,,,,
20,0.48931254260241985,-0.0007617883493367117,1.0137663446366787,1.680884636938572,0.0,0.0,0.10754504054784775,0.6,0.0,0.4,192.5,12080.1466796875,nan
21,0.6810060702264309,-0.00030458837863989174,1.3961589485406876,1.6768815219402313,0.0,0.0,0.12234661728143692,,,,,,
22,0.5906211361289024,-0.00047820876352488995,1.2160460613667965,1.692368634045124,0.0,0.0,0.10599836707115173,,,,,,
23,0.7488931454718113,-0.00016899450565688312,1.5281537175178528,1.501472145318985,0.0,0.0,0.13270573318004608,,,,,,
24,0.4940176885575056,-0.0003982437774538994,1.020983763039112,1.6075942739844322,0.0,0.0,0.12436383962631226,,,,,,
25,0.7525674700737,-0.0005024900165153667,1.5348108857870102,1.4335484579205513,0.0,0.0,0.1287529319524765,0.7,0.0,0.3,192.7,11212.78818359375,nan
26,0.5137206241488457,-0.0012096150167053565,1.0626875683665276,1.6413551419973373,0.0,0.0,0.11275424808263779,,,,,,
27,0.6824368350207806,-0.0004515736363828182,1.3992389664053917,1.6731067895889282,0.0,0.0,0.12467674165964127,,,,,,
28,0.6529202330857515,-0.0005074749933555722,1.337805613875389,1.5475100502371788,0.0,0.0,0.11946042627096176,,,,,,
29,0.5661145113408566,-2.0706735085695982e-05,1.164517242461443,1.612340323626995,0.0,0.0,0.12934933602809906,,,,,,
30,0.622870622202754,-0.0007641346455784515,1.2799498811364174,1.6340188384056091,0.0,0.0,0.10530349612236023,0.4,0.0,0.6,215.0,12789.4544921875,nan
