train_seed,metric,label,unit,n_matched_episodes,no_graph,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0,0.6,0.6
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,0.6,0.6
0,timeout,Timeout,rate,20,1,0.4,-0.6
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,220,91.1,-128.9
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.03729166778,0.6616666676,0.6243749998
0,connectivity_during_failure,Connectivity during failure,rate,20,0.05260416823,0.2356878377,0.1830836695
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.1018650794,0.1018650794
0,steps,Episode length,steps,20,260,131.1,-128.9
1,success,Task success,rate,20,0.95,0.8,-0.15
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.95,0.8,-0.15
1,timeout,Timeout,rate,20,0.05,0.2,0.15
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,16.2,48.8,32.6
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.6075132456,0.8304166673,0.2229034216
1,connectivity_during_failure,Connectivity during failure,rate,20,0.2378108536,0.2161623742,-0.02164847948
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1550396825,0.1212103175,-0.03382936508
1,steps,Episode length,steps,20,56.2,88.8,32.6
2,success,Task success,rate,20,0,1,1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,1,1
2,timeout,Timeout,rate,20,1,0,-1
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,220,5.35,-214.65
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.005416666828,1,0.9945833332
2,connectivity_during_failure,Connectivity during failure,rate,20,0.2226041733,0.2384457743,0.015841601
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.1654563492,0.1654563492
2,steps,Episode length,steps,20,260,45.35,-214.65
3,success,Task success,rate,20,0,0.4,0.4
3,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,0.4,0.4
3,timeout,Timeout,rate,20,1,0.6,-0.4
3,capped_recovery_steps,Restricted mean recovery steps,steps,20,220,134.25,-85.75
3,tracking_during_failure_rate,Tracking during failure,rate,20,0,0.4190972256,0.4190972256
3,connectivity_during_failure,Connectivity during failure,rate,20,0.1305208372,0.1854050981,0.05488426089
3,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.06402777778,0.06402777778
3,steps,Episode length,steps,20,260,174.25,-85.75
4,success,Task success,rate,20,0.25,1,0.75
4,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.25,1,0.75
4,timeout,Timeout,rate,20,0.75,0,-0.75
4,capped_recovery_steps,Restricted mean recovery steps,steps,20,166.1,5.65,-160.45
4,tracking_during_failure_rate,Tracking during failure,rate,20,0.1041666698,0.607916683,0.5037500133
4,connectivity_during_failure,Connectivity during failure,rate,20,0.08368055805,0.2329431286,0.1492625706
4,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.04666666667,0.1576587302,0.1109920635
4,steps,Episode length,steps,20,206.1,45.65,-160.45
