train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.8,0.6,-0.2
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.8,0.6,-0.2
0,timeout,Timeout,rate,20,0.2,0.4,0.2
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,49.3,91.1,41.8
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.8341666673,0.6616666676,-0.1724999997
0,connectivity_during_failure,Connectivity during failure,rate,20,0.2402641759,0.2356878377,-0.00457633815
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1173778999,0.1018650794,-0.01551282051
0,steps,Episode length,steps,20,89.3,131.1,41.8
1,success,Task success,rate,20,0.3,0.8,0.5
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.3,0.8,0.5
1,timeout,Timeout,rate,20,0.7,0.2,-0.5
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,156.1,48.8,-107.3
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.3703009294,0.8304166673,0.4601157379
1,connectivity_during_failure,Connectivity during failure,rate,20,0.1201537734,0.2161623742,0.09600860074
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.0376984127,0.1212103175,0.08351190476
1,steps,Episode length,steps,20,196.1,88.8,-107.3
2,success,Task success,rate,20,0,1,1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0,1,1
2,timeout,Timeout,rate,20,0.95,0,-0.95
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,210.45,5.35,-205.1
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.1347222262,1,0.8652777738
2,connectivity_during_failure,Connectivity during failure,rate,20,0.04739583475,0.2384457743,0.1910499396
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0,0.1654563492,0.1654563492
2,steps,Episode length,steps,20,250.45,45.35,-205.1
3,success,Task success,rate,20,0.65,0.4,-0.25
3,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.65,0.4,-0.25
3,timeout,Timeout,rate,20,0.35,0.6,0.25
3,capped_recovery_steps,Restricted mean recovery steps,steps,20,80.75,134.25,53.5
3,tracking_during_failure_rate,Tracking during failure,rate,20,0.3578376129,0.4190972256,0.06125961273
3,connectivity_during_failure,Connectivity during failure,rate,20,0.1951178509,0.1854050981,-0.009712752815
3,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1023827561,0.06402777778,-0.03835497835
3,steps,Episode length,steps,20,120.75,174.25,53.5
4,success,Task success,rate,20,0.8,1,0.2
4,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.8,1,0.2
4,timeout,Timeout,rate,20,0.15,0,-0.15
4,capped_recovery_steps,Restricted mean recovery steps,steps,20,37.85,5.65,-32.2
4,tracking_during_failure_rate,Tracking during failure,rate,20,0.540138905,0.607916683,0.06777777806
4,connectivity_during_failure,Connectivity during failure,rate,20,0.2132236115,0.2329431286,0.01971951718
4,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1216901154,0.1576587302,0.03596861472
4,steps,Episode length,steps,20,77.7,45.65,-32.05
