scenario,method,n_training_seeds,recovery,tracking,chain,timeout,collision,valid_failure_window_tracking_seeds,valid_failure_window_chain_seeds
dropout030_relay_failure_early,no_graph,5,0.27999999999999997,0.19152046000000003,0.01292414,0.72,0.0,5,5
dropout030_relay_failure_early,single,5,0.4800000000000001,0.4177682000000001,0.02238623,0.5200000000000001,0.0,5,5
dropout030_relay_failure_early,multi_relation,5,0.76,0.5869882,0.03346848,0.24,0.0,5,5
dropout030_relay_failure,no_graph,5,0.2,0.14516674000000002,0.0313334,0.8,0.0,5,5
dropout030_relay_failure,single,5,0.5599999999999999,0.4829286,0.0840794,0.44000000000000006,0.0,5,5
dropout030_relay_failure,multi_relation,5,0.8400000000000001,0.6931428,0.11623804,0.16,0.0,5,5
dropout030_relay_failure_delayed,no_graph,5,0.0,0.003125,0.0,0.8,0.0,4,4
dropout030_relay_failure_delayed,single,5,0.0,0.005,0.0,0.4,0.08,1,1
dropout030_relay_failure_delayed,multi_relation,5,0.04,,,0.2,0.0,0,0
dropout030_relay_failure_late,no_graph,5,0.0,0.0,0.0,0.8,0.0,4,4
dropout030_relay_failure_late,single,5,0.0,0.0,0.0,0.4,0.08,1,1
dropout030_relay_failure_late,multi_relation,5,0.04,,,0.2,0.0,0,0
