train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,100,0.72,0.57,-0.15
0,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.72,0.57,-0.15
0,timeout,Timeout,rate,100,0.28,0.43,0.15
0,capped_recovery_steps,Restricted mean recovery steps,steps,100,65.9,97.75,31.85
0,tracking_during_failure_rate,Tracking during failure,rate,100,0.7623366412,0.6325105832,-0.129826058
0,connectivity_during_failure,Connectivity during failure,rate,100,0.2270286517,0.1939120428,-0.03311660892
0,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1110480908,0.09108730159,-0.01996078921
0,steps,Episode length,steps,100,105.9,137.75,31.85
1,success,Task success,rate,100,0.33,0.91,0.58
1,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.33,0.91,0.58
1,timeout,Timeout,rate,100,0.6,0.09,-0.51
1,capped_recovery_steps,Restricted mean recovery steps,steps,100,136.29,25.33,-110.96
1,tracking_during_failure_rate,Tracking during failure,rate,100,0.4184370492,0.9238522731,0.5054152238
1,connectivity_during_failure,Connectivity during failure,rate,100,0.1352529114,0.2179310731,0.08267816173
1,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.04416666667,0.1345999278,0.09043326118
1,steps,Episode length,steps,100,176.29,65.33,-110.96
2,success,Task success,rate,100,0,1,1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0,1,1
2,timeout,Timeout,rate,100,0.98,0,-0.98
2,capped_recovery_steps,Restricted mean recovery steps,steps,100,216.01,5.37,-210.64
2,tracking_during_failure_rate,Tracking during failure,rate,100,0.1240326124,1,0.8759673876
2,connectivity_during_failure,Connectivity during failure,rate,100,0.05593659587,0.2345469647,0.1786103688
2,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0,0.1620634921,0.1620634921
2,steps,Episode length,steps,100,256.01,45.37,-210.64
3,success,Task success,rate,100,0.7,0.92,0.22
3,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.7,0.92,0.22
3,timeout,Timeout,rate,100,0.3,0.08,-0.22
3,capped_recovery_steps,Restricted mean recovery steps,steps,100,69.89,52.74,-17.15
3,tracking_during_failure_rate,Tracking during failure,rate,100,0.4153525256,0.6355039739,0.2201514483
3,connectivity_during_failure,Connectivity during failure,rate,100,0.1743637618,0.1834609843,0.009097222493
3,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1106388889,0.1044246032,-0.006214285714
3,steps,Episode length,steps,100,109.89,92.74,-17.15
4,success,Task success,rate,100,0.94,1,0.06
4,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.94,1,0.06
4,timeout,Timeout,rate,100,0.06,0,-0.06
4,capped_recovery_steps,Restricted mean recovery steps,steps,100,18.84,6.83,-12.01
4,tracking_during_failure_rate,Tracking during failure,rate,100,0.6339625237,0.6100562329,-0.02390629076
4,connectivity_during_failure,Connectivity during failure,rate,100,0.2259321047,0.2314328773,0.00550077254
4,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.141531857,0.153781746,0.012249889
4,steps,Episode length,steps,100,58.84,46.83,-12.01
