graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,-20,50,50,0.333333,0.866667,0,0
no_graph,-19,50,50,0.333333,0.786667,0,0
no_graph,-18,50,50,0.333333,0.86,0,0
no_graph,-17,50,50,0.333333,0.85,0,0
no_graph,-16,50,50,0.333333,0.86,0,0
no_graph,-15,50,50,0.333333,0.843333,0,0
no_graph,-14,50,50,0.333333,0.863333,0,0
no_graph,-13,50,50,0.333333,0.85,0,0
no_graph,-12,50,50,0.346667,0.843333,0,0
no_graph,-11,50,50,0.533333,0.81,0,0
no_graph,-10,50,50,0.586667,0.893333,0,0
no_graph,-9,50,50,0.573333,0.863333,0,0
no_graph,-8,50,50,0.54,0.833333,0,0
no_graph,-7,50,50,0.526667,0.82,0,0
no_graph,-6,50,50,0.5,0.876667,0,0
no_graph,-5,50,50,0.4,0.826667,0,0
no_graph,-4,50,50,0.38,0.9,0,0
no_graph,-3,50,50,0.34,0.806667,0,0
no_graph,-2,50,50,0.333333,0.893333,0,0
no_graph,-1,50,50,0.266667,0.82,0,0
no_graph,0,50,50,0.26,0.223333,0,0
no_graph,1,50,50,0.213333,0.236667,0,0
no_graph,2,50,50,0.193333,0.213333,0,0
no_graph,3,50,50,0.153333,0.216667,0,0
no_graph,4,50,50,0.12,0.21,0.06,0.06
no_graph,5,47,50,0.0851064,0.198582,0.0638298,0.12
no_graph,6,44,50,0.0530303,0.25,0.0227273,0.14
no_graph,7,43,50,0.0465116,0.228682,0,0.14
no_graph,8,43,50,0.0465116,0.25969,0,0.14
no_graph,9,43,50,0.0465116,0.224806,0,0.14
no_graph,10,43,50,0.0465116,0.205426,0,0.14
no_graph,11,43,50,0.0465116,0.248062,0,0.14
no_graph,12,43,50,0.0465116,0.22093,0,0.14
no_graph,13,43,50,0.0465116,0.193798,0,0.14
no_graph,14,43,50,0.0465116,0.174419,0,0.14
no_graph,15,43,50,0.0387597,0.0503876,0,0.14
no_graph,16,43,50,0.0387597,0.00775194,0,0.14
no_graph,17,43,50,0.0310078,0.00387597,0,0.14
no_graph,18,43,50,0.0310078,0,0,0.14
no_graph,19,43,50,0.0232558,0,0,0.14
no_graph,20,43,50,0.0155039,0,0,0.14
no_graph,21,43,50,0,0,0,0.14
no_graph,22,43,50,0,0,0,0.14
no_graph,23,43,50,0,0,0,0.14
no_graph,24,43,50,0,0,0,0.14
no_graph,25,43,50,0,0,0,0.14
no_graph,26,43,50,0,0,0,0.14
no_graph,27,43,50,0,0,0,0.14
no_graph,28,43,50,0,0,0,0.14
no_graph,29,43,50,0,0,0,0.14
no_graph,30,43,50,0,0,0,0.14
no_graph,31,43,50,0,0,0,0.14
no_graph,32,43,50,0,0,0,0.14
no_graph,33,43,50,0,0,0,0.14
no_graph,34,43,50,0,0,0,0.14
no_graph,35,43,50,0,0,0,0.14
no_graph,36,43,50,0,0,0,0.14
no_graph,37,43,50,0,0,0,0.14
no_graph,38,43,50,0,0,0,0.14
no_graph,39,43,50,0,0,0,0.14
no_graph,40,43,50,0,0,0,0.14
no_graph,41,43,50,0,0,0,0.14
no_graph,42,43,50,0,0,0,0.14
no_graph,43,43,50,0,0,0,0.14
no_graph,44,43,50,0,0,0,0.14
no_graph,45,43,50,0,0,0,0.14
no_graph,46,43,50,0,0,0,0.14
no_graph,47,43,50,0,0,0,0.14
no_graph,48,43,50,0,0,0,0.14
no_graph,49,43,50,0,0,0,0.14
no_graph,50,43,50,0,0,0,0.14
no_graph,51,43,50,0,0,0,0.14
no_graph,52,43,50,0,0,0,0.14
no_graph,53,43,50,0,0,0,0.14
no_graph,54,43,50,0,0,0,0.14
no_graph,55,43,50,0,0,0,0.14
no_graph,56,43,50,0,0,0,0.14
no_graph,57,43,50,0,0,0,0.14
no_graph,58,43,50,0,0,0,0.14
no_graph,59,43,50,0,0,0,0.14
no_graph,60,43,50,0,0,0,0.14
no_graph,61,43,50,0,0,0,0.14
no_graph,62,43,50,0,0,0,0.14
no_graph,63,43,50,0,0,0,0.14
no_graph,64,43,50,0,0,0,0.14
no_graph,65,43,50,0,0,0,0.14
no_graph,66,43,50,0,0,0,0.14
no_graph,67,43,50,0,0,0,0.14
no_graph,68,43,50,0,0,0,0.14
no_graph,69,43,50,0,0,0,0.14
no_graph,70,43,50,0,0,0,0.14
no_graph,71,43,50,0,0,0,0.14
no_graph,72,43,50,0,0,0,0.14
no_graph,73,43,50,0,0,0,0.14
no_graph,74,43,50,0,0,0,0.14
no_graph,75,43,50,0,0,0,0.14
no_graph,76,43,50,0,0,0,0.14
no_graph,77,43,50,0,0,0,0.14
no_graph,78,43,50,0,0,0,0.14
no_graph,79,43,50,0,0,0,0.14
no_graph,80,43,50,0,0,0,0.14
no_graph,81,43,50,0,0,0,0.14
no_graph,82,43,50,0,0,0,0.14
no_graph,83,43,50,0,0,0,0.14
no_graph,84,43,50,0,0,0,0.14
no_graph,85,43,50,0,0,0,0.14
no_graph,86,43,50,0,0,0,0.14
no_graph,87,43,50,0,0,0,0.14
no_graph,88,43,50,0,0,0,0.14
no_graph,89,43,50,0,0,0,0.14
no_graph,90,43,50,0,0,0,0.14
no_graph,91,43,50,0,0,0,0.14
no_graph,92,43,50,0,0,0,0.14
no_graph,93,43,50,0,0,0,0.14
no_graph,94,43,50,0,0,0,0.14
no_graph,95,43,50,0,0,0,0.14
no_graph,96,43,50,0,0,0,0.14
no_graph,97,43,50,0,0,0,0.14
no_graph,98,43,50,0,0,0,0.14
no_graph,99,43,50,0,0,0,0.14
no_graph,100,43,50,0,0,0,0.14
no_graph,101,43,50,0,0,0,0.14
no_graph,102,43,50,0,0,0,0.14
no_graph,103,43,50,0,0,0,0.14
no_graph,104,43,50,0,0,0,0.14
no_graph,105,43,50,0,0,0,0.14
no_graph,106,43,50,0,0,0,0.14
no_graph,107,43,50,0,0,0,0.14
no_graph,108,43,50,0,0,0,0.14
no_graph,109,43,50,0,0,0,0.14
no_graph,110,43,50,0,0,0,0.14
no_graph,111,43,50,0,0,0,0.14
no_graph,112,43,50,0,0,0,0.14
no_graph,113,43,50,0,0,0,0.14
no_graph,114,43,50,0,0,0,0.14
no_graph,115,43,50,0,0,0,0.14
no_graph,116,43,50,0,0,0,0.14
no_graph,117,43,50,0,0,0,0.14
no_graph,118,43,50,0,0,0,0.14
no_graph,119,43,50,0,0,0,0.14
no_graph,120,43,50,0,0,0,0.14
no_graph,121,43,50,0,0,0,0.14
no_graph,122,43,50,0,0,0,0.14
no_graph,123,43,50,0,0,0,0.14
no_graph,124,43,50,0,0.00387597,0,0.14
no_graph,125,43,50,0,0.00387597,0,0.14
no_graph,126,43,50,0,0.00775194,0,0.14
no_graph,127,43,50,0,0.00775194,0,0.14
no_graph,128,43,50,0,0.00387597,0,0.14
no_graph,129,43,50,0,0.00775194,0,0.14
no_graph,130,43,50,0,0.00387597,0,0.14
no_graph,131,43,50,0,0.00775194,0,0.14
no_graph,132,43,50,0,0.00775194,0,0.14
no_graph,133,43,50,0,0.00387597,0,0.14
no_graph,134,43,50,0,0.00387597,0,0.14
no_graph,135,43,50,0,0.00775194,0,0.14
no_graph,136,43,50,0,0.00775194,0,0.14
no_graph,137,43,50,0,0.00387597,0,0.14
no_graph,138,43,50,0,0.00775194,0,0.14
no_graph,139,43,50,0,0.00775194,0,0.14
no_graph,140,43,50,0,0.00775194,0,0.14
no_graph,141,43,50,0,0.00775194,0,0.14
no_graph,142,43,50,0,0.00775194,0,0.14
no_graph,143,43,50,0,0.00387597,0,0.14
no_graph,144,43,50,0,0.00775194,0,0.14
no_graph,145,43,50,0,0.00775194,0,0.14
no_graph,146,43,50,0,0.00387597,0,0.14
no_graph,147,43,50,0,0.00775194,0,0.14
no_graph,148,43,50,0,0.00387597,0,0.14
no_graph,149,43,50,0,0.00775194,0,0.14
no_graph,150,43,50,0,0.00775194,0,0.14
no_graph,151,43,50,0,0.00387597,0,0.14
no_graph,152,43,50,0,0.00387597,0,0.14
no_graph,153,43,50,0,0.00775194,0,0.14
no_graph,154,43,50,0,0.00387597,0,0.14
no_graph,155,43,50,0,0.00775194,0,0.14
no_graph,156,43,50,0,0.00387597,0,0.14
no_graph,157,43,50,0,0.00387597,0,0.14
no_graph,158,43,50,0,0.00387597,0,0.14
no_graph,159,43,50,0,0.00775194,0,0.14
no_graph,160,43,50,0,0.00775194,0,0.14
no_graph,161,43,50,0,0.00387597,0,0.14
no_graph,162,43,50,0,0.0116279,0,0.14
no_graph,163,43,50,0,0.0155039,0,0.14
no_graph,164,43,50,0,0.00775194,0,0.14
no_graph,165,43,50,0,0.00387597,0,0.14
no_graph,166,43,50,0,0.00775194,0,0.14
no_graph,167,43,50,0,0.0155039,0,0.14
no_graph,168,43,50,0,0.00775194,0,0.14
no_graph,169,43,50,0,0.00775194,0,0.14
no_graph,170,43,50,0,0.0155039,0,0.14
no_graph,171,43,50,0,0.0155039,0,0.14
no_graph,172,43,50,0,0.0116279,0,0.14
no_graph,173,43,50,0,0.0116279,0,0.14
no_graph,174,43,50,0,0.0155039,0,0.14
no_graph,175,43,50,0,0.0155039,0,0.14
no_graph,176,43,50,0,0.0155039,0,0.14
no_graph,177,43,50,0,0.0116279,0,0.14
no_graph,178,43,50,0,0.00387597,0,0.14
no_graph,179,43,50,0,0.00387597,0,0.14
no_graph,180,43,50,0,0.00775194,0,0.14
no_graph,181,43,50,0,0.00775194,0,0.14
