graph_encoder,train_seed,episode,rollout_seed,step,relative_step,node_failure_active,tracking_rate,comm_connectivity,chain_closed,attack_window_rate,mean_message_age,mean_range,success,timeout,collision
single,1,16,310016,1,-39,0,0,1,0,0,86.6667,24674,0,0,0
single,1,16,310016,2,-38,0,0,0.666667,0,0,86.8333,24244.4,0,0,0
single,1,16,310016,3,-37,0,0,0.5,0,0,87,23797.6,0,0,0
single,1,16,310016,4,-36,0,0,0.666667,0,0,86.8333,23348,0,0,0
single,1,16,310016,5,-35,0,0,1,0,0,86.6667,22898.9,0,0,0
single,1,16,310016,6,-34,0,0,0.333333,0,0,87,22450.1,0,0,0
single,1,16,310016,7,-33,0,0,0.5,0,0,87.1667,22002.4,0,0,0
single,1,16,310016,8,-32,0,0,0.333333,0,0,87.3333,21554.4,0,0,0
single,1,16,310016,9,-31,0,0,0.666667,0,0,86.8333,21107.9,0,0,0
single,1,16,310016,10,-30,0,0,0.5,0,0,87.1667,20661.6,0,0,0
single,1,16,310016,11,-29,0,0,1,0,0,86.6667,20215.4,0,0,0
single,1,16,310016,12,-28,0,0,0.666667,0,0,86.8333,19769.2,0,0,0
single,1,16,310016,13,-27,0,0,0.666667,0,0,86.8333,19323.3,0,0,0
single,1,16,310016,14,-26,0,0,0.666667,0,0,87,18877.5,0,0,0
single,1,16,310016,15,-25,0,0,0.666667,0,0,86.8333,18433.1,0,0,0
single,1,16,310016,16,-24,0,0,0.666667,0,0,86.8333,17988.8,0,0,0
single,1,16,310016,17,-23,0,0.333333,0.166667,0,0,87.3333,17546.7,0,0,0
single,1,16,310016,18,-22,0,0.333333,0.666667,0,0,86.8333,17106.1,0,0,0
single,1,16,310016,19,-21,0,0.333333,1,0,0,43.3333,16665.5,0,0,0
single,1,16,310016,20,-20,0,0.333333,0.5,0,0,43.6667,16224.9,0,0,0
single,1,16,310016,21,-19,0,0.333333,0.666667,0,0,0.666667,15784.8,0,0,0
single,1,16,310016,22,-18,0,0.333333,0.5,0,0,1.33333,15346.5,0,0,0
single,1,16,310016,23,-17,0,0.333333,1,0,0,0.833333,14911,0,0,0
single,1,16,310016,24,-16,0,0.333333,1,0,0,0.333333,14475.7,0,0,0
single,1,16,310016,25,-15,0,0.333333,1,0,0,0.666667,14041.2,0,0,0
