true_intent,pred_intent,count
straight,straight,0
straight,escape_nearest,144
straight,turn_left,2
straight,turn_right,69
straight,unknown,68
escape_nearest,straight,0
escape_nearest,escape_nearest,1900
escape_nearest,turn_left,27
escape_nearest,turn_right,959
escape_nearest,unknown,873
turn_left,straight,0
turn_left,escape_nearest,552
turn_left,turn_left,6
turn_left,turn_right,291
turn_left,unknown,283
turn_right,straight,0
turn_right,escape_nearest,547
turn_right,turn_left,4
turn_right,turn_right,293
turn_right,unknown,266
unknown,straight,0
unknown,escape_nearest,48
unknown,turn_left,0
unknown,turn_right,28
unknown,unknown,24
