method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
Geometric controller,not_applicable,geometric_controller,0,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,41.449274146038555,0.0,0.0,0.0,46.0,14624.214780061142,4674.97802734375,41.38911235332489
Geometric controller,not_applicable,geometric_controller,0,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,39.56521623030953,0.0,0.0,0.0,46.0,14661.052840523098,4686.84521484375,41.38886258006096
Geometric controller,not_applicable,geometric_controller,0,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14885.79716796875,5117.24755859375,40.38546401262283
Geometric controller,not_applicable,geometric_controller,0,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15109.95790793679,5541.55126953125,39.23256501555443
Geometric controller,not_applicable,geometric_controller,0,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15072.713689630682,5547.60693359375,39.37951010465622
Geometric controller,not_applicable,geometric_controller,0,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14817.32804904514,5033.46142578125,40.48512810468674
Geometric controller,not_applicable,geometric_controller,0,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15098.284379438921,5579.72900390625,39.37206852436066
Geometric controller,not_applicable,geometric_controller,0,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14817.75632595486,5038.5087890625,40.27997601032257
Geometric controller,not_applicable,geometric_controller,0,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15105.15322043679,5579.70849609375,39.175313502550125
Geometric controller,not_applicable,geometric_controller,0,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,41.449274146038555,0.0,0.0,0.0,46.0,14636.013640030571,4645.70654296875,41.43708389997482
