method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42000,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14864.71540798611,5204.97802734375,40.186617493629456
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42001,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14867.367892795139,5221.09326171875,39.96790000796318
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42002,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4166666716337204,1.0,39.393938237970524,0.0,0.0,0.0,44.0,15155.60137384588,5654.443359375,39.33313459157944
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42003,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14850.038878038195,5196.44482421875,40.19780743122101
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42004,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,41.363635149869054,0.0,0.0,0.0,44.0,15078.985884232954,5593.55224609375,39.45044621825218
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42005,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14630.871974779211,4830.31591796875,40.89551791548729
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42006,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14645.705874235733,4867.6171875,41.0649408698082
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42007,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14863.09404296875,5199.09619140625,40.1908483505249
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42008,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14646.237994650135,4838.173828125,41.00891041755676
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42009,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14680.78857421875,4932.57861328125,40.94520354270935
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42010,10,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,44.255317850315826,0.0,0.0,0.0,47.0,14470.796823055187,4585.501953125,41.909872978925705
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42011,11,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,41.363635149869054,0.0,0.0,0.0,44.0,15087.283269708807,5576.55810546875,39.468315571546555
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42012,12,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,41.363635149869054,0.0,0.0,0.0,44.0,15103.105990323153,5562.20751953125,39.3030546605587
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42013,13,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15096.481223366478,5672.61572265625,39.286276400089264
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42014,14,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14486.809549534575,4500.6533203125,41.815373957157135
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42015,15,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.027777778605620067,0.45833333767950535,1.0,45.138887564341225,0.0,0.0,0.0,48.0,14261.969868977865,4240.04248046875,42.49079605937004
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42016,16,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14436.003314079122,4462.9248046875,41.929856300354004
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42017,17,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14683.11818529212,4921.14111328125,40.95896956324577
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42018,18,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4166666716337204,1.0,39.393938237970524,0.0,0.0,0.0,44.0,15166.48974609375,5758.92822265625,39.23324331641197
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42019,19,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14462.746291140293,4524.2763671875,41.76849713921547
EA-RG-MAPPO-S,results/intercept_3d_baseline_protocol/runs/bc_ppo_seed2/actor_critic_best.pt,checkpoint,42020,20,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,41.363635149869054,0.0,0.0,0.0,44.0,15116.489868164062,5609.34228515625,39.257864236831665
