epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.144808527496126,0.4610241716258908,9074,1.0,0
2,1.5423598521285586,0.49889795018734845,9074,1.0,0
3,1.3333611289660137,0.5986701932260672,9074,1.0,0
4,1.209569404522578,0.6167438101535523,9074,1.0,0
5,1.1295308437612321,0.6297847329365954,9074,1.0,0
6,1.077065807249811,0.6363602968187495,9074,1.0,0
7,1.0364237940973706,0.6674381015355227,9074,1.0,0
8,0.9984503587086996,0.6891852178385129,9074,1.0,0
9,0.9456576208273569,0.7210711924178973,9074,1.0,0
10,0.8591783626212014,0.7507530673719786,9074,1.0,0
11,0.7796708792448044,0.7626919403423701,9074,1.0,0
12,0.7196442302730348,0.7715450738373375,9074,1.0,0
13,0.6756206932995055,0.7808390272573653,9074,1.0,0
14,0.6405268030034171,0.7902064506649034,9074,1.0,0
15,0.6084636532598071,0.7974065094408934,9074,1.0,0
16,0.5814928097857369,0.8018881786790096,9074,1.0,0
17,0.56386549025774,0.8060392329733304,9074,1.0,0
18,0.5473426522480117,0.8067739328484315,9074,1.0,0
19,0.5323690068390634,0.8100433472926309,9074,1.0,0
20,0.5221495653192202,0.8135699066931159,9074,1.0,0
21,0.5149511140253809,0.8168025861435604,9074,1.0,0
22,0.5050793083177673,0.8184923958562927,9074,1.0,0
23,0.4958183417717616,0.8240761149070605,9074,1.0,0
24,0.4861498350898425,0.8270883843949747,9074,1.0,0
25,0.4761870726943016,0.8309088237455,9074,1.0,0
26,0.4680266214741601,0.8320476085519065,9074,1.0,0
27,0.46513910839955014,0.8348027330835354,9074,1.0,0
28,0.4553651644123925,0.8364558078025127,9074,1.0,0
29,0.45595817516247433,0.8351333480273309,9074,1.0,0
30,0.44853265914652085,0.8365660127837778,9074,1.0,0
31,0.44879715392986935,0.8379252075527147,9074,1.0,0
32,0.4446080368426111,0.838843582396591,9074,1.0,0
33,0.44332002351681393,0.838145617515245,9074,1.0,0
34,0.440390433702204,0.8396884872529572,9074,1.0,0
35,0.43715129295984906,0.8399823672029976,9074,1.0,0
36,0.43629054062896305,0.8385864374403056,9074,1.0,0
37,0.4343952445520295,0.8403497171405481,9074,1.0,0
38,0.43419840931892395,0.8395782822716921,9074,1.0,0
39,0.4301485030187501,0.8411211520094042,9074,1.0,0
40,0.43009716106785667,0.8409374770406289,9074,1.0,0
41,0.4259570530719227,0.8417823818969951,9074,1.0,0
42,0.4304878380563524,0.8407538020718537,9074,1.0,0
43,0.42593155884080464,0.8427374917346264,9074,1.0,0
44,0.423924101723565,0.8424068767908309,9074,1.0,0
45,0.42541126327382195,0.8414885019469547,9074,1.0,0
46,0.41978075355291367,0.8431415766659319,9074,1.0,0
47,0.4189337136016952,0.8428844317096467,9074,1.0,0
48,0.4199303636948268,0.8436191315847477,9074,1.0,0
49,0.4246812073720826,0.8421864668283007,9074,1.0,0
50,0.41513655583063763,0.8443170964660937,9074,1.0,0
51,0.41691222538550693,0.8450517963411946,9074,1.0,0
52,0.4127367072635227,0.8465946660789068,9074,1.0,0
53,0.4105842510859172,0.8469252810227023,9074,1.0,0
54,0.40974608312050503,0.8476967158915583,9074,1.0,0
55,0.41011711292796665,0.8479171258540886,9074,1.0,0
56,0.40669822527302635,0.8501212254793916,9074,1.0,0
57,0.4046226872338189,0.8499375505106164,9074,1.0,0
58,0.4010697189304564,0.8511498053045331,9074,1.0,0
59,0.4051078110933304,0.8494967305855557,9074,1.0,0
60,0.400510902206103,0.852472265079715,9074,1.0,0
61,0.3990037242571513,0.8535008449048563,9074,1.0,0
62,0.39788854370514554,0.8528396150172655,9074,1.0,0
63,0.3976026127735774,0.8540886048049372,9074,1.0,0
64,0.40577419930034214,0.8507089853794725,9074,1.0,0
65,0.39522728241152233,0.8528396150172655,9074,1.0,0
66,0.393146350979805,0.8558886194989347,9074,1.0,0
67,0.3984110761019919,0.8519212401733892,9074,1.0,0
68,0.39332940098312164,0.8544559547424877,9074,1.0,0
69,0.3965071795715226,0.8522151201234296,9074,1.0,0
70,0.3914541577299436,0.8560722944677099,9074,1.0,0
71,0.39301766951878864,0.8547498346925281,9074,1.0,0
72,0.3931151098675198,0.8523253251046947,9074,1.0,0
73,0.3909201936589347,0.8552273896113438,9074,1.0,0
74,0.39039887653456795,0.854639629711263,9074,1.0,0
75,0.3937908278571235,0.8540518698111821,9074,1.0,0
76,0.3902729989753829,0.8540518698111821,9074,1.0,0
77,0.38603345387511784,0.8570641392990963,9074,1.0,0
78,0.3858981008330981,0.8564763793990156,9074,1.0,0
79,0.3912640338142713,0.8550804496363236,9074,1.0,0
80,0.386488638818264,0.8565498493865256,9074,1.0,0
