update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.7092267423868179,-0.001898989644056659,1.4236782789230347,0.713392898440361,0.0,0.0,0.13608399033546448,0.0,0.0,1.0,260.0,31560.4234375,nan
2,0.11461491324007511,-0.001595684967469424,0.23349954932928085,0.5391770601272583,0.0,0.0,-0.02187182940542698,,,,,,
3,0.22830437123775482,-0.00044653348110479385,0.4587770476937294,0.6376233696937561,0.0,0.0,-0.06437394767999649,,,,,,
4,0.13749881088733673,-0.0009417291197073574,0.2783491909503937,0.7340575903654099,0.0,0.0,-0.04418538138270378,,,,,,
5,0.6407534927129745,-0.000599313985730987,1.2839972078800201,0.6458030194044113,0.0,0.0,0.11857015639543533,,,,,,
6,0.11605009995400906,-0.0014657013331689228,0.23622776567935944,0.5980827659368515,0.0,0.0,-0.012222717516124249,,,,,,
7,0.25802022218704224,-0.0005040662217652425,0.5180826038122177,0.5170122236013412,0.0,0.0,-0.0623517744243145,,,,,,
8,0.3077307417988777,-4.072716205882898e-05,0.616599053144455,0.5280601680278778,0.0,0.0,-0.07069701701402664,,,,,,
9,0.6983594745397568,-0.00019139004992485553,1.3984328508377075,0.6655800640583038,0.0,0.0,0.11679733544588089,,,,,,
10,0.09509320370852947,-0.0013513062100778406,0.19429605454206467,0.7035159766674042,0.0,0.0,0.024477684870362282,0.0,0.0,1.0,260.0,36505.4484375,nan
11,0.15457455068826675,-0.0006889458769971102,0.3117380887269974,0.6055535227060318,0.0,0.0,-0.04820358753204346,,,,,,
12,0.173445425927639,-0.00013683666050923193,0.34837307780981064,0.6042787432670593,0.0,0.0,-0.052638959139585495,,,,,,
13,0.5645917057991028,-6.630488648351474e-05,1.130615621805191,0.6498009115457535,0.0,0.0,0.09933941811323166,,,,,,
14,0.06613060459494591,-0.0015849257033551112,0.13690440356731415,0.7366703599691391,0.0,0.0,0.012369620613753796,,,,,,
15,0.21812613308429718,-0.0001585113313544717,0.43795642256736755,0.6935628354549408,0.0,0.0,-0.05487070977687836,,,,,,
16,0.15418612584471703,-0.0006177960240165703,0.31105586886405945,0.7240155786275864,0.0,0.0,-0.04912467673420906,,,,,,
17,0.5374867171049118,2.7719261197489686e-06,1.076215535402298,0.6238335818052292,0.0,0.0,0.08798619359731674,,,,,,
18,0.10734974406659603,-0.0007113594037946314,0.21760575100779533,0.7417720705270767,0.0,0.0,0.029057571664452553,,,,,,
19,0.303090400993824,-0.0001048650949542207,0.6075774282217026,0.5934490114450455,0.0,0.0,-0.06594032794237137,,,,,,
20,0.23242441937327385,-0.0003950623831769917,0.46691103279590607,0.6360283195972443,0.0,0.0,-0.06093790754675865,0.0,0.0,1.0,260.0,33623.506640625,nan
