epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.8288603491253324,0.35806143445032335,9072,1.0,1
2,2.173966040213903,0.3343253968253968,9072,1.0,1
3,1.917972018321355,0.3011463844797178,9072,1.0,1
4,1.844656401210361,0.2761243386243386,9072,1.0,1
5,1.7755292389127943,0.2828483245149912,9072,1.0,1
6,1.7506525218486786,0.2652851263962375,9072,1.0,1
7,1.7101553115579817,0.26363168724279834,9072,1.0,1
8,1.6829407678710089,0.2535273368606702,9072,1.0,1
9,1.672592921389474,0.30570252792475017,9072,1.0,1
10,1.6285798516538408,0.28869047619047616,9072,1.0,1
11,1.600946436325709,0.31044238683127573,9072,1.0,1
12,1.5406918889946408,0.3435111699000588,9072,1.0,1
13,1.4514536990059748,0.35361552028218696,9072,1.0,1
14,1.358925571044286,0.3534318048206937,9072,1.0,1
15,1.2617420852184296,0.3792254556143445,9072,1.0,1
16,1.2117698689301808,0.37037037037037035,9072,1.0,1
17,1.1917066143618689,0.3898809523809524,9072,1.0,1
18,1.1552403569221497,0.41435185185185186,9072,1.0,1
19,1.1229656553930707,0.3939594356261023,9072,1.0,1
20,1.0848249942064285,0.4384185773074662,9072,1.0,1
21,1.0692964593569438,0.41541740152851264,9072,1.0,1
22,1.026853770017624,0.44301146384479717,9072,1.0,1
23,0.9959992832607694,0.44767783656672544,9072,1.0,1
24,0.9868245406283273,0.42923280423280424,9072,1.0,1
25,0.955012321472168,0.4707524985302763,9072,1.0,1
26,0.9302964839670393,0.4655349794238683,9072,1.0,1
27,0.9008864959081014,0.4782848324514991,9072,1.0,1
28,0.8876302457518048,0.4647633744855967,9072,1.0,1
29,0.8941767894559436,0.43738977072310403,9072,1.0,1
30,0.8879739344120026,0.4558348030570253,9072,1.0,1
31,0.8431776232189603,0.4730673133450911,9072,1.0,1
32,0.8535359137588077,0.4723324514991182,9072,1.0,1
33,0.8309217906660504,0.4991916519694298,9072,1.0,1
34,0.820548974805408,0.48144473838918284,9072,1.0,1
35,0.8066949513223436,0.5022780717225162,9072,1.0,1
36,0.841748156481319,0.492173721340388,9072,1.0,1
37,0.809399887919426,0.5051440329218106,9072,1.0,1
38,0.7996678898731867,0.5111699000587889,9072,1.0,1
39,0.780073227153884,0.5113536155202821,9072,1.0,1
40,0.7985294726159837,0.5110229276895943,9072,1.0,1
41,0.800467645128568,0.5048133450911229,9072,1.0,1
42,0.7805785056617525,0.48912404467960025,9072,1.0,1
43,0.7765670220057169,0.5155055849500294,9072,1.0,1
44,0.7642195754581027,0.5283656672545561,9072,1.0,1
45,0.7425440516736772,0.5322971781305115,9072,1.0,1
46,0.7555346505509483,0.506981187536743,9072,1.0,1
47,0.7422837118307749,0.5155055849500294,9072,1.0,1
48,0.7582433124383291,0.5074221046443269,9072,1.0,1
49,0.7532859212822385,0.5342078189300411,9072,1.0,1
50,0.7452250785297818,0.518775720164609,9072,1.0,1
51,0.7425791223843893,0.5220091122868901,9072,1.0,1
52,0.7397655116187202,0.5414094650205762,9072,1.0,1
53,0.7508791006273694,0.5234053497942387,9072,1.0,1
54,0.7237978908750746,0.5591196355085244,9072,1.0,1
55,0.7283551808860567,0.5515138154027043,9072,1.0,1
56,0.7216654900047514,0.5578703703703703,9072,1.0,1
57,0.7116720560524199,0.5457818930041153,9072,1.0,1
58,0.7249376508924696,0.5504482657260436,9072,1.0,1
59,0.7216672499974569,0.5774911816578483,9072,1.0,1
60,0.7218005955219269,0.5561801881246325,9072,1.0,1
61,0.7118110292487674,0.5479497354497355,9072,1.0,1
62,0.7126903765731387,0.5453409758965314,9072,1.0,1
63,0.7520392106639014,0.5437977660199882,9072,1.0,1
64,0.7452662239472071,0.5573192239858906,9072,1.0,1
65,0.7201642923884921,0.5661375661375662,9072,1.0,1
66,0.7008740968174405,0.5425117577895355,9072,1.0,1
67,0.7085207965638902,0.5525058788947678,9072,1.0,1
68,0.6977996445364423,0.5559964726631393,9072,1.0,1
69,0.7081611884964837,0.554049088771311,9072,1.0,1
70,0.6979246669345431,0.5511831275720165,9072,1.0,1
71,0.698966458439827,0.5545634920634921,9072,1.0,1
72,0.6901891562673781,0.5617283950617284,9072,1.0,1
73,0.6867039485110177,0.5496031746031746,9072,1.0,1
74,0.7198862582445145,0.5771972369194591,9072,1.0,1
75,0.6789346453216341,0.5498603762492651,9072,1.0,1
76,0.6841158750984404,0.5917842445620224,9072,1.0,1
77,0.6964299215210809,0.5774176954732511,9072,1.0,1
78,0.7298657579554452,0.5295414462081128,9072,1.0,1
79,0.685090614689721,0.5722736625514403,9072,1.0,1
80,0.659280483921369,0.5835905349794238,9072,1.0,1
