train_seed,metric,label,unit,n_matched_episodes,no_graph,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,100,0,0.98,0.98
0,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0,0.98,0.98
0,timeout,Timeout,rate,100,1,0.02,-0.98
0,capped_recovery_steps,Restricted mean recovery steps,steps,100,220,10.35,-209.65
0,tracking_during_failure_rate,Tracking during failure,rate,100,0.0005833333507,0.9831666667,0.9825833334
0,connectivity_during_failure,Connectivity during failure,rate,100,0.0452500011,0.3250359917,0.2797859906
0,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0,0.1458149351,0.1458149351
0,steps,Episode length,steps,100,260,50.35,-209.65
1,success,Task success,rate,100,0.86,0.95,0.09
1,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.86,0.95,0.09
1,timeout,Timeout,rate,100,0.14,0.05,-0.09
1,capped_recovery_steps,Restricted mean recovery steps,steps,100,35.5,16.59,-18.91
1,tracking_during_failure_rate,Tracking during failure,rate,100,0.5467844078,0.9556717174,0.4088873096
1,connectivity_during_failure,Connectivity during failure,rate,100,0.2939725589,0.3155212605,0.0215487016
1,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1383214286,0.1448189033,0.006497474747
1,steps,Episode length,steps,100,75.5,56.59,-18.91
2,success,Task success,rate,100,0.07,1,0.93
2,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.07,1,0.93
2,timeout,Timeout,rate,100,0.89,0,-0.89
2,capped_recovery_steps,Restricted mean recovery steps,steps,100,200.35,5.46,-194.89
2,tracking_during_failure_rate,Tracking during failure,rate,100,0.03175000095,1,0.9682499991
2,connectivity_during_failure,Connectivity during failure,rate,100,0.06427149625,0.3235284461,0.2592569498
2,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.009484126984,0.1602222222,0.1507380952
2,steps,Episode length,steps,100,240.35,45.46,-194.89
3,success,Task success,rate,100,0,0.92,0.92
3,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0,0.92,0.92
3,timeout,Timeout,rate,100,0.95,0.08,-0.87
3,capped_recovery_steps,Restricted mean recovery steps,steps,100,209.89,67.82,-142.07
3,tracking_during_failure_rate,Tracking during failure,rate,100,0.06790052903,0.5017579452,0.4338574161
3,connectivity_during_failure,Connectivity during failure,rate,100,0.05397826218,0.228942796,0.1749645339
3,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0,0.08854365079,0.08854365079
3,steps,Episode length,steps,100,249.89,107.82,-142.07
4,success,Task success,rate,100,0.78,0.96,0.18
4,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.78,0.96,0.18
4,timeout,Timeout,rate,100,0.22,0.04,-0.18
4,capped_recovery_steps,Restricted mean recovery steps,steps,100,52.69,17.01,-35.68
4,tracking_during_failure_rate,Tracking during failure,rate,100,0.5251303066,0.6035496212,0.07841931457
4,connectivity_during_failure,Connectivity during failure,rate,100,0.2708492119,0.305818128,0.0349689161
4,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1247301587,0.1523531746,0.02762301587
4,steps,Episode length,steps,100,92.69,57.01,-35.68
