train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,100,0.77,0.98,0.21
0,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.77,0.98,0.21
0,timeout,Timeout,rate,100,0.23,0.02,-0.21
0,capped_recovery_steps,Restricted mean recovery steps,steps,100,55.03,10.35,-44.68
0,tracking_during_failure_rate,Tracking during failure,rate,100,0.8032125891,0.9831666667,0.1799540776
0,connectivity_during_failure,Connectivity during failure,rate,100,0.2886484116,0.3250359917,0.03638758011
0,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1201548729,0.1458149351,0.02566006216
0,steps,Episode length,steps,100,95.03,50.35,-44.68
1,success,Task success,rate,100,0.3,0.95,0.65
1,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.3,0.95,0.65
1,timeout,Timeout,rate,100,0.68,0.05,-0.63
1,capped_recovery_steps,Restricted mean recovery steps,steps,100,151.66,16.59,-135.07
1,tracking_during_failure_rate,Tracking during failure,rate,100,0.4137180763,0.9556717174,0.5419536411
1,connectivity_during_failure,Connectivity during failure,rate,100,0.1618157807,0.3155212605,0.1537054799
1,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.04150793651,0.1448189033,0.1033109668
1,steps,Episode length,steps,100,191.66,56.59,-135.07
2,success,Task success,rate,100,0.02,1,0.98
2,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.02,1,0.98
2,timeout,Timeout,rate,100,0.97,0,-0.97
2,capped_recovery_steps,Restricted mean recovery steps,steps,100,213.68,5.46,-208.22
2,tracking_during_failure_rate,Tracking during failure,rate,100,0.1522361148,1,0.8477638852
2,connectivity_during_failure,Connectivity during failure,rate,100,0.09764583601,0.3235284461,0.2258826101
2,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.0025,0.1602222222,0.1577222222
2,steps,Episode length,steps,100,253.68,45.46,-208.22
3,success,Task success,rate,100,0.57,0.92,0.35
3,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.57,0.92,0.35
3,timeout,Timeout,rate,100,0.43,0.08,-0.35
3,capped_recovery_steps,Restricted mean recovery steps,steps,100,103.13,67.82,-35.31
3,tracking_during_failure_rate,Tracking during failure,rate,100,0.3755635033,0.5017579452,0.1261944419
3,connectivity_during_failure,Connectivity during failure,rate,100,0.2023029142,0.228942796,0.02663988185
3,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.08452380952,0.08854365079,0.00401984127
3,steps,Episode length,steps,100,143.13,107.82,-35.31
4,success,Task success,rate,100,0.93,0.96,0.03
4,post_failure_chain_recovered,Post-failure chain recovered,rate,100,0.93,0.96,0.03
4,timeout,Timeout,rate,100,0.06,0.04,-0.02
4,capped_recovery_steps,Restricted mean recovery steps,steps,100,18.72,17.01,-1.71
4,tracking_during_failure_rate,Tracking during failure,rate,100,0.6032476918,0.6035496212,0.0003019294014
4,connectivity_during_failure,Connectivity during failure,rate,100,0.3073962501,0.305818128,-0.001578122139
4,chain_closed_during_failure_rate,Chain closure during failure,rate,100,0.1457103175,0.1523531746,0.006642857143
4,steps,Episode length,steps,100,58.72,57.01,-1.71
