graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
multi_relation,-20,100,0.333333,0.631667,0,0
multi_relation,-19,100,0.333333,0.605,0,0
multi_relation,-18,100,0.333333,0.635,0,0
multi_relation,-17,100,0.333333,0.68,0,0
multi_relation,-16,100,0.333333,0.678333,0,0
multi_relation,-15,100,0.333333,0.741667,0,0
multi_relation,-14,100,0.333333,0.73,0,0
multi_relation,-13,100,0.333333,0.778333,0,0
multi_relation,-12,100,0.34,0.778333,0,0
multi_relation,-11,100,0.483333,0.83,0,0
multi_relation,-10,100,0.586667,0.833333,0,0
multi_relation,-9,100,0.653333,0.851667,0,0
multi_relation,-8,100,0.666667,0.84,0,0
multi_relation,-7,100,0.94,0.843333,0,0
multi_relation,-6,100,1,0.873333,0,0
multi_relation,-5,100,1,0.835,0,0
multi_relation,-4,100,1,0.86,0,0
multi_relation,-3,100,1,0.833333,0,0
multi_relation,-2,100,1,0.825,0,0
multi_relation,-1,100,1,0.815,0,0
multi_relation,0,100,1,0.805,0,0
multi_relation,1,100,1,0.221667,0,0
multi_relation,2,100,1,0.226667,0,0
multi_relation,3,100,1,0.223333,0,0
multi_relation,4,100,1,0.241667,0.26,0.26
multi_relation,5,74,1,0.243243,0.418919,0.418919
multi_relation,6,43,1,0.24031,0.488372,0.488372
multi_relation,7,22,1,0.265152,0.727273,0.727273
multi_relation,8,6,1,0.277778,0.833333,0.833333
multi_relation,9,1,1,0.166667,1,1
multi_relation,10,0,nan,nan,nan,nan
multi_relation,11,0,nan,nan,nan,nan
multi_relation,12,0,nan,nan,nan,nan
multi_relation,13,0,nan,nan,nan,nan
multi_relation,14,0,nan,nan,nan,nan
multi_relation,15,0,nan,nan,nan,nan
multi_relation,16,0,nan,nan,nan,nan
multi_relation,17,0,nan,nan,nan,nan
multi_relation,18,0,nan,nan,nan,nan
multi_relation,19,0,nan,nan,nan,nan
multi_relation,20,0,nan,nan,nan,nan
multi_relation,21,0,nan,nan,nan,nan
multi_relation,22,0,nan,nan,nan,nan
multi_relation,23,0,nan,nan,nan,nan
multi_relation,24,0,nan,nan,nan,nan
multi_relation,25,0,nan,nan,nan,nan
multi_relation,26,0,nan,nan,nan,nan
multi_relation,27,0,nan,nan,nan,nan
multi_relation,28,0,nan,nan,nan,nan
multi_relation,29,0,nan,nan,nan,nan
multi_relation,30,0,nan,nan,nan,nan
multi_relation,31,0,nan,nan,nan,nan
multi_relation,32,0,nan,nan,nan,nan
multi_relation,33,0,nan,nan,nan,nan
multi_relation,34,0,nan,nan,nan,nan
multi_relation,35,0,nan,nan,nan,nan
multi_relation,36,0,nan,nan,nan,nan
multi_relation,37,0,nan,nan,nan,nan
multi_relation,38,0,nan,nan,nan,nan
multi_relation,39,0,nan,nan,nan,nan
multi_relation,40,0,nan,nan,nan,nan
multi_relation,41,0,nan,nan,nan,nan
multi_relation,42,0,nan,nan,nan,nan
multi_relation,43,0,nan,nan,nan,nan
multi_relation,44,0,nan,nan,nan,nan
multi_relation,45,0,nan,nan,nan,nan
multi_relation,46,0,nan,nan,nan,nan
multi_relation,47,0,nan,nan,nan,nan
multi_relation,48,0,nan,nan,nan,nan
multi_relation,49,0,nan,nan,nan,nan
multi_relation,50,0,nan,nan,nan,nan
multi_relation,51,0,nan,nan,nan,nan
multi_relation,52,0,nan,nan,nan,nan
multi_relation,53,0,nan,nan,nan,nan
multi_relation,54,0,nan,nan,nan,nan
multi_relation,55,0,nan,nan,nan,nan
multi_relation,56,0,nan,nan,nan,nan
multi_relation,57,0,nan,nan,nan,nan
multi_relation,58,0,nan,nan,nan,nan
multi_relation,59,0,nan,nan,nan,nan
multi_relation,60,0,nan,nan,nan,nan
multi_relation,61,0,nan,nan,nan,nan
multi_relation,62,0,nan,nan,nan,nan
multi_relation,63,0,nan,nan,nan,nan
multi_relation,64,0,nan,nan,nan,nan
multi_relation,65,0,nan,nan,nan,nan
multi_relation,66,0,nan,nan,nan,nan
multi_relation,67,0,nan,nan,nan,nan
multi_relation,68,0,nan,nan,nan,nan
multi_relation,69,0,nan,nan,nan,nan
multi_relation,70,0,nan,nan,nan,nan
multi_relation,71,0,nan,nan,nan,nan
multi_relation,72,0,nan,nan,nan,nan
multi_relation,73,0,nan,nan,nan,nan
multi_relation,74,0,nan,nan,nan,nan
multi_relation,75,0,nan,nan,nan,nan
multi_relation,76,0,nan,nan,nan,nan
multi_relation,77,0,nan,nan,nan,nan
multi_relation,78,0,nan,nan,nan,nan
multi_relation,79,0,nan,nan,nan,nan
multi_relation,80,0,nan,nan,nan,nan
