graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,-20,5,5,0.333333,0.933333,0,0
no_graph,-19,5,5,0.333333,0.766667,0,0
no_graph,-18,5,5,0.333333,0.833333,0,0
no_graph,-17,5,5,0.333333,0.833333,0,0
no_graph,-16,5,5,0.333333,0.633333,0,0
no_graph,-15,5,5,0.333333,0.8,0,0
no_graph,-14,5,5,0.333333,0.833333,0,0
no_graph,-13,5,5,0.333333,0.733333,0,0
no_graph,-12,5,5,0.333333,0.933333,0,0
no_graph,-11,5,5,0.333333,0.733333,0,0
no_graph,-10,5,5,0.466667,0.8,0,0
no_graph,-9,5,5,0.333333,0.933333,0,0
no_graph,-8,5,5,0.2,0.933333,0,0
no_graph,-7,5,5,0.133333,0.833333,0,0
no_graph,-6,5,5,0.133333,0.9,0,0
no_graph,-5,5,5,0,0.8,0,0
no_graph,-4,5,5,0,0.9,0,0
no_graph,-3,5,5,0,0.7,0,0
no_graph,-2,5,5,0,0.866667,0,0
no_graph,-1,5,5,0,0.933333,0,0
no_graph,0,5,5,0,0.8,0,0
no_graph,1,5,5,0,0.266667,0,0
no_graph,2,5,5,0,0.166667,0,0
no_graph,3,5,5,0,0.2,0,0
no_graph,4,5,5,0,0.233333,0,0
no_graph,5,5,5,0,0.2,0,0
no_graph,6,5,5,0,0.266667,0,0
no_graph,7,5,5,0,0.2,0,0
no_graph,8,5,5,0,0.233333,0,0
no_graph,9,5,5,0,0.233333,0,0
no_graph,10,5,5,0,0.266667,0,0
no_graph,11,5,5,0,0.3,0,0
no_graph,12,5,5,0,0.266667,0,0
no_graph,13,5,5,0,0,0,0
no_graph,14,5,5,0,0,0,0
no_graph,15,5,5,0,0,0,0
no_graph,16,5,5,0,0,0,0
no_graph,17,5,5,0,0,0,0
no_graph,18,5,5,0,0,0,0
no_graph,19,5,5,0,0,0,0
no_graph,20,5,5,0,0,0,0
no_graph,21,5,5,0,0,0,0
no_graph,22,5,5,0,0,0,0
no_graph,23,5,5,0,0,0,0
no_graph,24,5,5,0,0,0,0
no_graph,25,5,5,0,0,0,0
no_graph,26,5,5,0,0,0,0
no_graph,27,5,5,0,0,0,0
no_graph,28,5,5,0,0,0,0
no_graph,29,5,5,0,0,0,0
no_graph,30,5,5,0,0,0,0
no_graph,31,5,5,0,0,0,0
no_graph,32,5,5,0,0,0,0
no_graph,33,5,5,0,0,0,0
no_graph,34,5,5,0,0,0,0
no_graph,35,5,5,0,0,0,0
no_graph,36,5,5,0,0,0,0
no_graph,37,5,5,0,0,0,0
no_graph,38,5,5,0,0,0,0
no_graph,39,5,5,0,0,0,0
no_graph,40,5,5,0,0,0,0
no_graph,41,5,5,0,0,0,0
no_graph,42,5,5,0,0,0,0
no_graph,43,5,5,0,0,0,0
no_graph,44,5,5,0,0,0,0
no_graph,45,5,5,0,0,0,0
no_graph,46,5,5,0,0,0,0
no_graph,47,5,5,0,0,0,0
no_graph,48,5,5,0,0,0,0
no_graph,49,5,5,0,0,0,0
no_graph,50,5,5,0,0,0,0
no_graph,51,5,5,0,0,0,0
no_graph,52,5,5,0,0,0,0
no_graph,53,5,5,0,0,0,0
no_graph,54,5,5,0,0,0,0
no_graph,55,5,5,0,0,0,0
no_graph,56,5,5,0,0,0,0
no_graph,57,5,5,0,0,0,0
no_graph,58,5,5,0,0,0,0
no_graph,59,5,5,0,0,0,0
no_graph,60,5,5,0,0,0,0
no_graph,61,5,5,0,0,0,0
no_graph,62,5,5,0,0,0,0
no_graph,63,5,5,0,0,0,0
no_graph,64,5,5,0,0,0,0
