graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
single,-20,100,0.333333,0.835,0,0
single,-19,100,0.333333,0.881667,0,0
single,-18,100,0.333333,0.845,0,0
single,-17,100,0.333333,0.83,0,0
single,-16,100,0.333333,0.841667,0,0
single,-15,100,0.333333,0.841667,0,0
single,-14,100,0.333333,0.806667,0,0
single,-13,100,0.333333,0.865,0,0
single,-12,100,0.333333,0.83,0,0
single,-11,100,0.446667,0.838333,0,0
single,-10,100,0.513333,0.795,0,0
single,-9,100,0.52,0.84,0,0
single,-8,100,0.476667,0.86,0,0
single,-7,100,0.62,0.833333,0,0
single,-6,100,0.72,0.856667,0,0
single,-5,100,0.68,0.816667,0,0
single,-4,100,0.666667,0.87,0,0
single,-3,100,0.666667,0.788333,0,0
single,-2,100,0.66,0.831667,0,0
single,-1,100,0.65,0.795,0,0
single,0,100,0.646667,0.826667,0,0
single,1,100,0.61,0.231667,0,0
single,2,100,0.583333,0.226667,0,0
single,3,100,0.533333,0.225,0,0
single,4,100,0.49,0.24,0.12,0.12
single,5,88,0.44697,0.238636,0.159091,0.159091
single,6,74,0.400901,0.22973,0.216216,0.216216
single,7,58,0.344828,0.232759,0.137931,0.137931
single,8,50,0.286667,0.27,0.06,0.06
single,9,47,0.234043,0.223404,0.0212766,0.0212766
single,10,46,0.202899,0.235507,0,0
single,11,46,0.188406,0.228261,0,0
single,12,46,0.188406,0.221014,0,0
single,13,46,0.181159,0.173913,0,0
single,14,46,0.166667,0.00362319,0,0
single,15,46,0.166667,0,0,0
single,16,46,0.152174,0,0,0
single,17,46,0.123188,0,0,0
single,18,46,0.101449,0,0,0
single,19,46,0.0652174,0,0,0
single,20,46,0.0217391,0,0,0
single,21,46,0,0,0,0
single,22,46,0,0,0,0
single,23,46,0,0,0,0
single,24,46,0,0,0,0
single,25,46,0,0,0,0
single,26,46,0,0,0,0
single,27,46,0,0,0,0
single,28,46,0,0,0,0
single,29,46,0,0,0,0
single,30,46,0,0,0,0
single,31,46,0,0,0,0
single,32,46,0,0,0,0
single,33,46,0,0,0,0
