graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
multi_relation,-20,100,100,0.333333,0.826667,0,0
multi_relation,-19,100,100,0.333333,0.84,0,0
multi_relation,-18,100,100,0.333333,0.84,0,0
multi_relation,-17,100,100,0.333333,0.818333,0,0
multi_relation,-16,100,100,0.333333,0.841667,0,0
multi_relation,-15,100,100,0.333333,0.83,0,0
multi_relation,-14,100,100,0.333333,0.813333,0,0
multi_relation,-13,100,100,0.333333,0.831667,0,0
multi_relation,-12,100,100,0.333333,0.841667,0,0
multi_relation,-11,100,100,0.44,0.833333,0,0
multi_relation,-10,100,100,0.593333,0.818333,0,0
multi_relation,-9,100,100,0.66,0.816667,0,0
multi_relation,-8,100,100,0.666667,0.853333,0,0
multi_relation,-7,100,100,0.753333,0.853333,0,0
multi_relation,-6,100,100,0.99,0.855,0,0
multi_relation,-5,100,100,1,0.8,0,0
multi_relation,-4,100,100,0.993333,0.841667,0,0
multi_relation,-3,100,100,0.98,0.786667,0,0
multi_relation,-2,100,100,0.956667,0.846667,0,0
multi_relation,-1,100,100,0.916667,0.848333,0,0
multi_relation,0,100,100,0.866667,0.813333,0,0
multi_relation,1,100,100,0.82,0.241667,0,0
multi_relation,2,100,100,0.78,0.25,0,0
multi_relation,3,100,100,0.726667,0.23,0,0
multi_relation,4,100,100,0.673333,0.26,0.02,0.02
multi_relation,5,98,100,0.605442,0.234694,0.163265,0.18
multi_relation,6,82,100,0.52439,0.237805,0.329268,0.45
multi_relation,7,55,100,0.381818,0.19697,0.2,0.56
multi_relation,8,44,100,0.257576,0.234848,0.113636,0.61
multi_relation,9,39,100,0.128205,0.264957,0,0.61
multi_relation,10,39,100,0.0940171,0.230769,0,0.61
multi_relation,11,39,100,0.0598291,0.222222,0,0.61
multi_relation,12,39,100,0.042735,0.24359,0,0.61
multi_relation,13,39,100,0.034188,0.230769,0,0.61
multi_relation,14,39,100,0.017094,0.25641,0,0.61
multi_relation,15,39,100,0.017094,0.217949,0,0.61
multi_relation,16,39,100,0.017094,0.235043,0,0.61
multi_relation,17,39,100,0.00854701,0.239316,0,0.61
multi_relation,18,39,100,0.00854701,0.226496,0,0.61
multi_relation,19,39,100,0.00854701,0.188034,0,0.61
multi_relation,20,39,100,0.00854701,0.111111,0,0.61
multi_relation,21,39,100,0.00854701,0.0982906,0,0.61
multi_relation,22,39,100,0,0.034188,0,0.61
multi_relation,23,39,100,0,0.0299145,0,0.61
multi_relation,24,39,100,0,0,0,0.61
multi_relation,25,39,100,0,0,0,0.61
multi_relation,26,39,100,0,0,0,0.61
multi_relation,27,39,100,0,0,0,0.61
multi_relation,28,39,100,0,0,0,0.61
multi_relation,29,39,100,0,0,0,0.61
multi_relation,30,39,100,0,0,0,0.61
multi_relation,31,39,100,0,0,0,0.61
multi_relation,32,39,100,0,0,0,0.61
multi_relation,33,39,100,0,0,0,0.61
multi_relation,34,39,100,0,0,0,0.61
multi_relation,35,39,100,0,0,0,0.61
multi_relation,36,39,100,0,0,0,0.61
multi_relation,37,39,100,0,0,0,0.61
multi_relation,38,39,100,0,0,0,0.61
multi_relation,39,39,100,0,0,0,0.61
multi_relation,40,39,100,0,0,0,0.61
multi_relation,41,39,100,0,0,0,0.61
multi_relation,42,39,100,0,0,0,0.61
multi_relation,43,39,100,0,0,0,0.61
multi_relation,44,39,100,0,0,0,0.61
multi_relation,45,39,100,0,0,0,0.61
multi_relation,46,39,100,0,0,0,0.61
multi_relation,47,39,100,0,0,0,0.61
multi_relation,48,39,100,0,0,0,0.61
multi_relation,49,39,100,0,0,0,0.61
multi_relation,50,39,100,0,0,0,0.61
multi_relation,51,39,100,0,0,0,0.61
multi_relation,52,39,100,0,0,0,0.61
multi_relation,53,39,100,0,0,0,0.61
multi_relation,54,39,100,0,0,0,0.61
multi_relation,55,39,100,0,0,0,0.61
multi_relation,56,39,100,0,0,0,0.61
multi_relation,57,39,100,0,0,0,0.61
multi_relation,58,39,100,0,0,0,0.61
multi_relation,59,39,100,0,0,0,0.61
multi_relation,60,39,100,0,0,0,0.61
multi_relation,61,39,100,0,0,0,0.61
multi_relation,62,39,100,0,0,0,0.61
multi_relation,63,39,100,0,0,0,0.61
multi_relation,64,39,100,0,0,0,0.61
multi_relation,65,39,100,0,0,0,0.61
multi_relation,66,39,100,0.025641,0,0,0.61
multi_relation,67,39,100,0.034188,0,0,0.61
multi_relation,68,39,100,0.0512821,0,0,0.61
multi_relation,69,39,100,0.042735,0,0,0.61
multi_relation,70,39,100,0.0598291,0,0,0.61
multi_relation,71,39,100,0.0512821,0,0,0.61
multi_relation,72,39,100,0.0683761,0,0,0.61
multi_relation,73,39,100,0.0598291,0,0,0.61
multi_relation,74,39,100,0.0769231,0,0,0.61
multi_relation,75,39,100,0.0683761,0,0,0.61
multi_relation,76,39,100,0.0854701,0,0,0.61
multi_relation,77,39,100,0.0940171,0,0,0.61
multi_relation,78,39,100,0.119658,0,0,0.61
multi_relation,79,39,100,0.153846,0,0,0.61
multi_relation,80,39,100,0.196581,0,0,0.61
multi_relation,81,39,100,0.188034,0.00854701,0,0.61
multi_relation,82,39,100,0.205128,0.0042735,0,0.61
multi_relation,83,39,100,0.205128,0.00854701,0,0.61
multi_relation,84,39,100,0.247863,0.00854701,0,0.61
multi_relation,85,39,100,0.222222,0.0042735,0,0.61
multi_relation,86,39,100,0.239316,0.00854701,0,0.61
multi_relation,87,39,100,0.230769,0.0042735,0,0.61
multi_relation,88,39,100,0.25641,0,0,0.61
multi_relation,89,39,100,0.213675,0,0,0.61
multi_relation,90,39,100,0.239316,0,0,0.61
multi_relation,91,39,100,0.25641,0,0,0.61
multi_relation,92,39,100,0.264957,0,0,0.61
multi_relation,93,39,100,0.25641,0,0,0.61
multi_relation,94,39,100,0.264957,0,0,0.61
multi_relation,95,39,100,0.273504,0,0,0.61
multi_relation,96,39,100,0.273504,0,0,0.61
multi_relation,97,39,100,0.25641,0,0.025641,0.62
multi_relation,98,38,100,0.254386,0,0,0.62
multi_relation,99,38,100,0.27193,0,0,0.62
multi_relation,100,38,100,0.254386,0,0,0.62
multi_relation,101,38,100,0.280702,0,0.0526316,0.64
multi_relation,102,36,100,0.259259,0,0,0.64
multi_relation,103,36,100,0.259259,0,0.0277778,0.65
multi_relation,104,35,100,0.247619,0,0,0.65
multi_relation,105,35,100,0.257143,0,0,0.65
multi_relation,106,35,100,0.247619,0,0,0.65
multi_relation,107,35,100,0.314286,0,0,0.65
multi_relation,108,35,100,0.266667,0.00952381,0,0.65
multi_relation,109,35,100,0.295238,0.00952381,0.0285714,0.66
multi_relation,110,34,100,0.303922,0.0147059,0,0.66
multi_relation,111,34,100,0.284314,0.0196078,0,0.66
multi_relation,112,34,100,0.313725,0.0196078,0,0.66
multi_relation,113,34,100,0.294118,0.0196078,0,0.66
multi_relation,114,34,100,0.284314,0.0245098,0.0588235,0.68
