graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,-20,100,100,0.333333,0.838333,0,0
no_graph,-19,100,100,0.333333,0.848333,0,0
no_graph,-18,100,100,0.333333,0.845,0,0
no_graph,-17,100,100,0.333333,0.86,0,0
no_graph,-16,100,100,0.333333,0.828333,0,0
no_graph,-15,100,100,0.333333,0.816667,0,0
no_graph,-14,100,100,0.333333,0.84,0,0
no_graph,-13,100,100,0.333333,0.85,0,0
no_graph,-12,100,100,0.33,0.876667,0,0
no_graph,-11,100,100,0.39,0.823333,0,0
no_graph,-10,100,100,0.433333,0.79,0,0
no_graph,-9,100,100,0.42,0.846667,0,0
no_graph,-8,100,100,0.343333,0.873333,0,0
no_graph,-7,100,100,0.423333,0.866667,0,0
no_graph,-6,100,100,0.513333,0.858333,0,0
no_graph,-5,100,100,0.453333,0.845,0,0
no_graph,-4,100,100,0.42,0.821667,0,0
no_graph,-3,100,100,0.373333,0.791667,0,0
no_graph,-2,100,100,0.353333,0.831667,0,0
no_graph,-1,100,100,0.34,0.843333,0,0
no_graph,0,100,100,0.32,0.795,0,0
no_graph,1,100,100,0.31,0.231667,0,0
no_graph,2,100,100,0.293333,0.231667,0,0
no_graph,3,100,100,0.263333,0.256667,0,0
no_graph,4,100,100,0.246667,0.248333,0,0
no_graph,5,99,100,0.23569,0.247475,0,0
no_graph,6,99,100,0.232323,0.217172,0,0
no_graph,7,99,100,0.232323,0.227273,0,0
no_graph,8,99,100,0.228956,0.234007,0,0
no_graph,9,99,100,0.228956,0.225589,0,0
no_graph,10,99,100,0.225589,0.237374,0,0
no_graph,11,99,100,0.222222,0.228956,0,0
no_graph,12,99,100,0.218855,0.227273,0,0
no_graph,13,99,100,0.212121,0.0841751,0,0
no_graph,14,99,100,0.208754,0,0,0
no_graph,15,99,100,0.20202,0,0,0
no_graph,16,99,100,0.195286,0,0,0
no_graph,17,99,100,0.181818,0,0,0
no_graph,18,99,100,0.154882,0,0,0
no_graph,19,99,100,0.121212,0,0,0
no_graph,20,99,100,0.0808081,0,0,0
no_graph,21,99,100,0.013468,0,0,0
no_graph,22,96,100,0,0,0,0
no_graph,23,95,100,0,0,0,0
no_graph,24,95,100,0,0,0,0
no_graph,25,95,100,0,0,0,0
no_graph,26,95,100,0,0,0,0
no_graph,27,95,100,0,0,0,0
no_graph,28,95,100,0,0,0,0
no_graph,29,95,100,0,0,0,0
no_graph,30,95,100,0,0,0,0
no_graph,31,95,100,0,0,0,0
no_graph,32,95,100,0,0,0,0
no_graph,33,95,100,0,0,0,0
no_graph,34,95,100,0,0,0,0
no_graph,35,95,100,0,0,0,0
no_graph,36,95,100,0,0,0,0
no_graph,37,95,100,0,0,0,0
no_graph,38,95,100,0,0,0,0
no_graph,39,95,100,0,0,0,0
no_graph,40,95,100,0,0,0,0
no_graph,41,95,100,0,0,0,0
no_graph,42,95,100,0,0,0,0
no_graph,43,95,100,0,0,0,0
no_graph,44,95,100,0,0,0,0
no_graph,45,95,100,0,0,0,0
no_graph,46,95,100,0,0,0,0
no_graph,47,95,100,0,0,0,0
no_graph,48,95,100,0,0,0,0
no_graph,49,95,100,0,0,0,0
no_graph,50,95,100,0,0,0,0
no_graph,51,95,100,0,0,0,0
no_graph,52,95,100,0,0,0,0
no_graph,53,95,100,0,0,0,0
no_graph,54,95,100,0,0,0,0
no_graph,55,95,100,0,0,0,0
no_graph,56,95,100,0,0,0,0
no_graph,57,95,100,0,0,0,0
no_graph,58,95,100,0,0,0,0
no_graph,59,95,100,0,0,0,0
no_graph,60,95,100,0,0,0,0
no_graph,61,95,100,0,0,0,0
no_graph,62,95,100,0,0,0,0
no_graph,63,95,100,0,0,0,0
no_graph,64,95,100,0,0,0,0
no_graph,65,95,100,0,0,0,0
no_graph,66,95,100,0,0,0,0
no_graph,67,95,100,0,0,0,0
no_graph,68,95,100,0,0,0,0
no_graph,69,95,100,0,0,0,0
no_graph,70,95,100,0,0,0,0
no_graph,71,95,100,0,0,0,0
no_graph,72,95,100,0,0,0,0
no_graph,73,95,100,0,0,0,0
no_graph,74,95,100,0,0,0,0
no_graph,75,95,100,0,0,0,0
no_graph,76,95,100,0,0,0,0
no_graph,77,95,100,0,0,0,0
no_graph,78,95,100,0,0,0,0
no_graph,79,95,100,0,0,0,0
no_graph,80,95,100,0,0,0,0
no_graph,81,95,100,0,0.022807,0,0
no_graph,82,95,100,0,0.0210526,0,0
no_graph,83,95,100,0,0.0245614,0,0
no_graph,84,95,100,0,0.022807,0,0
no_graph,85,95,100,0,0.0175439,0,0
no_graph,86,95,100,0,0.0140351,0,0
no_graph,87,95,100,0,0.0140351,0,0
