graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,-20,500,500,0.333333,0.842333,0,0
no_graph,-19,500,500,0.333333,0.856667,0,0
no_graph,-18,500,500,0.333333,0.851333,0,0
no_graph,-17,500,500,0.333333,0.855667,0,0
no_graph,-16,500,500,0.333333,0.827,0,0
no_graph,-15,500,500,0.333333,0.818667,0,0
no_graph,-14,500,500,0.333333,0.816667,0,0
no_graph,-13,500,500,0.333333,0.851333,0,0
no_graph,-12,500,500,0.33,0.845667,0,0
no_graph,-11,500,500,0.408667,0.837667,0,0
no_graph,-10,500,500,0.46,0.803667,0,0
no_graph,-9,500,500,0.45,0.845,0,0
no_graph,-8,500,500,0.393333,0.867333,0,0
no_graph,-7,500,500,0.466666,0.846,0,0
no_graph,-6,500,500,0.486667,0.855333,0,0
no_graph,-5,500,500,0.442,0.836,0,0
no_graph,-4,500,500,0.421333,0.846667,0,0
no_graph,-3,500,500,0.407333,0.799334,0,0
no_graph,-2,500,500,0.398,0.843,0,0
no_graph,-1,500,500,0.39,0.820333,0,0
no_graph,0,500,500,0.376,0.824667,0,0
no_graph,1,500,500,0.360667,0.24,0,0
no_graph,2,500,500,0.345333,0.229333,0,0
no_graph,3,500,500,0.323333,0.23,0,0
no_graph,4,500,500,0.305333,0.224333,0.098,0.098
no_graph,5,450,500,0.245926,0.245926,0.0933334,0.182
no_graph,6,408,500,0.191993,0.227941,0.0931373,0.258
no_graph,7,370,500,0.144144,0.235135,0.0783783,0.316
no_graph,8,341,500,0.113392,0.239003,0.026393,0.334
no_graph,9,332,500,0.105422,0.224397,0.0120482,0.342
no_graph,10,328,500,0.101626,0.238821,0,0.342
no_graph,11,328,500,0.10061,0.242378,0,0.342
no_graph,12,328,500,0.0985772,0.229167,0,0.342
no_graph,13,328,500,0.0955284,0.0833334,0,0.342
no_graph,14,328,500,0.0934958,0.0152439,0,0.342
no_graph,15,328,500,0.0914633,0,0,0.342
no_graph,16,328,500,0.0894308,0,0,0.342
no_graph,17,328,500,0.0833333,0,0,0.342
no_graph,18,328,500,0.0711382,0,0,0.342
no_graph,19,328,500,0.0518293,0,0,0.342
no_graph,20,328,500,0.0294715,0,0,0.342
no_graph,21,328,500,0.00406504,0,0,0.342
no_graph,22,325,500,0,0,0,0.342
no_graph,23,324,500,0,0,0,0.342
no_graph,24,324,500,0,0,0,0.342
no_graph,25,324,500,0,0,0,0.342
no_graph,26,324,500,0,0,0,0.342
no_graph,27,324,500,0,0,0,0.342
no_graph,28,324,500,0,0,0,0.342
no_graph,29,324,500,0,0,0,0.342
no_graph,30,324,500,0,0,0,0.342
no_graph,31,324,500,0,0,0,0.342
no_graph,32,324,500,0,0,0,0.342
no_graph,33,324,500,0,0,0,0.342
no_graph,34,324,500,0,0,0,0.342
no_graph,35,324,500,0,0,0,0.342
no_graph,36,324,500,0,0,0,0.342
no_graph,37,324,500,0,0,0,0.342
no_graph,38,324,500,0,0,0,0.342
no_graph,39,324,500,0,0,0,0.342
no_graph,40,324,500,0,0,0,0.342
